Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,6.74,6.74,6.74,6.74,000,6.74
2013-05-22,6.74,6.74,6.74,6.74,000,6.74
2013-05-21,6.74,6.74,6.74,6.74,000,6.74
2013-05-20,6.74,6.74,6.74,6.74,000,6.74
2013-05-17,6.74,6.74,6.74,6.74,000,6.74
2013-05-16,6.74,6.74,6.74,6.74,000,6.74
2013-05-15,6.74,6.74,6.74,6.74,000,6.74
2013-05-14,6.74,6.74,6.74,6.74,000,6.74
2013-05-13,6.74,6.74,6.74,6.74,000,6.74
2013-05-10,6.74,6.74,6.74,6.74,100,6.74
2013-05-09,6.74,6.74,6.74,6.74,000,6.74
2013-05-08,6.74,6.74,6.74,6.74,200,6.74
2013-05-07,6.74,6.74,6.74,6.74,000,6.74
2013-05-06,6.74,6.74,6.74,6.74,000,6.74
2013-05-03,6.74,6.74,6.74,6.74,000,6.74
2013-05-02,6.74,6.74,6.74,6.74,000,6.74
2013-05-01,6.74,6.74,6.74,6.74,000,6.74
2013-04-30,6.74,6.74,6.74,6.74,200,6.74
2013-04-29,6.74,6.74,6.74,6.74,000,6.74
2013-04-26,6.74,6.74,6.74,6.74,000,6.74
2013-04-25,6.72,6.72,6.71,6.72,100,6.72
2013-04-24,6.72,6.72,6.72,6.72,000,6.72
2013-04-23,6.72,6.72,6.72,6.72,000,6.72
2013-04-22,6.72,6.72,6.72,6.72,000,6.72
2013-04-19,6.72,6.72,6.72,6.72,000,6.72
2013-04-18,6.72,6.72,6.72,6.72,000,6.72
2013-04-17,6.72,6.72,6.71,6.72,200,6.72
2013-04-16,6.72,6.72,6.72,6.72,000,6.72
2013-04-15,6.72,6.72,6.72,6.72,100,6.72
2013-04-12,6.72,6.72,6.72,6.72,000,6.72
2013-04-11,6.72,6.72,6.72,6.72,400,6.72
2013-04-10,6.74,6.74,6.74,6.74,000,6.74
2013-04-09,6.74,6.74,6.74,6.74,000,6.74
2013-04-08,6.74,6.74,6.74,6.74,000,6.74
2013-04-05,6.74,6.74,6.74,6.74,000,6.74
2013-04-04,6.74,6.74,6.74,6.74,000,6.74
2013-04-03,6.74,6.74,6.74,6.74,000,6.74
2013-04-02,6.75,6.75,6.73,6.74,200,6.74
2013-04-01,6.75,6.75,6.75,6.75,000,6.75
2013-03-29,6.75,6.75,6.75,6.75,000,6.75
2013-03-28,6.75,6.75,6.75,6.75,000,6.75
2013-03-27,6.75,6.75,6.75,6.75,000,6.75
2013-03-26,6.76,6.76,6.76,6.76,000,6.76
2013-03-25,6.76,6.76,6.76,6.76,000,6.76
2013-03-22,6.76,6.76,6.76,6.76,000,6.76
2013-03-21,6.76,6.76,6.76,6.76,000,6.76
2013-03-20,6.76,6.76,6.76,6.76,000,6.76
2013-03-19,6.76,6.76,6.76,6.76,000,6.76
2013-03-18,6.76,6.76,6.76,6.76,000,6.76
2013-03-15,6.76,6.76,6.76,6.76,000,6.76
2013-03-14,6.76,6.76,6.76,6.76,000,6.76
2013-03-13,6.76,6.76,6.76,6.76,000,6.76
2013-03-12,6.76,6.76,6.76,6.76,000,6.76
2013-03-11,6.76,6.76,6.76,6.76,000,6.76
2013-03-08,6.76,6.76,6.76,6.76,000,6.76
2013-03-07,6.76,6.76,6.76,6.76,300,6.76
2013-03-06,6.79,6.79,6.79,6.79,000,6.79
