Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.01,1.01,1.01,1.01,200,1.01
2013-05-22,0.90,0.96,0.90,0.94,11500,0.94
2013-05-21,0.92,0.92,0.91,0.91,10900,0.91
2013-05-20,0.89,0.92,0.85,0.92,19000,0.92
2013-05-17,1.02,1.05,0.82,0.82,74200,0.82
2013-05-16,0.69,0.83,0.69,0.83,17400,0.83
2013-05-15,0.54,0.64,0.54,0.64,17400,0.64
2013-05-14,0.50,0.50,0.50,0.50,50200,0.50
2013-05-13,0.49,0.49,0.49,0.49,200,0.49
2013-05-10,0.50,0.50,0.48,0.49,6300,0.49
2013-05-09,0.47,0.53,0.46,0.48,5700,0.48
2013-05-08,0.47,0.53,0.47,0.48,12700,0.48
2013-05-07,0.47,0.47,0.47,0.47,000,0.47
2013-05-06,0.47,0.47,0.47,0.47,000,0.47
2013-05-03,0.47,0.47,0.47,0.47,000,0.47
2013-05-02,0.53,0.56,0.47,0.47,12500,0.47
2013-05-01,0.53,0.53,0.53,0.53,000,0.53
2013-04-30,0.58,0.58,0.53,0.53,4300,0.53
2013-04-29,0.60,0.60,0.53,0.58,38400,0.58
2013-04-26,0.60,0.60,0.60,0.60,900,0.60
2013-04-25,0.57,0.57,0.57,0.57,000,0.57
2013-04-24,0.55,0.57,0.55,0.57,1300,0.57
2013-04-23,0.55,0.55,0.50,0.55,2600,0.55
2013-04-22,0.55,0.55,0.55,0.55,000,0.55
2013-04-19,0.71,0.71,0.51,0.55,5500,0.55
2013-04-18,0.55,0.55,0.55,0.55,1500,0.55
2013-04-17,0.53,0.55,0.53,0.55,5500,0.55
2013-04-16,0.46,0.50,0.46,0.50,3100,0.50
2013-04-15,0.50,0.50,0.50,0.50,400,0.50
2013-04-12,0.50,0.50,0.45,0.45,500,0.45
2013-04-11,0.50,0.50,0.50,0.50,500,0.50
2013-04-10,0.46,0.46,0.46,0.46,1700,0.46
2013-04-09,0.50,0.50,0.50,0.50,000,0.50
2013-04-08,0.50,0.50,0.50,0.50,12000,0.50
2013-04-05,0.52,0.52,0.52,0.52,5000,0.52
2013-04-04,0.52,0.52,0.52,0.52,5100,0.52
2013-04-03,0.50,0.50,0.50,0.50,3000,0.50
2013-04-02,0.53,0.56,0.50,0.50,21100,0.50
2013-04-01,0.48,0.48,0.48,0.48,000,0.48
2013-03-29,0.48,0.48,0.48,0.48,000,0.48
2013-03-28,0.48,0.48,0.48,0.48,000,0.48
2013-03-27,0.50,0.50,0.48,0.48,600,0.48
2013-03-26,0.53,0.53,0.53,0.53,000,0.53
2013-03-25,0.53,0.53,0.53,0.53,000,0.53
2013-03-22,0.53,0.53,0.53,0.53,000,0.53
2013-03-21,0.53,0.53,0.53,0.53,5400,0.53
