Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.06,1.10,1.05,1.05,7700,1.05
2013-05-22,1.08,1.12,1.05,1.07,14100,1.07
2013-05-21,1.13,1.14,1.08,1.08,6100,1.08
2013-05-20,1.13,1.13,1.11,1.12,9700,1.12
2013-05-17,1.17,1.19,1.12,1.15,26600,1.15
2013-05-16,1.19,1.20,1.18,1.20,2900,1.20
2013-05-15,1.20,1.25,1.16,1.21,25900,1.21
2013-05-14,1.14,1.19,1.10,1.19,7500,1.19
2013-05-13,1.14,1.15,1.11,1.14,23500,1.14
2013-05-10,1.18,1.18,1.15,1.16,8400,1.16
2013-05-09,1.17,1.18,1.12,1.18,31300,1.18
2013-05-08,1.08,1.16,1.08,1.15,28400,1.15
2013-05-07,1.13,1.13,1.13,1.13,000,1.13
2013-05-06,1.13,1.13,1.13,1.13,000,1.13
2013-05-03,1.13,1.13,1.13,1.13,000,1.13
2013-05-02,1.13,1.13,1.13,1.13,000,1.13
2013-05-01,1.11,1.11,1.11,1.11,000,1.11
2013-04-30,1.13,1.13,1.10,1.11,3800,1.11
2013-04-29,1.09,1.12,1.09,1.12,5600,1.12
2013-04-26,1.11,1.12,1.08,1.12,14000,1.12
2013-04-25,1.04,1.14,1.01,1.12,52700,1.12
2013-04-24,1.05,1.12,1.03,1.08,11500,1.08
2013-04-23,1.01,1.05,1.01,1.03,7600,1.03
2013-04-22,1.07,1.08,1.05,1.05,3800,1.05
2013-04-19,1.07,1.11,1.05,1.10,7500,1.10
2013-04-18,1.04,1.09,1.04,1.08,2600,1.08
2013-04-17,1.03,1.09,1.03,1.06,5100,1.06
2013-04-16,1.02,1.10,1.02,1.10,600,1.10
2013-04-15,1.15,1.15,1.04,1.06,200,1.06
2013-04-12,1.13,1.14,1.05,1.14,2000,1.14
2013-04-11,1.07,1.12,1.05,1.12,4800,1.12
2013-04-10,1.14,1.14,1.04,1.14,6500,1.14
2013-04-09,1.07,1.13,1.06,1.13,1100,1.13
2013-04-08,0.98,1.03,0.98,1.03,3000,1.03
2013-04-05,1.02,1.04,1.01,1.04,4700,1.04
2013-04-04,1.07,1.07,1.01,1.04,8300,1.04
2013-04-03,1.04,1.06,1.01,1.05,17200,1.05
2013-04-02,1.05,1.07,1.01,1.04,3700,1.04
2013-04-01,1.05,1.05,1.05,1.05,000,1.05
2013-03-29,1.05,1.05,1.05,1.05,000,1.05
2013-03-28,0.97,1.05,0.94,1.05,21300,1.05
2013-03-27,1.00,1.03,0.95,0.97,29100,0.97
2013-03-26,0.99,1.10,0.99,1.10,800,1.10
2013-03-25,1.15,1.15,1.15,1.15,000,1.15
2013-03-22,1.05,1.20,1.05,1.15,2800,1.15
2013-03-21,1.00,1.05,1.00,1.02,5000,1.02
2013-03-20,0.99,1.05,0.99,1.05,1800,1.05
2013-03-19,0.99,1.03,0.99,1.03,1500,1.03
2013-03-18,1.05,1.05,1.05,1.05,000,1.05
2013-03-15,1.20,1.20,1.04,1.05,15400,1.05
2013-03-14,1.10,1.14,1.10,1.12,4400,1.12
2013-03-13,1.15,1.16,1.15,1.16,1600,1.16
2013-03-12,1.12,1.12,1.12,1.12,2000,1.12
2013-03-11,1.09,1.18,1.09,1.12,8900,1.12
2013-03-08,1.11,1.15,1.08,1.12,8900,1.12
2013-03-07,1.10,1.10,1.06,1.09,3100,1.09
2013-03-06,1.10,1.13,1.10,1.10,15900,1.10
2013-03-05,1.09,1.17,1.09,1.16,10900,1.16
2013-03-04,1.05,1.15,1.05,1.13,5100,1.13
2013-03-01,1.16,1.16,1.16,1.16,1000,1.16
2013-02-28,1.16,1.18,1.16,1.18,2000,1.18
2013-02-27,1.16,1.19,1.16,1.19,1100,1.19
2013-02-26,1.28,1.28,1.16,1.16,6300,1.16
2013-02-25,1.19,1.21,1.17,1.17,8300,1.17
2013-02-22,1.16,1.20,1.16,1.20,4000,1.20
2013-02-21,1.21,1.21,1.19,1.21,5900,1.21
2013-02-20,1.19,1.26,1.19,1.21,4900,1.21
2013-02-19,1.20,1.23,1.19,1.22,14000,1.22
2013-02-18,1.25,1.25,1.20,1.21,15900,1.21
2013-02-15,1.24,1.29,1.23,1.28,4400,1.28
2013-02-14,1.20,1.28,1.20,1.27,4400,1.27
2013-02-13,1.18,1.25,1.17,1.24,4600,1.24
2013-02-12,1.25,1.25,1.21,1.22,10200,1.22
2013-02-11,1.24,1.29,1.23,1.24,4600,1.24
2013-02-08,1.26,1.32,1.26,1.29,29100,1.29
2013-02-07,1.24,1.24,1.19,1.23,11200,1.23
2013-02-06,1.25,1.27,1.21,1.24,5500,1.24
2013-02-05,1.15,1.25,1.15,1.25,2400,1.25
2013-02-04,1.23,1.24,1.17,1.22,4800,1.22
2013-02-01,1.21,1.26,1.21,1.26,2200,1.26
2013-01-31,1.28,1.28,1.18,1.26,16100,1.26
2013-01-30,1.24,1.28,1.24,1.28,8300,1.28
2013-01-29,1.25,1.31,1.24,1.29,17900,1.29
2013-01-28,1.28,1.30,1.26,1.30,13900,1.30
2013-01-25,1.30,1.32,1.26,1.30,11100,1.30
2013-01-24,1.28,1.31,1.25,1.30,21800,1.30
2013-01-23,1.23,1.33,1.23,1.31,12400,1.31
2013-01-22,1.24,1.30,1.23,1.26,15200,1.26
2013-01-21,1.20,1.26,1.19,1.24,7900,1.24
2013-01-18,1.23,1.23,1.20,1.23,7000,1.23
2013-01-17,1.32,1.32,1.20,1.24,2800,1.24
2013-01-16,1.29,1.29,1.16,1.20,19900,1.20
2013-01-15,1.30,1.30,1.20,1.20,8300,1.20
2013-01-14,1.36,1.36,1.25,1.26,8300,1.26
2013-01-11,1.38,1.38,1.28,1.34,14600,1.34
2013-01-10,1.39,1.39,1.30,1.34,27300,1.34
2013-01-09,1.36,1.39,1.32,1.36,15900,1.36
2013-01-08,1.32,1.34,1.30,1.34,14400,1.34
2013-01-07,1.24,1.34,1.24,1.29,15100,1.29
2013-01-04,1.22,1.28,1.20,1.27,24800,1.27
2013-01-03,1.16,1.21,1.15,1.20,18700,1.20
2013-01-02,1.14,1.20,1.14,1.19,12200,1.19
2013-01-01,1.13,1.13,1.13,1.13,000,1.13
2012-12-31,1.13,1.13,1.13,1.13,000,1.13
2012-12-28,1.13,1.20,1.13,1.13,15800,1.13
2012-12-27,1.03,1.20,1.03,1.19,26500,1.19
2012-12-26,1.11,1.11,1.11,1.11,000,1.11
2012-12-25,1.11,1.11,1.11,1.11,000,1.11
2012-12-24,1.11,1.11,1.11,1.11,000,1.11
2012-12-21,1.09,1.13,1.09,1.11,4500,1.11
2012-12-20,1.09,1.14,1.09,1.14,2400,1.14
2012-12-19,1.08,1.16,1.08,1.13,10500,1.13
2012-12-18,1.12,1.15,1.08,1.13,7700,1.13
2012-12-17,1.15,1.15,1.15,1.15,000,1.15
2012-12-14,1.19,1.20,1.15,1.15,13500,1.15
2012-12-13,1.15,1.20,1.10,1.15,40400,1.15
2012-12-12,1.16,1.16,1.10,1.16,24100,1.16
2012-12-11,1.15,1.18,1.15,1.17,8600,1.17
2012-12-10,0.95,1.14,0.95,1.12,26000,1.12
2012-12-07,0.96,1.04,0.96,1.04,24800,1.04
2012-12-06,0.98,0.98,0.98,0.98,1500,0.98
2012-12-05,0.95,0.98,0.95,0.98,4900,0.98
2012-12-04,0.94,0.95,0.94,0.95,800,0.95
2012-12-03,0.89,0.95,0.89,0.95,200,0.95
2012-11-30,0.90,0.97,0.90,0.95,42300,0.95
2012-11-29,0.87,0.94,0.85,0.93,20000,0.93
2012-11-28,0.79,0.88,0.79,0.88,14900,0.88
2012-11-27,0.83,0.83,0.83,0.83,800,0.83
2012-11-26,0.81,0.82,0.78,0.82,26100,0.82
2012-11-23,0.83,0.84,0.78,0.82,11900,0.82
2012-11-22,0.83,0.83,0.82,0.83,6100,0.83
2012-11-21,0.78,0.84,0.78,0.84,10700,0.84
2012-11-20,0.78,0.82,0.78,0.81,37800,0.81
2012-11-19,0.83,0.83,0.78,0.80,32100,0.80
2012-11-16,0.84,0.84,0.84,0.84,000,0.84
2012-11-15,0.82,0.84,0.82,0.84,1500,0.84
2012-11-14,0.79,0.82,0.78,0.82,8300,0.82
2012-11-13,0.79,0.79,0.79,0.79,000,0.79
2012-11-12,0.77,0.79,0.77,0.79,1500,0.79
2012-11-09,0.80,0.80,0.80,0.80,1800,0.80
2012-11-08,0.81,0.81,0.78,0.80,2900,0.80
2012-11-07,0.81,0.84,0.80,0.81,12200,0.81
2012-11-06,0.85,0.85,0.80,0.83,3900,0.83
2012-11-05,0.81,0.84,0.81,0.83,8400,0.83
2012-11-02,0.80,0.82,0.80,0.82,8400,0.82
2012-11-01,0.77,0.79,0.75,0.79,9000,0.79
2012-10-31,0.82,0.83,0.79,0.83,9200,0.83
2012-10-30,0.86,0.86,0.83,0.84,4700,0.84
2012-10-29,0.82,0.88,0.81,0.86,3100,0.86
2012-10-26,0.81,0.88,0.81,0.88,900,0.88
2012-10-25,0.83,0.86,0.83,0.86,1100,0.86
2012-10-24,0.83,0.85,0.80,0.85,1000,0.85
2012-10-23,0.85,0.88,0.83,0.85,5500,0.85
2012-10-22,0.85,0.86,0.82,0.85,4900,0.85
2012-10-19,0.85,0.85,0.83,0.84,5400,0.84
2012-10-18,0.87,0.87,0.84,0.84,2000,0.84
2012-10-17,0.83,0.86,0.83,0.84,3600,0.84
2012-10-16,0.84,0.84,0.81,0.81,4600,0.81
2012-10-15,0.80,0.86,0.80,0.85,500,0.85
2012-10-12,0.84,0.86,0.78,0.86,10600,0.86
2012-10-11,0.84,0.84,0.84,0.84,1000,0.84
2012-10-10,0.85,0.85,0.82,0.84,4700,0.84
2012-10-09,0.83,0.88,0.81,0.83,8000,0.83
2012-10-08,0.85,0.86,0.84,0.86,4500,0.86
2012-10-05,0.77,0.89,0.77,0.89,7500,0.89
2012-10-04,0.81,0.84,0.81,0.84,2500,0.84
2012-10-03,0.82,0.87,0.79,0.81,4400,0.81
2012-10-02,0.78,0.82,0.78,0.82,2800,0.82
2012-10-01,0.74,0.76,0.74,0.76,1400,0.76
2012-09-28,0.74,0.76,0.74,0.74,4700,0.74
2012-09-27,0.74,0.79,0.74,0.79,4400,0.79
2012-09-26,0.76,0.80,0.74,0.79,26700,0.79
2012-09-25,0.75,0.77,0.73,0.76,11700,0.76
2012-09-24,0.73,0.79,0.73,0.77,100,0.77
2012-09-21,0.77,0.78,0.75,0.77,7900,0.77
2012-09-20,0.75,0.75,0.73,0.75,6800,0.75
2012-09-19,0.71,0.75,0.70,0.74,4500,0.74
2012-09-18,0.71,0.71,0.69,0.71,3500,0.71
2012-09-17,0.70,0.71,0.70,0.71,5900,0.71
2012-09-14,0.72,0.72,0.71,0.71,7600,0.71
2012-09-13,0.71,0.74,0.71,0.71,8800,0.71
2012-09-12,0.71,0.74,0.71,0.74,24100,0.74
2012-09-11,0.71,0.71,0.69,0.70,6900,0.70
2012-09-10,0.71,0.72,0.70,0.71,11900,0.71
2012-09-07,0.71,0.72,0.68,0.72,4000,0.72
2012-09-06,0.72,0.72,0.72,0.72,000,0.72
2012-09-05,0.71,0.72,0.71,0.72,12000,0.72
2012-09-04,0.71,0.71,0.66,0.71,1200,0.71
2012-09-03,0.67,0.71,0.67,0.71,700,0.71
2012-08-31,0.67,0.69,0.67,0.69,1700,0.69
2012-08-30,0.68,0.68,0.68,0.68,200,0.68
2012-08-29,0.68,0.73,0.68,0.68,5500,0.68
2012-08-28,0.73,0.73,0.73,0.73,400,0.73
2012-08-27,0.73,0.73,0.73,0.73,000,0.73
2012-08-24,0.72,0.74,0.72,0.73,900,0.73
2012-08-23,0.70,0.72,0.70,0.72,1600,0.72
2012-08-22,0.68,0.73,0.68,0.70,1100,0.70
2012-08-21,0.72,0.73,0.72,0.73,700,0.73
2012-08-20,0.72,0.73,0.72,0.73,2600,0.73
2012-08-17,0.70,0.73,0.70,0.73,3700,0.73
2012-08-16,0.72,0.72,0.72,0.72,000,0.72
2012-08-15,0.72,0.72,0.72,0.72,000,0.72
2012-08-14,0.72,0.72,0.72,0.72,000,0.72
2012-08-13,0.72,0.72,0.72,0.72,000,0.72
2012-08-10,0.70,0.72,0.68,0.72,4000,0.72
2012-08-09,0.73,0.73,0.73,0.73,000,0.73
2012-08-08,0.74,0.74,0.73,0.73,2500,0.73
2012-08-07,0.69,0.69,0.69,0.69,700,0.69
2012-08-06,0.70,0.70,0.68,0.69,2000,0.69
2012-08-03,0.62,0.69,0.62,0.69,200,0.69
2012-08-02,0.70,0.70,0.69,0.69,2500,0.69
2012-08-01,0.70,0.70,0.67,0.69,1400,0.69
2012-07-31,0.57,0.70,0.57,0.70,3000,0.70
2012-07-30,0.71,0.71,0.71,0.71,000,0.71
2012-07-27,0.71,0.71,0.71,0.71,000,0.71
2012-07-26,0.71,0.71,0.71,0.71,000,0.71
2012-07-25,0.64,0.64,0.64,0.64,000,0.64
2012-07-24,0.65,0.65,0.64,0.64,3400,0.64
2012-07-23,0.63,0.64,0.61,0.64,11200,0.64
2012-07-20,0.63,0.65,0.63,0.65,500,0.65
2012-07-19,0.66,0.66,0.65,0.65,4900,0.65
2012-07-18,0.65,0.66,0.65,0.65,5500,0.65
2012-07-17,0.64,0.65,0.64,0.65,1000,0.65
2012-07-16,0.67,0.67,0.65,0.65,5900,0.65
