Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.57,0.62,0.57,0.57,3300,0.57
2013-05-22,0.60,0.63,0.60,0.63,12600,0.63
2013-05-21,0.59,0.60,0.59,0.60,6000,0.60
2013-05-20,0.54,0.58,0.53,0.58,13300,0.58
2013-05-17,0.58,0.59,0.53,0.53,300,0.53
2013-05-16,0.65,0.69,0.57,0.58,17600,0.58
2013-05-15,0.63,0.63,0.63,0.63,800,0.63
2013-05-14,0.63,0.65,0.63,0.63,14000,0.63
2013-05-13,0.64,0.64,0.60,0.63,1700,0.63
2013-05-10,0.64,0.64,0.60,0.63,3500,0.63
2013-05-09,0.56,0.60,0.56,0.60,16500,0.60
2013-05-08,0.59,0.59,0.54,0.56,1000,0.56
2013-05-07,0.58,0.58,0.58,0.58,000,0.58
2013-05-06,0.58,0.58,0.58,0.58,000,0.58
2013-05-03,0.58,0.58,0.58,0.58,000,0.58
2013-05-02,0.58,0.58,0.58,0.58,000,0.58
2013-05-01,0.58,0.58,0.58,0.58,000,0.58
2013-04-30,0.42,0.58,0.42,0.58,15000,0.58
2013-04-29,0.58,0.60,0.58,0.59,7300,0.59
2013-04-26,0.58,0.58,0.58,0.58,100,0.58
2013-04-25,0.58,0.58,0.58,0.58,000,0.58
2013-04-24,0.54,0.58,0.54,0.58,4500,0.58
2013-04-23,0.59,0.59,0.59,0.59,1000,0.59
2013-04-22,0.55,0.55,0.55,0.55,000,0.55
2013-04-19,0.53,0.53,0.51,0.51,3800,0.51
2013-04-18,0.50,0.54,0.50,0.54,4400,0.54
2013-04-17,0.45,0.48,0.45,0.48,5800,0.48
2013-04-16,0.45,0.46,0.42,0.43,6100,0.43
2013-04-15,0.45,0.45,0.43,0.43,2600,0.43
2013-04-12,0.43,0.47,0.43,0.47,4500,0.47
2013-04-11,0.50,0.50,0.43,0.43,5400,0.43
2013-04-10,0.42,0.51,0.42,0.51,23000,0.51
2013-04-09,0.43,0.43,0.43,0.43,700,0.43
2013-04-08,0.44,0.44,0.34,0.43,67500,0.43
2013-04-05,0.50,0.50,0.46,0.47,1000,0.47
2013-04-04,0.47,0.47,0.47,0.47,200,0.47
2013-04-03,0.50,0.51,0.49,0.50,11500,0.50
2013-04-02,0.42,0.51,0.42,0.50,2400,0.50
2013-04-01,0.54,0.54,0.54,0.54,000,0.54
2013-03-29,0.54,0.54,0.54,0.54,000,0.54
2013-03-28,0.54,0.54,0.53,0.54,400,0.54
