Date,Open,High,Low,Close,Volume,Adj Close
2013-01-01,3.30,3.30,3.30,3.30,000,3.30
2012-12-31,3.30,3.30,3.30,3.30,000,3.30
2012-12-28,3.30,3.30,3.30,3.30,000,3.30
2012-12-27,3.30,3.30,3.30,3.30,000,3.30
2012-12-26,3.30,3.30,3.30,3.30,000,3.30
2012-12-25,3.30,3.30,3.30,3.30,000,3.30
2012-12-24,3.30,3.30,3.30,3.30,000,3.30
2012-12-21,3.30,3.30,3.30,3.30,000,3.30
2012-12-20,3.30,3.30,3.30,3.30,600,3.30
2012-12-19,3.29,3.29,3.29,3.29,000,3.29
2012-12-18,3.29,3.29,3.29,3.29,000,3.29
2012-12-17,3.29,3.29,3.29,3.29,000,3.29
2012-12-14,3.29,3.29,3.29,3.29,000,3.29
2012-12-13,3.29,3.29,3.29,3.29,000,3.29
2012-12-12,3.29,3.29,3.29,3.29,000,3.29
2012-12-11,3.29,3.29,3.29,3.29,000,3.29
2012-12-10,3.29,3.29,3.29,3.29,000,3.29
2012-12-07,3.29,3.29,3.29,3.29,000,3.29
2012-12-06,3.29,3.29,3.29,3.29,000,3.29
2012-12-05,3.29,3.29,3.29,3.29,000,3.29
2012-12-04,3.29,3.29,3.29,3.29,000,3.29
2012-12-03,3.29,3.29,3.29,3.29,000,3.29
2012-11-30,3.29,3.29,3.29,3.29,000,3.29
2012-11-29,3.30,3.30,3.27,3.29,400,3.29
2012-11-28,3.65,3.65,3.65,3.65,000,3.65
2012-11-27,3.65,3.65,3.65,3.65,000,3.65
2012-11-26,3.65,3.65,3.65,3.65,000,3.65
2012-11-23,3.65,3.65,3.65,3.65,000,3.65
2012-11-22,3.65,3.65,3.65,3.65,000,3.65
2012-11-21,3.65,3.65,3.65,3.65,000,3.65
2012-11-20,3.65,3.65,3.65,3.65,000,3.65
2012-11-19,3.65,3.65,3.65,3.65,000,3.65
2012-11-16,3.65,3.65,3.65,3.65,000,3.65
2012-11-15,3.65,3.65,3.65,3.65,000,3.65
2012-11-14,3.65,3.65,3.65,3.65,000,3.65
2012-11-13,3.65,3.65,3.65,3.65,000,3.65
2012-11-12,3.65,3.65,3.65,3.65,000,3.65
2012-11-09,3.65,3.65,3.65,3.65,000,3.65
2012-11-08,3.65,3.65,3.65,3.65,000,3.65
2012-11-07,3.65,3.65,3.65,3.65,000,3.65
2012-11-06,3.65,3.65,3.65,3.65,300,3.65
2012-11-05,3.65,3.65,3.65,3.65,000,3.65
2012-11-02,3.65,3.65,3.65,3.65,000,3.65
2012-11-01,3.65,3.65,3.65,3.65,000,3.65
2012-10-31,3.65,3.65,3.65,3.65,000,3.65
2012-10-30,3.65,3.65,3.65,3.65,400,3.65
2012-10-29,3.65,3.65,3.65,3.65,000,3.65
2012-10-26,3.65,3.65,3.65,3.65,000,3.65
2012-10-25,3.65,3.65,3.65,3.65,7000,3.65
2012-10-24,3.65,3.65,3.65,3.65,000,3.65
2012-10-23,3.65,3.65,3.65,3.65,10000,3.65
2012-10-22,3.65,3.65,3.65,3.65,600,3.65
2012-10-19,3.65,3.65,3.65,3.65,000,3.65
2012-10-18,3.65,3.65,3.65,3.65,20000,3.65
2012-10-17,3.90,3.90,3.90,3.90,000,3.90
2012-10-16,3.65,3.65,3.65,3.65,000,3.65
2012-10-15,3.65,3.65,3.65,3.65,000,3.65
2012-10-12,3.65,3.65,3.65,3.65,000,3.65
2012-10-11,3.65,3.65,3.65,3.65,400,3.65
2012-10-10,3.65,3.65,3.65,3.65,1000,3.65
2012-10-09,3.65,3.65,3.65,3.65,900,3.65
2012-10-08,3.65,3.65,3.65,3.65,000,3.65
2012-10-05,3.65,3.65,3.65,3.65,100,3.65
2012-10-04,3.65,3.65,3.65,3.65,000,3.65
2012-10-03,3.65,3.65,3.65,3.65,400,3.65
2012-10-02,3.65,3.65,3.65,3.65,000,3.65
2012-10-01,3.65,3.65,3.65,3.65,000,3.65
2012-09-28,3.65,3.65,3.65,3.65,3200,3.65
2012-09-27,3.65,3.65,3.65,3.65,27900,3.65
2012-09-26,3.65,3.65,3.65,3.65,2000,3.65
2012-09-25,3.65,3.65,3.65,3.65,100,3.65
2012-09-24,3.65,3.65,3.65,3.65,000,3.65
2012-09-21,3.65,3.65,3.65,3.65,600,3.65
2012-09-20,3.65,3.65,3.65,3.65,300,3.65
2012-09-19,3.65,3.65,3.65,3.65,000,3.65
2012-09-18,3.65,3.65,3.65,3.65,000,3.65
2012-09-17,3.65,3.65,3.65,3.65,200,3.65
2012-09-14,3.65,3.65,3.65,3.65,000,3.65
2012-09-13,3.65,3.65,3.65,3.65,65900,3.65
2012-09-12,3.65,3.65,3.65,3.65,000,3.65
2012-09-11,3.65,3.65,3.65,3.65,000,3.65
2012-09-10,3.65,3.65,3.65,3.65,000,3.65
2012-09-07,3.65,3.65,3.65,3.65,000,3.65
2012-09-06,3.65,3.65,3.65,3.65,000,3.65
2012-09-05,3.65,3.65,3.65,3.65,000,3.65
2012-09-04,3.65,3.65,3.65,3.65,200,3.65
2012-09-03,3.65,3.65,3.65,3.65,600,3.65
2012-08-31,3.65,3.65,3.65,3.65,000,3.65
2012-08-30,3.65,3.65,3.65,3.65,000,3.65
2012-08-29,3.65,3.65,3.65,3.65,000,3.65
2012-08-28,3.65,3.65,3.65,3.65,400,3.65
2012-08-27,3.65,3.65,3.65,3.65,000,3.65
2012-08-24,3.65,3.65,3.65,3.65,000,3.65
2012-08-23,3.65,3.65,3.65,3.65,000,3.65
2012-08-22,3.65,3.65,3.65,3.65,000,3.65
2012-08-21,3.65,3.65,3.65,3.65,000,3.65
2012-08-20,3.65,3.65,3.65,3.65,000,3.65
2012-08-17,3.65,3.65,3.65,3.65,000,3.65
2012-08-16,3.65,3.65,3.65,3.65,000,3.65
2012-08-15,3.65,3.65,3.65,3.65,000,3.65
2012-08-14,3.65,3.65,3.65,3.65,000,3.65
2012-08-13,3.65,3.65,3.65,3.65,000,3.65
2012-08-10,3.65,3.65,3.65,3.65,000,3.65
2012-08-09,3.65,3.65,3.65,3.65,000,3.65
2012-08-08,3.65,3.65,3.65,3.65,000,3.65
2012-08-07,3.65,3.65,3.65,3.65,600,3.65
2012-08-06,3.65,3.65,3.65,3.65,000,3.65
2012-08-03,3.65,3.65,3.65,3.65,000,3.65
2012-08-02,3.65,3.65,3.65,3.65,000,3.65
2012-08-01,3.65,3.65,3.65,3.65,000,3.65
2012-07-31,3.65,3.65,3.65,3.65,000,3.65
2012-07-30,3.65,3.65,3.65,3.65,000,3.65
2012-07-27,3.65,3.65,3.65,3.65,1000,3.65
2012-07-26,3.65,3.65,3.65,3.65,1600,3.65
2012-07-25,3.65,3.65,3.65,3.65,000,3.65
2012-07-24,3.65,3.65,3.65,3.65,000,3.65
2012-07-23,3.65,3.65,3.65,3.65,600,3.65
2012-07-20,3.65,3.65,3.65,3.65,000,3.65
2012-07-19,3.65,3.65,3.65,3.65,100,3.65
2012-07-18,3.65,3.65,3.65,3.65,100,3.65
2012-07-17,3.65,3.65,3.65,3.65,7900,3.65
2012-07-16,3.65,3.65,3.65,3.65,000,3.65
2012-07-13,3.65,3.65,3.65,3.65,3900,3.65
2012-07-12,3.65,3.65,3.65,3.65,3900,3.65
2012-07-11,3.65,3.65,3.65,3.65,21900,3.65
2012-07-10,3.65,3.65,3.65,3.65,3300,3.65
2012-07-09,3.65,3.65,3.65,3.65,5700,3.65
2012-07-06,3.65,3.65,3.65,3.65,7800,3.65
2012-07-05,3.65,3.65,3.65,3.65,2700,3.65
2012-07-04,3.65,3.65,3.65,3.65,600,3.65
2012-07-03,3.65,3.65,3.65,3.65,26900,3.65
2012-07-02,3.65,3.65,3.65,3.65,2900,3.65
2012-06-29,3.65,3.65,3.65,3.65,100,3.65
2012-06-28,3.65,3.65,3.65,3.65,500,3.65
2012-06-27,3.65,3.65,3.65,3.65,800,3.65
2012-06-26,3.65,3.65,3.65,3.65,1300,3.65
2012-06-25,3.65,3.65,3.65,3.65,200,3.65
2012-06-22,3.65,3.65,3.65,3.65,300,3.65
2012-06-21,3.65,3.65,3.65,3.65,100,3.65
2012-06-20,3.65,3.65,3.65,3.65,27200,3.65
2012-06-19,3.65,3.65,3.65,3.65,2700,3.65
2012-06-18,3.65,3.65,3.65,3.65,600,3.65
2012-06-15,3.65,3.65,3.65,3.65,000,3.65
2012-06-14,3.65,3.65,3.65,3.65,000,3.65
2012-06-13,3.65,3.65,3.65,3.65,000,3.57
2012-06-12,3.65,3.65,3.65,3.65,000,3.57
