Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.09,0.09,0.09,0.09,13100,0.09
2013-05-22,0.08,0.08,0.08,0.08,4000,0.08
2013-05-21,0.08,0.08,0.06,0.07,300,0.07
2013-05-20,0.07,0.07,0.07,0.07,15400,0.07
2013-05-17,0.07,0.09,0.07,0.08,21400,0.08
2013-05-16,0.08,0.08,0.08,0.08,25300,0.08
2013-05-15,0.07,0.07,0.07,0.07,24900,0.07
2013-05-14,0.09,0.09,0.07,0.09,10200,0.09
2013-05-13,0.10,0.10,0.09,0.09,11500,0.09
2013-05-10,0.09,0.10,0.09,0.10,52400,0.10
2013-05-09,0.09,0.09,0.08,0.08,29000,0.08
2013-05-08,0.06,0.07,0.06,0.07,46000,0.07
2013-05-07,0.06,0.06,0.06,0.06,000,0.06
2013-05-06,0.06,0.06,0.06,0.06,000,0.06
2013-05-03,0.06,0.06,0.06,0.06,000,0.06
2013-05-02,0.06,0.06,0.06,0.06,25400,0.06
2013-05-01,0.05,0.05,0.05,0.05,000,0.05
2013-04-30,0.05,0.05,0.05,0.05,3000,0.05
2013-04-29,0.04,0.04,0.04,0.04,4500,0.04
2013-04-26,0.04,0.04,0.04,0.04,76600,0.04
2013-04-25,0.03,0.03,0.03,0.03,2400,0.03
2013-04-24,0.04,0.04,0.04,0.04,2400,0.04
2013-04-23,0.04,0.04,0.04,0.04,26400,0.04
2013-04-22,0.05,0.05,0.05,0.05,000,0.05
2013-04-19,0.05,0.05,0.05,0.05,10000,0.05
2013-04-18,0.05,0.05,0.05,0.05,3800,0.05
2013-04-17,0.06,0.06,0.06,0.06,000,0.06
2013-04-16,0.06,0.06,0.06,0.06,000,0.06
2013-04-15,0.06,0.06,0.06,0.06,000,0.06
2013-04-12,0.05,0.05,0.05,0.05,000,0.05
2013-04-11,0.05,0.05,0.05,0.05,1100,0.05
2013-04-10,0.05,0.06,0.05,0.05,35300,0.05
2013-04-09,0.06,0.06,0.06,0.06,000,0.06
2013-04-08,0.06,0.06,0.06,0.06,000,0.06
2013-04-05,0.06,0.06,0.06,0.06,000,0.06
2013-04-04,0.06,0.06,0.06,0.06,000,0.06
2013-04-03,0.06,0.06,0.06,0.06,2000,0.06
2013-04-02,0.06,0.06,0.06,0.06,000,0.06
2013-04-01,0.06,0.06,0.06,0.06,000,0.06
2013-03-29,0.06,0.06,0.06,0.06,000,0.06
2013-03-28,0.06,0.06,0.06,0.06,2000,0.06
2013-03-27,0.07,0.07,0.07,0.07,4000,0.07
2013-03-26,0.08,0.08,0.08,0.08,4000,0.08
