Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.25,0.25,0.24,0.25,3600,0.25
2013-05-22,0.29,0.29,0.28,0.29,7100,0.29
2013-05-21,0.25,0.29,0.25,0.29,7600,0.29
2013-05-20,0.30,0.30,0.28,0.29,3300,0.29
2013-05-17,0.30,0.30,0.30,0.30,3600,0.30
2013-05-16,0.30,0.31,0.30,0.30,17900,0.30
2013-05-15,0.30,0.30,0.30,0.30,9800,0.30
2013-05-14,0.30,0.30,0.29,0.30,11400,0.30
2013-05-13,0.24,0.26,0.24,0.25,7000,0.25
2013-05-10,0.24,0.25,0.24,0.24,18700,0.24
2013-05-09,0.21,0.24,0.21,0.23,15600,0.23
2013-05-08,0.19,0.21,0.19,0.20,6700,0.20
2013-05-07,0.19,0.19,0.19,0.19,000,0.19
2013-05-06,0.19,0.19,0.19,0.19,000,0.19
2013-05-03,0.19,0.19,0.19,0.19,000,0.19
2013-05-02,0.19,0.19,0.19,0.19,6500,0.19
2013-05-01,0.19,0.19,0.19,0.19,000,0.19
2013-04-30,0.20,0.20,0.19,0.19,6800,0.19
2013-04-29,0.20,0.20,0.19,0.19,8000,0.19
2013-04-26,0.19,0.20,0.19,0.19,14100,0.19
2013-04-25,0.19,0.20,0.19,0.19,21200,0.19
2013-04-24,0.20,0.20,0.20,0.20,2900,0.20
2013-04-23,0.20,0.21,0.20,0.20,45600,0.20
2013-04-22,0.21,0.21,0.20,0.21,5500,0.21
2013-04-19,0.22,0.22,0.21,0.21,3500,0.21
2013-04-18,0.22,0.22,0.20,0.21,2200,0.21
2013-04-17,0.20,0.21,0.20,0.20,19000,0.20
2013-04-16,0.20,0.22,0.20,0.20,40400,0.20
2013-04-15,0.23,0.23,0.21,0.22,37600,0.22
2013-04-12,0.22,0.22,0.22,0.22,7000,0.22
2013-04-11,0.21,0.22,0.21,0.22,11000,0.22
2013-04-10,0.20,0.22,0.20,0.21,34100,0.21
2013-04-09,0.20,0.22,0.20,0.20,78200,0.20
2013-04-08,0.26,0.26,0.24,0.25,25500,0.25
2013-04-05,0.31,0.31,0.29,0.30,4000,0.30
2013-04-04,0.31,0.32,0.31,0.31,19100,0.31
2013-04-03,0.32,0.32,0.30,0.31,1300,0.31
2013-04-02,0.31,0.31,0.30,0.30,1900,0.30
2013-04-01,0.32,0.32,0.32,0.32,000,0.32
2013-03-29,0.32,0.32,0.32,0.32,000,0.32
2013-03-28,0.32,0.32,0.32,0.32,5100,0.32
2013-03-27,0.30,0.31,0.29,0.30,10800,0.30
2013-03-26,0.31,0.33,0.30,0.32,4800,0.32
2013-03-25,0.33,0.33,0.33,0.33,000,0.33
2013-03-22,0.31,0.33,0.31,0.33,5100,0.33
2013-03-21,0.31,0.32,0.30,0.30,9200,0.30
2013-03-20,0.32,0.34,0.30,0.32,10500,0.32
2013-03-19,0.33,0.35,0.32,0.32,4700,0.32
2013-03-18,0.36,0.36,0.36,0.36,000,0.36
2013-03-15,0.36,0.38,0.36,0.36,11000,0.36
2013-03-14,0.39,0.39,0.37,0.37,17900,0.37
2013-03-13,0.35,0.37,0.34,0.37,5292300,0.37
2013-03-12,0.34,0.34,0.32,0.34,10100,0.34
2013-03-11,0.35,0.35,0.33,0.33,6400,0.33
2013-03-08,0.36,0.36,0.34,0.35,2200,0.35
2013-03-07,0.38,0.38,0.35,0.35,12000,0.35
2013-03-06,0.38,0.38,0.38,0.38,000,0.38
2013-03-05,0.38,0.38,0.37,0.38,1000,0.38
2013-03-04,0.36,0.38,0.35,0.38,4800,0.38
2013-03-01,0.40,0.40,0.37,0.37,5200,0.37
2013-02-28,0.38,0.38,0.37,0.38,3800,0.38
2013-02-27,0.39,0.39,0.37,0.38,9800,0.38
2013-02-26,0.36,0.40,0.36,0.38,8700,0.38
2013-02-25,0.41,0.41,0.39,0.39,7800,0.39
2013-02-22,0.43,0.43,0.41,0.41,3600,0.41
2013-02-21,0.42,0.44,0.42,0.42,5800,0.42
2013-02-20,0.44,0.44,0.44,0.44,2500,0.44
2013-02-19,0.43,0.45,0.43,0.44,12500,0.44
2013-02-18,0.43,0.43,0.42,0.43,1500,0.43
2013-02-15,0.44,0.44,0.42,0.43,7700,0.43
2013-02-14,0.43,0.44,0.42,0.43,4700,0.43
2013-02-13,0.40,0.43,0.40,0.43,800,0.43
2013-02-12,0.43,0.43,0.41,0.43,4600,0.43
2013-02-11,0.41,0.43,0.41,0.42,11200,0.42
2013-02-08,0.43,0.44,0.43,0.43,6100,0.43
2013-02-07,0.46,0.46,0.44,0.44,21400,0.44
2013-02-06,0.47,0.47,0.45,0.46,12900,0.46
2013-02-05,0.42,0.46,0.42,0.45,10200,0.45
2013-02-04,0.44,0.47,0.41,0.44,8600,0.44
2013-02-01,0.47,0.47,0.46,0.46,14600,0.46
2013-01-31,0.52,0.52,0.45,0.47,14800,0.47
2013-01-30,0.51,0.53,0.51,0.53,39200,0.53
2013-01-29,0.51,0.53,0.50,0.51,13200,0.51
2013-01-28,0.51,0.53,0.51,0.53,39600,0.53
2013-01-25,0.50,0.53,0.49,0.52,13400,0.52
2013-01-24,0.55,0.55,0.50,0.51,27000,0.51
2013-01-23,0.52,0.55,0.51,0.53,66500,0.53
2013-01-22,0.54,0.54,0.51,0.52,12100,0.52
2013-01-21,0.51,0.52,0.51,0.51,15500,0.51
2013-01-18,0.51,0.52,0.48,0.51,9900,0.51
2013-01-17,0.48,0.50,0.48,0.50,1200,0.50
2013-01-16,0.46,0.51,0.46,0.50,8700,0.50
2013-01-15,0.49,0.49,0.48,0.49,17600,0.49
2013-01-14,0.55,0.55,0.51,0.52,19300,0.52
2013-01-11,0.55,0.55,0.55,0.55,14500,0.55
2013-01-10,0.58,0.60,0.55,0.56,23500,0.56
2013-01-09,0.56,0.59,0.55,0.58,51700,0.58
2013-01-08,0.53,0.58,0.53,0.56,35600,0.56
2013-01-07,0.55,0.58,0.53,0.54,61700,0.54
2013-01-04,0.50,0.54,0.50,0.54,43500,0.54
2013-01-03,0.50,0.50,0.48,0.50,16000,0.50
2013-01-02,0.46,0.51,0.46,0.50,37600,0.50
2013-01-01,0.46,0.46,0.46,0.46,000,0.46
2012-12-31,0.46,0.46,0.46,0.46,000,0.46
2012-12-28,0.46,0.47,0.43,0.46,39600,0.46
2012-12-27,0.41,0.45,0.41,0.45,28600,0.45
2012-12-26,0.40,0.40,0.40,0.40,000,0.40
2012-12-25,0.40,0.40,0.40,0.40,000,0.40
2012-12-24,0.40,0.40,0.40,0.40,000,0.40
2012-12-21,0.37,0.40,0.37,0.40,39400,0.40
2012-12-20,0.36,0.38,0.35,0.37,24800,0.37
2012-12-19,0.34,0.35,0.34,0.35,18800,0.35
2012-12-18,0.33,0.34,0.32,0.34,13000,0.34
2012-12-17,0.34,0.34,0.31,0.33,12100,0.33
2012-12-14,0.34,0.35,0.33,0.34,13800,0.34
2012-12-13,0.33,0.35,0.32,0.34,11500,0.34
2012-12-12,0.36,0.36,0.34,0.34,7600,0.34
2012-12-11,0.34,0.36,0.34,0.34,25800,0.34
2012-12-10,0.31,0.33,0.31,0.33,12800,0.33
2012-12-07,0.31,0.31,0.31,0.31,1000,0.31
2012-12-06,0.31,0.31,0.28,0.30,4800,0.30
2012-12-05,0.28,0.30,0.28,0.30,2500,0.30
2012-12-04,0.30,0.30,0.30,0.30,3200,0.30
2012-12-03,0.35,0.35,0.30,0.32,7000,0.32
2012-11-30,0.24,0.35,0.24,0.35,8200,0.35
2012-11-29,0.38,0.38,0.31,0.34,9100,0.34
2012-11-28,0.33,0.34,0.32,0.32,9700,0.32
2012-11-27,0.32,0.32,0.30,0.32,8700,0.32
2012-11-26,0.32,0.32,0.32,0.32,6000,0.32
2012-11-23,0.33,0.33,0.30,0.33,2300,0.33
2012-11-22,0.34,0.34,0.32,0.33,10200,0.33
2012-11-21,0.34,0.34,0.34,0.34,14500,0.34
2012-11-20,0.27,0.30,0.27,0.30,11900,0.30
2012-11-19,0.28,0.28,0.28,0.28,2500,0.28
2012-11-16,0.28,0.28,0.25,0.28,4800,0.28
2012-11-15,0.27,0.27,0.26,0.27,1500,0.27
2012-11-14,0.28,0.28,0.28,0.28,300,0.28
2012-11-13,0.21,0.27,0.21,0.27,1400,0.27
2012-11-12,0.27,0.27,0.27,0.27,1200,0.27
2012-11-09,0.28,0.28,0.28,0.28,000,0.28
2012-11-08,0.28,0.28,0.25,0.27,2000,0.27
2012-11-07,0.28,0.28,0.28,0.28,1000,0.28
2012-11-06,0.28,0.28,0.28,0.28,1200,0.28
2012-11-05,0.22,0.28,0.22,0.28,300,0.28
2012-11-02,0.26,0.26,0.24,0.26,16500,0.26
2012-11-01,0.26,0.26,0.25,0.25,4500,0.25
2012-10-31,0.27,0.29,0.27,0.28,4000,0.28
2012-10-30,0.30,0.30,0.29,0.29,12500,0.29
2012-10-29,0.31,0.31,0.30,0.30,5800,0.30
2012-10-26,0.33,0.33,0.33,0.33,1300,0.33
2012-10-25,0.33,0.34,0.33,0.33,5200,0.33
2012-10-24,0.32,0.33,0.32,0.33,13600,0.33
2012-10-23,0.33,0.34,0.33,0.33,19600,0.33
2012-10-22,0.32,0.35,0.32,0.33,17800,0.33
2012-10-19,0.32,0.34,0.32,0.34,2100,0.34
2012-10-18,0.34,0.35,0.33,0.34,10100,0.34
2012-10-17,0.32,0.35,0.32,0.35,12600,0.35
2012-10-16,0.32,0.32,0.31,0.32,3500,0.32
