Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.76,0.76,0.76,0.76,000,0.76
2013-05-22,0.76,0.76,0.76,0.76,1400,0.76
2013-05-21,0.76,0.76,0.76,0.76,000,0.76
2013-05-20,0.76,0.76,0.76,0.76,300,0.76
2013-05-17,0.76,0.76,0.76,0.76,1800,0.76
2013-05-16,0.76,0.76,0.76,0.76,000,0.76
2013-05-15,0.76,0.76,0.75,0.76,1000,0.76
2013-05-14,0.64,0.64,0.64,0.64,000,0.64
2013-05-13,0.64,0.64,0.64,0.64,000,0.64
2013-05-10,0.64,0.64,0.64,0.64,000,0.64
2013-05-09,0.64,0.64,0.64,0.64,000,0.64
2013-05-08,0.64,0.64,0.64,0.64,000,0.64
2013-05-07,0.64,0.64,0.64,0.64,000,0.64
2013-05-06,0.64,0.64,0.64,0.64,000,0.64
2013-05-03,0.64,0.64,0.64,0.64,000,0.64
2013-05-02,0.64,0.64,0.64,0.64,000,0.64
2013-05-01,0.64,0.64,0.64,0.64,000,0.64
2013-04-30,0.64,0.64,0.64,0.64,000,0.64
2013-04-29,0.64,0.64,0.64,0.64,200,0.64
2013-04-26,0.76,0.76,0.76,0.76,000,0.76
2013-04-25,0.76,0.76,0.76,0.76,100,0.76
2013-04-24,0.64,0.64,0.64,0.64,1300,0.64
2013-04-23,0.64,0.64,0.64,0.64,000,0.64
2013-04-22,0.64,0.64,0.64,0.64,000,0.64
2013-04-19,0.64,0.64,0.64,0.64,900,0.64
2013-04-18,0.53,0.53,0.53,0.53,800,0.53
2013-04-17,0.47,0.47,0.47,0.47,000,0.47
2013-04-16,0.44,0.54,0.44,0.47,1600,0.47
2013-04-15,0.45,0.45,0.45,0.45,000,0.45
2013-04-12,0.44,0.53,0.44,0.45,200,0.45
2013-04-11,0.44,0.44,0.44,0.44,000,0.44
2013-04-10,0.44,0.44,0.44,0.44,1600,0.44
2013-04-09,0.46,0.46,0.44,0.44,2100,0.44
2013-04-08,0.44,0.44,0.44,0.44,700,0.44
2013-04-05,0.46,0.46,0.46,0.46,200,0.46
2013-04-04,0.45,0.45,0.45,0.45,000,0.45
2013-04-03,0.46,0.47,0.36,0.45,500,0.45
2013-04-02,0.45,0.45,0.45,0.45,14000,0.45
2013-04-01,0.45,0.45,0.45,0.45,000,0.45
2013-03-29,0.45,0.45,0.45,0.45,000,0.45
2013-03-28,0.55,0.55,0.44,0.45,4000,0.45
2013-03-27,0.55,0.55,0.55,0.55,2300,0.55
2013-03-26,0.56,0.56,0.56,0.56,1000,0.56
