Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.02,2.12,2.00,2.07,230100,2.07
2013-05-22,1.96,2.12,1.96,2.07,317300,2.07
2013-05-21,1.81,1.98,1.79,1.95,370500,1.95
2013-05-20,2.00,2.03,1.87,1.87,181100,1.87
2013-05-17,2.05,2.07,1.96,1.98,160000,1.98
2013-05-16,2.15,2.15,2.03,2.05,125400,2.05
2013-05-15,2.12,2.14,2.08,2.13,182200,2.13
2013-05-14,1.98,2.07,1.95,2.03,162500,2.03
2013-05-13,1.89,1.98,1.83,1.98,224000,1.98
2013-05-10,1.91,1.98,1.87,1.89,146200,1.89
2013-05-09,1.90,2.02,1.83,1.99,350600,1.99
2013-05-08,1.80,1.90,1.70,1.90,286200,1.90
2013-05-07,1.61,1.61,1.61,1.61,000,1.61
2013-05-06,1.61,1.61,1.61,1.61,000,1.61
2013-05-03,1.61,1.61,1.61,1.61,000,1.61
2013-05-02,1.54,1.63,1.54,1.61,102400,1.61
2013-05-01,1.54,1.54,1.54,1.54,000,1.54
2013-04-30,1.59,1.59,1.51,1.54,186600,1.54
2013-04-29,1.70,1.70,1.61,1.62,102000,1.62
2013-04-26,1.78,1.78,1.65,1.70,154900,1.70
2013-04-25,1.73,1.80,1.72,1.78,200200,1.78
2013-04-24,1.73,1.76,1.70,1.73,97700,1.73
2013-04-23,1.64,1.78,1.64,1.71,194900,1.71
2013-04-22,1.67,1.69,1.61,1.67,83800,1.67
2013-04-19,1.74,1.75,1.62,1.64,98400,1.64
2013-04-18,1.69,1.76,1.66,1.72,186800,1.72
2013-04-17,1.61,1.68,1.61,1.67,187700,1.67
2013-04-16,1.51,1.61,1.51,1.61,127400,1.61
2013-04-15,1.50,1.58,1.48,1.54,159800,1.54
2013-04-12,1.41,1.51,1.38,1.50,129800,1.50
2013-04-11,1.42,1.46,1.31,1.44,278300,1.44
2013-04-10,1.28,1.39,1.28,1.38,289500,1.38
2013-04-09,1.19,1.28,1.18,1.28,142300,1.28
2013-04-08,1.11,1.16,1.00,1.16,283200,1.16
2013-04-05,1.20,1.23,1.13,1.13,94600,1.13
2013-04-04,1.15,1.23,1.15,1.20,108700,1.20
2013-04-03,1.13,1.20,1.10,1.14,116000,1.14
2013-04-02,1.23,1.25,1.13,1.13,111700,1.13
2013-04-01,1.23,1.23,1.23,1.23,000,1.23
2013-03-29,1.23,1.23,1.23,1.23,000,1.23
2013-03-28,1.20,1.28,1.19,1.23,131000,1.23
2013-03-27,1.32,1.33,1.17,1.22,258700,1.22
2013-03-26,1.38,1.38,1.28,1.30,132600,1.30
2013-03-25,1.38,1.38,1.38,1.38,000,1.38
2013-03-22,1.29,1.38,1.28,1.38,128000,1.38
2013-03-21,1.32,1.39,1.25,1.31,237900,1.31
2013-03-20,1.34,1.40,1.31,1.35,146100,1.35
2013-03-19,1.42,1.46,1.33,1.33,210900,1.33
2013-03-18,1.51,1.51,1.51,1.51,000,1.51
2013-03-15,1.47,1.52,1.47,1.51,97300,1.51
2013-03-14,1.55,1.59,1.46,1.47,249100,1.47
2013-03-13,1.49,1.59,1.47,1.57,297500,1.57
2013-03-12,1.40,1.52,1.40,1.51,427200,1.51
2013-03-11,1.51,1.51,1.37,1.38,279200,1.38
2013-03-08,1.46,1.52,1.40,1.51,206700,1.51
2013-03-07,1.56,1.58,1.46,1.46,172500,1.46
2013-03-06,1.58,1.60,1.51,1.56,158900,1.56
2013-03-05,1.61,1.62,1.51,1.56,160300,1.56
2013-03-04,1.60,1.62,1.55,1.59,204500,1.59
2013-03-01,1.70,1.72,1.62,1.62,216800,1.62
2013-02-28,1.76,1.80,1.69,1.70,321900,1.70
2013-02-27,1.78,1.82,1.72,1.77,95500,1.77
2013-02-26,1.70,1.79,1.69,1.75,151400,1.75
2013-02-25,1.87,1.92,1.76,1.77,107400,1.77
2013-02-22,1.90,1.91,1.83,1.87,225400,1.87
2013-02-21,2.00,2.02,1.90,1.90,225100,1.90
2013-02-20,2.06,2.08,2.04,2.05,75100,2.05
2013-02-19,2.08,2.08,2.01,2.04,98000,2.04
2013-02-18,2.08,2.13,2.04,2.09,131500,2.09
2013-02-15,2.03,2.09,2.03,2.08,216500,2.08
2013-02-14,1.91,2.05,1.91,2.03,184300,2.03
2013-02-13,1.94,1.95,1.87,1.93,70200,1.93
2013-02-12,1.88,1.99,1.85,1.93,122500,1.93
2013-02-11,2.00,2.01,1.87,1.88,190700,1.88
2013-02-08,2.12,2.12,1.97,2.00,105100,2.00
2013-02-07,2.11,2.11,2.02,2.09,126500,2.09
2013-02-06,2.06,2.12,2.05,2.08,219600,2.08
2013-02-05,1.95,2.05,1.91,2.02,187100,2.02
2013-02-04,1.81,1.95,1.72,1.94,347400,1.94
2013-02-01,1.93,1.96,1.74,1.80,258700,1.80
2013-01-31,1.95,1.96,1.83,1.90,246900,1.90
2013-01-30,2.11,2.13,1.97,1.97,157800,1.97
2013-01-29,2.20,2.21,2.04,2.09,174200,2.09
2013-01-28,2.29,2.31,2.21,2.22,88700,2.22
2013-01-25,2.10,2.26,2.06,2.26,290300,2.26
2013-01-24,2.33,2.38,2.10,2.14,202100,2.14
2013-01-23,2.28,2.36,2.25,2.33,171400,2.33
