Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,2.05,2.05,2.05,2.05,000,2.05
2013-05-22,1.98,2.05,1.98,2.05,500,2.05
2013-05-21,1.96,1.96,1.96,1.96,000,1.96
2013-05-20,1.96,1.96,1.96,1.96,000,1.96
2013-05-17,1.96,1.96,1.96,1.96,000,1.96
2013-05-16,1.97,1.97,1.97,1.97,000,1.97
2013-05-15,1.97,1.97,1.97,1.97,100,1.97
2013-05-14,1.63,1.85,1.62,1.84,1000,1.84
2013-05-13,1.71,1.89,1.71,1.87,8000,1.87
2013-05-10,1.71,1.71,1.71,1.71,000,1.71
2013-05-09,1.31,1.71,1.31,1.71,200,1.71
2013-05-08,1.79,1.79,1.60,1.73,400,1.73
2013-05-07,1.79,1.79,1.79,1.79,000,1.79
2013-05-06,1.79,1.79,1.79,1.79,000,1.79
2013-05-03,1.79,1.79,1.79,1.79,000,1.79
2013-05-02,1.79,1.79,1.79,1.79,000,1.79
2013-05-01,1.79,1.79,1.79,1.79,000,1.79
2013-04-30,1.67,1.79,1.67,1.79,1500,1.79
2013-04-29,1.67,1.67,1.67,1.67,100,1.67
2013-04-26,1.67,1.67,1.67,1.67,000,1.67
2013-04-25,1.67,1.67,1.67,1.67,60100,1.67
2013-04-24,1.71,1.71,1.71,1.71,000,1.71
2013-04-23,1.71,1.71,1.71,1.71,000,1.71
2013-04-22,1.65,1.67,1.65,1.67,300,1.67
2013-04-19,1.70,1.70,1.70,1.70,400,1.70
2013-04-18,1.70,1.70,1.70,1.70,1600,1.70
2013-04-17,1.66,1.66,1.66,1.66,000,1.66
2013-04-16,1.79,1.79,1.60,1.66,200,1.66
2013-04-15,1.77,1.77,1.77,1.77,000,1.77
2013-04-12,1.77,1.77,1.77,1.77,000,1.77
2013-04-11,1.77,1.77,1.77,1.77,000,1.77
2013-04-10,1.70,1.70,1.70,1.70,000,1.70
2013-04-09,1.59,1.59,1.59,1.59,000,1.59
2013-04-08,1.74,1.74,1.74,1.74,000,1.74
2013-04-05,1.74,1.74,1.74,1.74,000,1.74
2013-04-04,1.76,1.76,1.74,1.74,300,1.74
2013-04-03,1.74,1.74,1.74,1.74,000,1.74
2013-04-02,1.74,1.74,1.74,1.74,000,1.74
2013-04-01,1.74,1.74,1.74,1.74,000,1.74
2013-03-29,1.74,1.74,1.74,1.74,000,1.74
2013-03-28,1.74,1.74,1.74,1.74,000,1.74
2013-03-27,1.73,1.74,1.73,1.74,2500,1.74
2013-03-26,1.77,1.78,1.77,1.78,600,1.78
2013-03-25,1.79,1.79,1.79,1.79,000,1.79
2013-03-22,1.79,1.79,1.79,1.79,000,1.79
2013-03-21,1.71,1.71,1.71,1.71,3000,1.71
2013-03-20,1.58,1.74,1.58,1.74,6900,1.74
2013-03-19,1.75,1.75,1.75,1.75,000,1.75
2013-03-18,1.75,1.75,1.75,1.75,000,1.75
2013-03-15,1.75,1.75,1.75,1.75,000,1.75
2013-03-14,1.75,1.75,1.75,1.75,000,1.75
2013-03-13,1.75,1.75,1.75,1.75,500,1.75
2013-03-12,1.79,1.79,1.79,1.79,000,1.79
2013-03-11,1.74,1.74,1.74,1.74,000,1.74
2013-03-08,1.74,1.74,1.74,1.74,000,1.74
2013-03-07,1.75,1.75,1.52,1.74,1800,1.74
2013-03-06,1.68,1.68,1.68,1.68,000,1.68
2013-03-05,1.78,1.78,1.78,1.78,000,1.78
2013-03-04,1.78,1.78,1.78,1.78,000,1.78
2013-03-01,1.79,1.79,1.58,1.76,400,1.76
2013-02-28,1.67,1.72,1.67,1.72,200,1.72
2013-02-27,1.77,1.77,1.77,1.77,000,1.77
2013-02-26,1.77,1.77,1.77,1.77,000,1.77
2013-02-25,1.77,1.77,1.77,1.77,000,1.77
2013-02-22,1.77,1.77,1.77,1.77,000,1.77
2013-02-21,1.73,1.77,1.73,1.77,000,1.77
2013-02-20,1.74,1.74,1.74,1.74,000,1.74
2013-02-19,1.72,1.72,1.72,1.72,4100,1.72
2013-02-18,1.70,1.77,1.70,1.76,1200,1.76
2013-02-15,1.78,1.78,1.78,1.78,000,1.78
2013-02-14,1.78,1.78,1.78,1.78,000,1.78
2013-02-13,1.78,1.78,1.78,1.78,000,1.78
2013-02-12,1.78,1.78,1.78,1.78,000,1.78
2013-02-11,1.78,1.78,1.78,1.78,1000,1.78
2013-02-08,1.78,1.78,1.78,1.78,000,1.78
2013-02-07,1.75,1.75,1.75,1.75,000,1.75
2013-02-06,1.80,1.80,1.80,1.80,000,1.80
2013-02-05,1.80,1.80,1.80,1.80,000,1.80
2013-02-04,1.80,1.85,1.80,1.80,300,1.80
2013-02-01,1.80,1.80,1.80,1.80,000,1.80
2013-01-31,1.90,1.90,1.90,1.90,000,1.90
2013-01-30,1.90,1.90,1.90,1.90,000,1.90
2013-01-29,1.90,1.90,1.90,1.90,000,1.90
2013-01-28,1.95,1.95,1.90,1.90,900,1.90
2013-01-25,1.89,1.89,1.89,1.89,600,1.89
2013-01-24,1.95,1.95,1.88,1.91,3700,1.91
2013-01-23,1.85,1.97,1.85,1.91,7500,1.91
2013-01-22,1.87,1.87,1.87,1.87,000,1.87
2013-01-21,1.87,1.87,1.87,1.87,000,1.87
2013-01-18,1.75,1.88,1.75,1.87,2400,1.87
2013-01-17,1.76,1.76,1.76,1.76,000,1.76
2013-01-16,1.76,1.76,1.76,1.76,000,1.76
2013-01-15,1.76,1.76,1.76,1.76,000,1.76
2013-01-14,1.76,1.76,1.76,1.76,000,1.76
2013-01-11,1.60,1.79,1.60,1.76,9100,1.76
2013-01-10,1.63,1.63,1.63,1.63,500,1.63
2013-01-09,1.58,1.65,1.58,1.61,3900,1.61
2013-01-08,1.50,1.55,1.46,1.55,5400,1.55
2013-01-07,1.47,1.47,1.47,1.47,000,1.47
2013-01-04,1.38,1.50,1.36,1.47,52500,1.47
2013-01-03,1.38,1.38,1.25,1.38,11100,1.38
2013-01-02,1.35,1.38,1.35,1.38,1100,1.38
2013-01-01,1.20,1.20,1.20,1.20,000,1.20
2012-12-31,1.20,1.20,1.20,1.20,000,1.20
2012-12-28,1.00,1.20,1.00,1.20,600,1.20
2012-12-27,1.10,1.10,1.10,1.10,800,1.10
2012-12-26,1.08,1.08,1.08,1.08,000,1.08
2012-12-25,1.08,1.08,1.08,1.08,000,1.08
2012-12-24,1.08,1.08,1.08,1.08,000,1.08
