Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.34,0.34,0.34,0.34,000,0.34
2013-05-22,0.32,0.35,0.31,0.34,3900,0.34
2013-05-21,0.33,0.35,0.33,0.35,900,0.35
2013-05-20,0.35,0.35,0.35,0.35,700,0.35
2013-05-17,0.37,0.37,0.33,0.35,1400,0.35
2013-05-16,0.36,0.37,0.36,0.36,700,0.36
2013-05-15,0.36,0.36,0.36,0.36,300,0.36
2013-05-14,0.36,0.36,0.36,0.36,000,0.36
2013-05-13,0.35,0.36,0.35,0.36,200,0.36
2013-05-10,0.36,0.36,0.36,0.36,000,0.36
2013-05-09,0.37,0.37,0.35,0.35,400,0.35
2013-05-08,0.35,0.35,0.35,0.35,1200,0.35
2013-05-07,0.35,0.35,0.35,0.35,000,0.35
2013-05-06,0.35,0.35,0.35,0.35,000,0.35
2013-05-03,0.35,0.35,0.35,0.35,000,0.35
2013-05-02,0.35,0.35,0.35,0.35,000,0.35
2013-05-01,0.35,0.35,0.35,0.35,000,0.35
2013-04-30,0.33,0.35,0.33,0.35,200,0.35
2013-04-29,0.35,0.35,0.35,0.35,300,0.35
2013-04-26,0.32,0.34,0.32,0.34,1000,0.34
2013-04-25,0.34,0.34,0.34,0.34,100,0.34
2013-04-24,0.30,0.33,0.30,0.33,100,0.33
2013-04-23,0.30,0.33,0.30,0.33,800,0.33
2013-04-22,0.33,0.33,0.29,0.33,900,0.33
2013-04-19,0.32,0.32,0.32,0.32,900,0.32
2013-04-18,0.32,0.32,0.31,0.31,400,0.31
2013-04-17,0.30,0.31,0.30,0.31,500,0.31
2013-04-16,0.31,0.31,0.31,0.31,300,0.31
2013-04-15,0.32,0.32,0.31,0.31,600,0.31
2013-04-12,0.31,0.31,0.31,0.31,600,0.31
2013-04-11,0.31,0.31,0.31,0.31,500,0.31
2013-04-10,0.29,0.30,0.29,0.30,700,0.30
2013-04-09,0.28,0.30,0.28,0.29,4100,0.29
2013-04-08,0.31,0.31,0.31,0.31,000,0.31
2013-04-05,0.31,0.31,0.31,0.31,000,0.31
2013-04-04,0.31,0.31,0.31,0.31,000,0.31
2013-04-03,0.31,0.31,0.31,0.31,100,0.31
2013-04-02,0.31,0.31,0.31,0.31,000,0.31
2013-04-01,0.31,0.31,0.31,0.31,000,0.31
2013-03-29,0.31,0.31,0.31,0.31,000,0.31
2013-03-28,0.32,0.32,0.31,0.31,1100,0.31
2013-03-27,0.28,0.30,0.28,0.30,7700,0.30
2013-03-26,0.31,0.31,0.31,0.31,100,0.31
2013-03-25,0.30,0.30,0.30,0.30,000,0.30
2013-03-22,0.27,0.30,0.27,0.30,700,0.30
2013-03-21,0.29,0.31,0.29,0.30,2800,0.30
2013-03-20,0.30,0.32,0.30,0.32,600,0.32
2013-03-19,0.33,0.33,0.33,0.33,000,0.33
2013-03-18,0.33,0.33,0.33,0.33,000,0.33
2013-03-15,0.33,0.33,0.33,0.33,000,0.33
2013-03-14,0.33,0.33,0.33,0.33,100,0.33
2013-03-13,0.31,0.32,0.31,0.32,6900,0.32
2013-03-12,0.30,0.32,0.30,0.32,300,0.32
2013-03-11,0.32,0.32,0.32,0.32,100,0.32
2013-03-08,0.31,0.31,0.31,0.31,3600,0.31
2013-03-07,0.31,0.32,0.30,0.31,8500,0.31
2013-03-06,0.34,0.34,0.33,0.34,1100,0.34
2013-03-05,0.35,0.35,0.31,0.34,100,0.34
2013-03-04,0.32,0.35,0.32,0.34,1500,0.34
2013-03-01,0.35,0.35,0.35,0.35,000,0.35
