Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.41,0.50,0.41,0.45,1008400,0.45
2013-05-22,0.35,0.43,0.35,0.40,887500,0.40
2013-05-21,0.35,0.38,0.32,0.33,1240800,0.33
2013-05-20,0.58,0.60,0.41,0.41,2152300,0.41
2013-05-17,0.64,0.64,0.55,0.58,1940200,0.58
2013-05-16,0.42,0.50,0.41,0.50,1813200,0.50
2013-05-15,0.34,0.39,0.32,0.39,1208700,0.39
2013-05-14,0.29,0.32,0.28,0.30,1362100,0.30
2013-05-13,0.28,0.29,0.25,0.29,1138700,0.29
2013-05-10,0.24,0.29,0.24,0.25,1102200,0.25
2013-05-09,0.20,0.25,0.19,0.24,1280800,0.24
2013-05-08,0.17,0.19,0.17,0.19,410500,0.19
2013-05-07,0.17,0.17,0.17,0.17,000,0.17
2013-05-06,0.17,0.17,0.17,0.17,000,0.17
2013-05-03,0.17,0.17,0.17,0.17,000,0.17
2013-05-02,0.16,0.18,0.16,0.17,78500,0.17
2013-05-01,0.16,0.16,0.16,0.16,000,0.16
2013-04-30,0.18,0.18,0.16,0.16,104400,0.16
2013-04-29,0.20,0.20,0.17,0.18,97800,0.18
2013-04-26,0.19,0.19,0.18,0.19,395200,0.19
2013-04-25,0.17,0.19,0.17,0.18,257700,0.18
2013-04-24,0.17,0.18,0.17,0.17,111400,0.17
2013-04-23,0.18,0.19,0.17,0.17,146400,0.17
2013-04-22,0.17,0.19,0.17,0.18,213900,0.18
2013-04-19,0.18,0.18,0.16,0.16,54900,0.16
2013-04-18,0.17,0.17,0.16,0.17,62000,0.17
2013-04-17,0.16,0.17,0.16,0.17,139100,0.17
2013-04-16,0.16,0.17,0.16,0.16,108500,0.16
2013-04-15,0.17,0.20,0.17,0.18,204800,0.18
2013-04-12,0.22,0.23,0.18,0.20,447700,0.20
2013-04-11,0.19,0.21,0.18,0.21,589700,0.21
2013-04-10,0.14,0.17,0.13,0.17,749400,0.17
2013-04-09,0.14,0.15,0.13,0.14,551200,0.14
2013-04-08,0.12,0.15,0.12,0.14,1200800,0.14
2013-04-05,0.18,0.18,0.16,0.17,56100,0.17
2013-04-04,0.15,0.18,0.15,0.17,155600,0.17
2013-04-03,0.17,0.17,0.15,0.16,162500,0.16
2013-04-02,0.18,0.19,0.14,0.16,150400,0.16
2013-04-01,0.19,0.19,0.19,0.19,000,0.19
2013-03-29,0.19,0.19,0.19,0.19,000,0.19
2013-03-28,0.20,0.20,0.19,0.19,70800,0.19
2013-03-27,0.20,0.20,0.19,0.20,138800,0.20
2013-03-26,0.20,0.20,0.19,0.20,23300,0.20
2013-03-25,0.21,0.21,0.21,0.21,000,0.21
2013-03-22,0.19,0.21,0.19,0.21,119400,0.21
2013-03-21,0.21,0.21,0.19,0.20,74900,0.20
2013-03-20,0.18,0.20,0.18,0.19,109000,0.19
2013-03-19,0.20,0.20,0.18,0.19,105100,0.19
2013-03-18,0.20,0.20,0.20,0.20,000,0.20
2013-03-15,0.20,0.21,0.19,0.20,80800,0.20
2013-03-14,0.19,0.20,0.19,0.20,55900,0.20
2013-03-13,0.21,0.22,0.20,0.20,112100,0.20
2013-03-12,0.22,0.22,0.21,0.22,21000,0.22
2013-03-11,0.21,0.22,0.21,0.21,147800,0.21
2013-03-08,0.21,0.22,0.21,0.21,193400,0.21
2013-03-07,0.21,0.22,0.20,0.20,102300,0.20
2013-03-06,0.23,0.23,0.22,0.22,82800,0.22
2013-03-05,0.23,0.24,0.23,0.23,30800,0.23
2013-03-04,0.25,0.25,0.23,0.24,144800,0.24
2013-03-01,0.24,0.25,0.24,0.24,25800,0.24
2013-02-28,0.25,0.26,0.24,0.24,130400,0.24
2013-02-27,0.22,0.25,0.22,0.25,225100,0.25
2013-02-26,0.23,0.24,0.22,0.22,181000,0.22
2013-02-25,0.25,0.25,0.23,0.24,215700,0.24
2013-02-22,0.25,0.26,0.25,0.26,99600,0.26
2013-02-21,0.25,0.26,0.25,0.25,138500,0.25
2013-02-20,0.26,0.27,0.25,0.26,357800,0.26
2013-02-19,0.27,0.28,0.27,0.27,235700,0.27
2013-02-18,0.29,0.29,0.28,0.28,43400,0.28
2013-02-15,0.28,0.29,0.28,0.29,127700,0.29
2013-02-14,0.28,0.29,0.27,0.28,188400,0.28
2013-02-13,0.28,0.29,0.27,0.28,141300,0.28
2013-02-12,0.30,0.31,0.26,0.28,389000,0.28
2013-02-11,0.32,0.33,0.31,0.31,19600,0.31
2013-02-08,0.32,0.32,0.31,0.32,43300,0.32
2013-02-07,0.33,0.33,0.32,0.32,87800,0.32
2013-02-06,0.33,0.34,0.33,0.33,124900,0.33
2013-02-05,0.31,0.34,0.31,0.33,93800,0.33
2013-02-04,0.33,0.33,0.31,0.31,77200,0.31
2013-02-01,0.31,0.34,0.31,0.33,90500,0.33
2013-01-31,0.32,0.33,0.32,0.32,98700,0.32
2013-01-30,0.36,0.36,0.33,0.34,198500,0.34
2013-01-29,0.39,0.39,0.36,0.36,59500,0.36
2013-01-28,0.40,0.40,0.39,0.39,168800,0.39
2013-01-25,0.40,0.42,0.40,0.40,110200,0.40
2013-01-24,0.40,0.43,0.40,0.40,109300,0.40
2013-01-23,0.41,0.42,0.40,0.40,102900,0.40
2013-01-22,0.41,0.43,0.40,0.41,152500,0.41
2013-01-21,0.44,0.44,0.40,0.41,191700,0.41
2013-01-18,0.47,0.47,0.42,0.42,284100,0.42
2013-01-17,0.45,0.46,0.43,0.46,264500,0.46
2013-01-16,0.45,0.46,0.44,0.44,290300,0.44
2013-01-15,0.42,0.44,0.42,0.43,426900,0.43
2013-01-14,0.45,0.46,0.39,0.41,1351400,0.41
2013-01-11,0.63,0.63,0.49,0.50,2127900,0.50
2013-01-10,0.69,0.73,0.67,0.68,475900,0.68
2013-01-09,0.64,0.69,0.61,0.67,205100,0.67
2013-01-08,0.64,0.68,0.63,0.64,229300,0.64
2013-01-07,0.69,0.71,0.62,0.65,377000,0.65
2013-01-04,0.61,0.71,0.61,0.69,631200,0.69
2013-01-03,0.57,0.58,0.56,0.57,124000,0.57
2013-01-02,0.58,0.59,0.57,0.57,64300,0.57
2013-01-01,0.57,0.57,0.57,0.57,000,0.57
2012-12-31,0.57,0.57,0.57,0.57,000,0.57
2012-12-28,0.60,0.61,0.57,0.57,42400,0.57
2012-12-27,0.59,0.62,0.59,0.60,126500,0.60
2012-12-26,0.58,0.58,0.58,0.58,000,0.58
2012-12-25,0.58,0.58,0.58,0.58,000,0.58
2012-12-24,0.58,0.58,0.58,0.58,000,0.58
2012-12-21,0.58,0.59,0.58,0.58,88900,0.58
2012-12-20,0.58,0.59,0.56,0.58,136300,0.58
2012-12-19,0.57,0.58,0.56,0.58,115200,0.58
2012-12-18,0.53,0.56,0.53,0.55,120600,0.55
2012-12-17,0.57,0.57,0.53,0.53,179900,0.53
2012-12-14,0.56,0.58,0.56,0.57,31800,0.57
2012-12-13,0.60,0.60,0.56,0.57,89500,0.57
2012-12-12,0.62,0.62,0.58,0.58,97100,0.58
2012-12-11,0.57,0.61,0.57,0.60,181400,0.60
2012-12-10,0.54,0.58,0.54,0.57,75800,0.57
2012-12-07,0.58,0.58,0.54,0.56,56700,0.56
2012-12-06,0.57,0.58,0.56,0.58,46400,0.58
2012-12-05,0.54,0.56,0.54,0.56,64300,0.56
2012-12-04,0.56,0.57,0.53,0.55,49700,0.55
2012-12-03,0.53,0.56,0.53,0.56,105600,0.56
2012-11-30,0.53,0.54,0.53,0.53,87600,0.53
2012-11-29,0.54,0.57,0.53,0.54,100900,0.54
2012-11-28,0.55,0.56,0.53,0.54,319700,0.54
2012-11-27,0.60,0.60,0.53,0.55,459700,0.55
2012-11-26,0.59,0.59,0.58,0.58,145300,0.58
2012-11-23,0.59,0.60,0.58,0.58,135800,0.58
2012-11-22,0.59,0.61,0.58,0.59,376700,0.59
2012-11-21,0.53,0.58,0.53,0.58,350700,0.58
2012-11-20,0.62,0.62,0.58,0.58,218800,0.58
2012-11-19,0.58,0.62,0.58,0.61,292600,0.61
2012-11-16,0.58,0.58,0.55,0.57,113700,0.57
2012-11-15,0.58,0.60,0.55,0.56,196100,0.56
2012-11-14,0.55,0.60,0.54,0.58,329900,0.58
2012-11-13,0.52,0.53,0.43,0.53,722200,0.53
2012-11-12,0.62,0.62,0.48,0.52,224400,0.52
2012-11-09,0.56,0.61,0.53,0.59,176600,0.59
2012-11-08,0.63,0.63,0.57,0.58,217200,0.58
2012-11-07,0.69,0.69,0.64,0.65,237700,0.65
2012-11-06,0.63,0.70,0.63,0.66,247800,0.66
2012-11-05,0.60,0.65,0.60,0.65,390600,0.65
2012-11-02,0.50,0.58,0.50,0.58,497800,0.58
2012-11-01,0.61,0.63,0.50,0.50,524100,0.50
2012-10-31,0.60,0.65,0.60,0.61,347600,0.61
2012-10-30,0.47,0.67,0.47,0.60,1161400,0.60
2012-10-29,0.72,0.73,0.58,0.60,889900,0.60
