Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.34,0.34,0.34,0.34,1000,0.34
2013-05-22,0.35,0.35,0.35,0.35,5400,0.35
2013-05-21,0.35,0.35,0.24,0.35,3300,0.35
2013-05-20,0.29,0.29,0.24,0.29,2600,0.29
2013-05-17,0.19,0.25,0.19,0.25,5800,0.25
2013-05-16,0.21,0.21,0.21,0.21,11300,0.21
2013-05-15,0.21,0.21,0.21,0.21,21200,0.21
2013-05-14,0.19,0.21,0.19,0.21,2900,0.21
2013-05-13,0.21,0.21,0.21,0.21,2000,0.21
2013-05-10,0.22,0.22,0.20,0.21,100,0.21
2013-05-09,0.20,0.20,0.20,0.20,7000,0.20
2013-05-08,0.20,0.20,0.20,0.20,4100,0.20
2013-05-07,0.20,0.20,0.20,0.20,000,0.20
2013-05-06,0.20,0.20,0.20,0.20,000,0.20
2013-05-03,0.20,0.20,0.20,0.20,000,0.20
2013-05-02,0.20,0.24,0.20,0.20,358600,0.20
2013-05-01,0.20,0.20,0.20,0.20,000,0.20
2013-04-30,0.20,0.22,0.20,0.20,10300,0.20
2013-04-29,0.20,0.20,0.20,0.20,4000,0.20
2013-04-26,0.21,0.21,0.21,0.21,000,0.21
2013-04-25,0.21,0.21,0.21,0.21,000,0.21
2013-04-24,0.21,0.22,0.21,0.21,1100,0.21
2013-04-23,0.23,0.23,0.23,0.23,300,0.23
2013-04-22,0.23,0.23,0.23,0.23,000,0.23
2013-04-19,0.23,0.23,0.23,0.23,100,0.23
2013-04-18,0.29,0.29,0.29,0.29,000,0.29
2013-04-17,0.29,0.29,0.29,0.29,000,0.29
2013-04-16,0.29,0.29,0.29,0.29,000,0.29
2013-04-15,0.29,0.29,0.29,0.29,000,0.29
2013-04-12,0.29,0.29,0.29,0.29,000,0.29
2013-04-11,0.29,0.29,0.29,0.29,000,0.29
2013-04-10,0.29,0.29,0.29,0.29,000,0.29
2013-04-09,0.29,0.29,0.29,0.29,000,0.29
2013-04-08,0.29,0.29,0.29,0.29,000,0.29
2013-04-05,0.22,0.33,0.22,0.29,100,0.29
2013-04-04,0.28,0.28,0.28,0.28,000,0.28
2013-04-03,0.28,0.28,0.28,0.28,000,0.28
2013-04-02,0.24,0.24,0.24,0.24,1600,0.24
2013-04-01,0.30,0.30,0.30,0.30,000,0.30
2013-03-29,0.30,0.30,0.30,0.30,000,0.30
2013-03-28,0.30,0.30,0.30,0.30,1400,0.30
2013-03-27,0.34,0.34,0.34,0.34,000,0.34
2013-03-26,0.40,0.40,0.40,0.40,000,0.40
2013-03-25,0.40,0.40,0.40,0.40,000,0.40
2013-03-22,0.40,0.40,0.40,0.40,000,0.40
2013-03-21,0.40,0.40,0.40,0.40,000,0.40
2013-03-20,0.40,0.40,0.40,0.40,000,0.40
2013-03-19,0.40,0.40,0.40,0.40,000,0.40
2013-03-18,0.34,0.34,0.34,0.34,000,0.34
2013-03-15,0.34,0.34,0.34,0.34,000,0.34
2013-03-14,0.34,0.34,0.34,0.34,1900,0.34
2013-03-13,0.34,0.34,0.34,0.34,100,0.34
2013-03-12,0.42,0.42,0.42,0.42,1000,0.42
2013-03-11,0.52,0.52,0.52,0.52,000,0.52
2013-03-08,0.52,0.52,0.52,0.52,000,0.52
2013-03-07,0.52,0.52,0.52,0.52,000,0.52
2013-03-06,0.52,0.52,0.52,0.52,000,0.52
2013-03-05,0.52,0.52,0.52,0.52,000,0.52
2013-03-04,0.52,0.52,0.52,0.52,000,0.52
2013-03-01,0.54,0.54,0.52,0.52,000,0.52
2013-02-28,0.47,0.47,0.45,0.45,5900,0.45
2013-02-27,0.33,0.40,0.33,0.39,300,0.39
2013-02-26,0.41,0.41,0.41,0.41,3100,0.41
2013-02-25,0.39,0.39,0.39,0.39,000,0.39
2013-02-22,0.39,0.39,0.39,0.39,000,0.39
2013-02-21,0.39,0.39,0.39,0.39,3500,0.39
2013-02-20,0.33,0.40,0.33,0.39,8300,0.39
2013-02-19,0.33,0.33,0.33,0.33,000,0.33
2013-02-18,0.33,0.33,0.33,0.33,000,0.33
2013-02-15,0.33,0.33,0.33,0.33,000,0.33
2013-02-14,0.33,0.33,0.33,0.33,000,0.33
2013-02-13,0.33,0.33,0.33,0.33,1900,0.33
2013-02-12,0.40,0.40,0.40,0.40,1400,0.40
2013-02-11,0.33,0.33,0.33,0.33,400,0.33
2013-02-08,0.33,0.33,0.33,0.33,2300,0.33
2013-02-07,0.33,0.33,0.33,0.33,1200,0.33
2013-02-06,0.33,0.33,0.33,0.33,600,0.33
2013-02-05,0.33,0.33,0.33,0.33,100,0.33
2013-02-04,0.33,0.33,0.33,0.33,5300,0.33
2013-02-01,0.33,0.33,0.33,0.33,000,0.33
2013-01-31,0.33,0.33,0.33,0.33,1000,0.33
2013-01-30,0.40,0.40,0.40,0.40,000,0.40
2013-01-29,0.40,0.40,0.40,0.40,2500,0.40
2013-01-28,0.42,0.45,0.42,0.43,3900,0.43
2013-01-25,0.50,0.50,0.50,0.50,000,0.50
2013-01-24,0.53,0.53,0.53,0.53,4700,0.53
2013-01-23,0.53,0.53,0.53,0.53,500,0.53
2013-01-22,0.52,0.52,0.52,0.52,1200,0.52
2013-01-21,0.50,0.50,0.50,0.50,000,0.50
2013-01-18,0.50,0.50,0.50,0.50,500,0.50
2013-01-17,0.50,0.50,0.50,0.50,000,0.50
2013-01-16,0.60,0.60,0.51,0.59,8100,0.59
2013-01-15,0.59,0.59,0.54,0.58,24500,0.58
2013-01-14,0.60,0.60,0.54,0.59,5700,0.59
2013-01-11,0.53,0.53,0.45,0.52,15200,0.52
2013-01-10,0.45,0.45,0.45,0.45,000,0.45
2013-01-09,0.37,0.37,0.37,0.37,12100,0.37
2013-01-08,0.31,0.31,0.31,0.31,12400,0.31
2013-01-07,0.26,0.26,0.26,0.26,2200,0.26
2013-01-04,0.20,0.24,0.20,0.22,21200,0.22
2013-01-03,0.20,0.20,0.20,0.20,000,0.20
2013-01-02,0.20,0.20,0.20,0.20,000,0.20
2013-01-01,0.20,0.20,0.20,0.20,000,0.20
2012-12-31,0.20,0.20,0.20,0.20,000,0.20
2012-12-28,0.20,0.20,0.20,0.20,000,0.20
2012-12-27,0.20,0.20,0.20,0.20,200,0.20
2012-12-26,0.25,0.25,0.25,0.25,000,0.25
2012-12-25,0.25,0.25,0.25,0.25,000,0.25
2012-12-24,0.25,0.25,0.25,0.25,000,0.25
2012-12-21,0.25,0.25,0.25,0.25,100,0.25
2012-12-20,0.29,0.29,0.29,0.29,000,0.29
2012-12-19,0.29,0.33,0.29,0.29,400,0.29
2012-12-18,0.28,0.28,0.28,0.28,000,0.28
2012-12-17,0.28,0.28,0.28,0.28,200,0.28
2012-12-14,0.35,0.35,0.35,0.35,000,0.35
2012-12-13,0.35,0.35,0.35,0.35,000,0.35
2012-12-12,0.35,0.35,0.35,0.35,000,0.35
2012-12-11,0.35,0.35,0.35,0.35,100,0.35
2012-12-10,0.28,0.37,0.28,0.37,4300,0.37
2012-12-07,0.31,0.31,0.31,0.31,1200,0.31
2012-12-06,0.25,0.25,0.25,0.25,400,0.25
2012-12-05,0.21,0.21,0.21,0.21,000,0.21
2012-12-04,0.25,0.29,0.25,0.26,5300,0.26
2012-12-03,0.31,0.31,0.31,0.31,400,0.31
2012-11-30,0.31,0.31,0.31,0.31,3000,0.31
2012-11-29,0.31,0.31,0.31,0.31,1800,0.31
2012-11-28,0.31,0.31,0.31,0.31,600,0.31
2012-11-27,0.31,0.31,0.31,0.31,000,0.31
2012-11-26,0.31,0.31,0.31,0.31,000,0.31
2012-11-23,0.31,0.31,0.31,0.31,900,0.31
2012-11-22,0.31,0.31,0.31,0.31,9800,0.31
2012-11-21,0.28,0.32,0.28,0.31,2200,0.31
2012-11-20,0.32,0.32,0.32,0.32,000,0.32
2012-11-19,0.32,0.32,0.32,0.32,700,0.32
2012-11-16,0.32,0.32,0.32,0.32,1100,0.32
2012-11-15,0.33,0.33,0.33,0.33,1000,0.33
2012-11-14,0.30,0.30,0.30,0.30,5500,0.30
2012-11-13,0.35,0.35,0.35,0.35,000,0.35
2012-11-12,0.41,0.41,0.35,0.35,2000,0.35
2012-11-09,0.31,0.35,0.31,0.35,45100,0.35
2012-11-08,0.29,0.29,0.29,0.29,10300,0.29
2012-11-07,0.23,0.25,0.23,0.24,35300,0.24
2012-11-06,0.21,0.21,0.21,0.21,000,0.21
2012-11-05,0.21,0.21,0.21,0.21,000,0.21
2012-11-02,0.21,0.21,0.21,0.21,000,0.21
2012-11-01,0.26,0.26,0.26,0.26,000,0.26
2012-10-31,0.26,0.26,0.26,0.26,000,0.26
2012-10-30,0.33,0.33,0.33,0.33,2000,0.33
2012-10-29,0.33,0.33,0.33,0.33,000,0.33
2012-10-26,0.33,0.33,0.33,0.33,000,0.33
2012-10-25,0.34,0.34,0.34,0.34,000,0.34
2012-10-24,0.34,0.34,0.34,0.34,000,0.34
2012-10-23,0.34,0.34,0.34,0.34,000,0.34
2012-10-22,0.34,0.34,0.34,0.34,000,0.34
2012-10-19,0.42,0.42,0.42,0.42,000,0.42
2012-10-18,0.42,0.42,0.42,0.42,300,0.42
2012-10-17,0.42,0.42,0.42,0.42,200,0.42
2012-10-16,0.46,0.46,0.46,0.46,000,0.46
2012-10-15,0.46,0.46,0.46,0.46,000,0.46
2012-10-12,0.46,0.46,0.46,0.46,000,0.46
2012-10-11,0.46,0.46,0.46,0.46,000,0.46
2012-10-10,0.46,0.46,0.46,0.46,100,0.46
2012-10-09,0.50,0.50,0.50,0.50,000,0.50
2012-10-08,0.68,0.68,0.51,0.62,200,0.62
2012-10-05,0.64,0.64,0.64,0.64,100,0.64
2012-10-04,0.80,0.80,0.80,0.80,000,0.80
2012-10-03,0.80,0.80,0.80,0.80,000,0.80
2012-10-02,0.70,0.70,0.70,0.70,000,0.70
2012-10-01,0.60,0.60,0.60,0.60,000,0.60
2012-09-28,0.60,0.60,0.60,0.60,000,0.60
2012-09-27,0.60,0.60,0.60,0.60,000,0.60
2012-09-26,0.60,0.60,0.60,0.60,900,0.60
2012-09-25,0.50,0.50,0.50,0.50,200,0.50
2012-09-24,0.42,0.42,0.42,0.42,000,0.42
2012-09-21,0.42,0.42,0.42,0.42,200,0.42
2012-09-20,0.42,0.42,0.42,0.42,000,0.42
2012-09-19,0.42,0.42,0.42,0.42,000,0.42
2012-09-18,0.42,0.42,0.42,0.42,900,0.42
2012-09-17,0.42,0.42,0.42,0.42,000,0.42
2012-09-14,0.42,0.42,0.42,0.42,1400,0.42
2012-09-13,0.41,0.41,0.41,0.41,300,0.41
2012-09-12,0.41,0.41,0.41,0.41,600,0.41
2012-09-11,0.40,0.40,0.40,0.40,000,0.40
2012-09-10,0.40,0.40,0.40,0.40,000,0.40
2012-09-07,0.40,0.40,0.40,0.40,000,0.40
2012-09-06,0.40,0.40,0.40,0.40,000,0.40
2012-09-05,0.40,0.40,0.40,0.40,000,0.40
2012-09-04,0.40,0.40,0.40,0.40,000,0.40
2012-09-03,0.45,0.45,0.45,0.45,500,0.45
2012-08-31,0.45,0.45,0.45,0.45,000,0.45
2012-08-30,0.45,0.45,0.45,0.45,000,0.45
2012-08-29,0.45,0.45,0.45,0.45,458000,0.45
2012-08-28,0.50,0.50,0.50,0.50,700,0.50
2012-08-27,0.56,0.56,0.56,0.56,000,0.56
2012-08-24,0.56,0.56,0.56,0.56,000,0.56
2012-08-23,0.56,0.56,0.56,0.56,000,0.56
2012-08-22,0.56,0.56,0.56,0.56,000,0.56
2012-08-21,0.56,0.56,0.56,0.56,000,0.56
2012-08-20,0.56,0.56,0.56,0.56,000,0.56
2012-08-17,0.70,0.70,0.70,0.70,000,0.70
2012-08-16,0.70,0.70,0.70,0.70,000,0.70
2012-08-15,0.82,0.82,0.82,0.82,000,0.82
2012-08-14,0.82,0.82,0.82,0.82,000,0.82
2012-08-13,1.03,1.03,1.03,1.03,000,1.03
2012-08-10,1.03,1.03,1.03,1.03,000,1.03
2012-08-09,1.03,1.03,1.03,1.03,000,1.03
2012-08-08,1.03,1.03,1.03,1.03,000,1.03
2012-08-07,0.90,0.90,0.90,0.90,000,0.90
2012-08-06,0.76,0.76,0.76,0.76,000,0.76
2012-08-03,0.64,0.64,0.51,0.64,1200,0.64
2012-08-02,0.64,0.66,0.64,0.64,5100,0.64
2012-08-01,0.64,0.64,0.64,0.64,200,0.64
2012-07-31,0.64,0.64,0.64,0.64,10000,0.64
2012-07-30,0.67,0.67,0.63,0.64,8600,0.64
2012-07-27,0.65,0.65,0.65,0.65,000,0.65
2012-07-26,0.70,0.70,0.51,0.65,700,0.65
2012-07-25,0.63,0.63,0.63,0.63,300,0.63
2012-07-24,0.53,0.53,0.53,0.53,500,0.53
2012-07-23,0.44,0.44,0.44,0.44,800,0.44
2012-07-20,0.37,0.37,0.37,0.37,200,0.37
2012-07-19,0.30,0.32,0.27,0.31,2200,0.31
2012-07-18,0.27,0.28,0.27,0.27,2000,0.27
2012-07-17,0.23,0.23,0.23,0.23,1100,0.23
2012-07-16,0.19,0.19,0.19,0.19,300,0.19
2012-07-13,0.16,0.16,0.16,0.16,200,0.16
2012-07-12,0.13,0.13,0.13,0.13,000,0.13
2012-07-11,0.13,0.13,0.13,0.13,000,0.13
2012-07-10,0.13,0.13,0.13,0.13,000,0.13
2012-07-09,0.13,0.13,0.13,0.13,000,0.13
2012-07-06,0.13,0.13,0.13,0.13,000,0.13
2012-07-05,0.13,0.13,0.13,0.13,100,0.13
2012-07-04,0.13,0.13,0.13,0.13,000,0.13
2012-07-03,0.13,0.13,0.13,0.13,000,0.13
2012-07-02,0.13,0.13,0.13,0.13,000,0.13
2012-06-29,0.13,0.13,0.13,0.13,000,0.13
2012-06-28,0.13,0.13,0.13,0.13,000,0.13
2012-06-27,0.13,0.13,0.13,0.13,000,0.13
2012-06-26,0.13,0.13,0.13,0.13,000,0.13
2012-06-25,0.13,0.13,0.13,0.13,000,0.13
2012-06-22,0.13,0.13,0.13,0.13,000,0.13
2012-06-21,0.13,0.13,0.13,0.13,000,0.13
2012-06-20,0.13,0.13,0.13,0.13,000,0.13
2012-06-19,0.13,0.13,0.13,0.13,000,0.13
2012-06-18,0.13,0.13,0.13,0.13,000,0.13
2012-06-15,0.13,0.13,0.13,0.13,000,0.13
2012-06-14,0.13,0.13,0.13,0.13,000,0.13
2012-06-13,0.13,0.13,0.13,0.13,2000,0.13
2012-06-12,0.17,0.17,0.17,0.17,600,0.17
2012-06-11,0.21,0.21,0.21,0.21,000,0.21
2012-06-08,0.21,0.21,0.21,0.21,000,0.21
2012-06-07,0.21,0.21,0.21,0.21,300,0.21
2012-06-06,0.21,0.21,0.21,0.21,000,0.21
2012-06-05,0.21,0.21,0.21,0.21,100,0.21
2012-06-04,0.26,0.26,0.26,0.26,000,0.26
2012-06-01,0.26,0.26,0.26,0.26,000,0.26
2012-05-31,0.26,0.26,0.26,0.26,000,0.26
2012-05-30,0.26,0.26,0.26,0.26,000,0.26
2012-05-29,0.26,0.26,0.26,0.26,000,0.26
2012-05-28,0.26,0.26,0.26,0.26,1100,0.26
2012-05-25,0.26,0.26,0.26,0.26,000,0.26
2012-05-24,0.26,0.26,0.26,0.26,000,0.26
2012-05-23,0.26,0.26,0.26,0.26,000,0.26
2012-05-22,0.26,0.26,0.26,0.26,000,0.26
2012-05-21,0.26,0.26,0.26,0.26,000,0.26
2012-05-18,0.26,0.26,0.26,0.26,000,0.26
2012-05-17,0.26,0.26,0.26,0.26,000,0.26
2012-05-16,0.26,0.26,0.26,0.26,000,0.26
2012-05-15,0.26,0.26,0.26,0.26,000,0.26
2012-05-14,0.26,0.26,0.26,0.26,000,0.26
2012-05-11,0.26,0.26,0.26,0.26,000,0.26
2012-05-10,0.26,0.26,0.26,0.26,000,0.26
2012-05-09,0.26,0.26,0.26,0.26,000,0.26
2012-05-08,0.26,0.26,0.26,0.26,000,0.26
2012-05-07,0.26,0.26,0.26,0.26,000,0.26
2012-05-04,0.26,0.26,0.26,0.26,000,0.26
2012-05-03,0.26,0.26,0.26,0.26,000,0.26
2012-05-02,0.26,0.26,0.26,0.26,000,0.26
2012-05-01,0.26,0.26,0.26,0.26,000,0.26
2012-04-30,0.26,0.26,0.26,0.26,900,0.26
2012-04-27,0.26,0.26,0.26,0.26,000,0.26
2012-04-26,0.26,0.26,0.26,0.26,000,0.26
2012-04-25,0.26,0.26,0.26,0.26,000,0.26
2012-04-24,0.26,0.26,0.26,0.26,000,0.26
2012-04-23,0.26,0.26,0.26,0.26,000,0.26
2012-04-20,0.26,0.26,0.26,0.26,000,0.26
2012-04-19,0.26,0.26,0.26,0.26,000,0.26
2012-04-18,0.26,0.26,0.26,0.26,000,0.26
2012-04-17,0.26,0.26,0.26,0.26,000,0.26
2012-04-16,0.26,0.26,0.26,0.26,000,0.26
2012-04-13,0.26,0.26,0.26,0.26,000,0.26
2012-04-12,0.26,0.26,0.26,0.26,000,0.26
2012-04-11,0.30,0.30,0.30,0.30,000,0.30
2012-04-10,0.30,0.30,0.30,0.30,000,0.30
2012-04-09,0.30,0.30,0.30,0.30,000,0.30
2012-04-06,0.30,0.30,0.30,0.30,000,0.30
2012-04-05,0.30,0.30,0.30,0.30,000,0.30
2012-04-04,0.30,0.30,0.30,0.30,000,0.30
2012-04-03,0.30,0.30,0.30,0.30,000,0.30
2012-04-02,0.30,0.30,0.30,0.30,000,0.30
2012-03-30,0.30,0.30,0.30,0.30,000,0.30
2012-03-29,0.30,0.30,0.30,0.30,000,0.30
2012-03-28,0.30,0.30,0.30,0.30,000,0.30
2012-03-27,0.30,0.30,0.30,0.30,000,0.30
2012-03-26,0.30,0.30,0.30,0.30,000,0.30
2012-03-23,0.30,0.30,0.30,0.30,1200,0.30
2012-03-22,0.30,0.30,0.30,0.30,000,0.30
2012-03-21,0.30,0.30,0.30,0.30,000,0.30
2012-03-20,0.30,0.30,0.30,0.30,1800,0.30
2012-03-19,0.30,0.30,0.30,0.30,000,0.30
2012-03-16,0.30,0.30,0.30,0.30,000,0.30
2012-03-15,0.30,0.30,0.30,0.30,100,0.30
2012-03-14,0.30,0.30,0.30,0.30,000,0.30
2012-03-13,0.30,0.30,0.30,0.30,100,0.30
2012-03-12,0.42,0.42,0.42,0.42,000,0.42
2012-03-09,0.42,0.42,0.42,0.42,000,0.42
2012-03-08,0.42,0.42,0.42,0.42,000,0.42
2012-03-07,0.42,0.42,0.42,0.42,000,0.42
2012-03-06,0.34,0.34,0.34,0.34,1500,0.34
