Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,15.23,15.49,15.10,15.16,4500,15.16
2013-05-22,15.60,15.80,15.07,15.47,9400,15.47
2013-05-21,15.70,16.00,15.38,15.50,12600,15.50
2013-05-20,17.00,17.00,16.10,16.10,17100,16.10
2013-05-17,16.04,17.35,15.75,17.06,29800,17.06
2013-05-16,15.54,15.90,15.35,15.79,14600,15.79
2013-05-15,15.56,15.63,15.30,15.54,14700,15.54
2013-05-14,15.50,15.50,15.00,15.29,7900,15.29
2013-05-13,15.00,15.51,15.00,15.45,10700,15.45
2013-05-10,15.50,15.97,15.00,15.00,10900,15.00
2013-05-09,14.50,15.50,14.50,15.50,21700,15.50
2013-05-08,13.85,14.50,13.85,14.50,13500,14.50
2013-05-07,13.74,13.74,13.74,13.74,000,13.74
2013-05-06,13.74,13.74,13.74,13.74,000,13.74
2013-05-03,13.74,13.74,13.74,13.74,000,13.74
2013-05-02,13.50,13.90,13.50,13.74,3300,13.74
2013-05-01,13.50,13.50,13.50,13.50,000,13.50
2013-04-30,13.90,13.98,13.50,13.50,6400,13.50
2013-04-29,14.40,14.40,13.82,13.90,6600,13.90
2013-04-26,14.27,14.40,13.75,14.40,10800,14.40
2013-04-25,14.10,14.37,13.93,14.11,6800,14.11
2013-04-24,13.95,14.00,13.75,13.85,7100,13.85
2013-04-23,14.15,14.25,13.85,13.95,4300,13.95
2013-04-22,13.87,14.11,13.85,13.98,7700,13.98
2013-04-19,13.00,13.67,13.00,13.53,9700,13.53
2013-04-18,13.08,13.20,12.96,13.15,4500,13.15
2013-04-17,13.08,13.27,12.81,12.86,9200,12.86
2013-04-16,12.90,13.00,12.64,12.96,2000,12.96
2013-04-15,13.00,13.17,12.62,12.75,5100,12.75
2013-04-12,13.10,13.25,12.70,12.90,6900,12.90
2013-04-11,13.00,13.12,12.64,13.00,7300,13.00
2013-04-10,12.46,12.95,12.45,12.90,14700,12.90
2013-04-09,12.10,12.47,11.76,12.44,6400,12.44
2013-04-08,11.80,12.01,11.26,12.01,13500,12.01
2013-04-05,12.43,12.50,11.81,12.20,6400,12.20
2013-04-04,12.00,12.79,12.00,12.43,1500,12.43
2013-04-03,12.16,12.50,11.93,12.30,8700,12.30
2013-04-02,12.52,12.55,12.15,12.37,3000,12.37
2013-04-01,12.45,12.45,12.45,12.45,000,12.45
2013-03-29,12.45,12.45,12.45,12.45,000,12.45
2013-03-28,12.40,12.60,12.04,12.45,5200,12.45
2013-03-27,12.31,12.99,12.22,12.26,10200,12.26
2013-03-26,13.02,13.08,12.62,12.68,8400,12.68
2013-03-25,13.40,13.40,13.40,13.40,000,13.40
2013-03-22,13.06,13.40,13.01,13.40,5000,13.40
2013-03-21,13.60,13.69,12.99,13.10,10200,13.10
2013-03-20,13.02,13.67,13.02,13.60,5600,13.60
2013-03-19,13.75,13.90,13.40,13.55,15000,13.55
2013-03-18,14.09,14.09,14.09,14.09,000,14.09
2013-03-15,14.00,14.27,13.97,14.09,3400,14.09
2013-03-14,14.12,14.12,13.83,13.97,6500,13.97
2013-03-13,14.00,14.20,14.00,14.12,2200,14.12
2013-03-12,13.79,14.30,13.79,14.30,2000,14.30
2013-03-11,14.55,14.55,13.99,14.25,2300,14.25
2013-03-08,14.40,14.77,14.30,14.46,2000,14.46
2013-03-07,14.59,15.00,14.25,14.34,6200,14.34
2013-03-06,14.90,14.90,14.32,14.44,12600,14.44
2013-03-05,15.11,15.27,14.92,14.92,11200,14.52
2013-03-04,15.52,15.89,15.40,15.40,5800,14.98
2013-03-01,15.99,15.99,15.73,15.89,1400,15.46
2013-02-28,16.10,16.30,15.71,15.89,2600,15.46
2013-02-27,15.90,16.19,15.80,15.98,2600,15.55
2013-02-26,16.01,16.01,15.35,15.77,12500,15.34
2013-02-25,16.12,16.70,16.10,16.20,5900,15.76
2013-02-22,16.55,16.65,16.30,16.50,6500,16.05
2013-02-21,17.02,17.02,16.44,16.56,7700,16.11
2013-02-20,17.18,17.18,16.92,17.02,5200,16.56
2013-02-19,16.89,17.27,16.88,17.08,4300,16.62
2013-02-18,17.45,17.50,17.00,17.30,2800,16.83
2013-02-15,17.40,17.44,17.20,17.42,2100,16.95
2013-02-14,17.50,17.52,17.28,17.40,3000,16.93
2013-02-13,17.59,17.59,17.15,17.50,7500,17.03
2013-02-12,17.58,17.58,17.21,17.44,2200,16.97
2013-02-11,17.30,17.70,17.15,17.33,3700,16.86
2013-02-08,17.11,17.60,17.11,17.30,7500,16.83
2013-02-07,17.70,17.70,17.20,17.60,9700,17.12
2013-02-06,17.40,17.89,17.20,17.70,10000,17.22
2013-02-05,16.29,17.18,16.20,17.09,6300,16.63
2013-02-04,16.45,16.45,15.51,16.29,7700,15.85
2013-02-01,17.15,17.20,16.10,16.25,6300,15.81
2013-01-31,17.05,17.19,16.72,16.98,5900,16.52
2013-01-30,17.23,17.49,17.03,17.23,4500,16.76
2013-01-29,17.35,17.35,17.02,17.23,4600,16.76
2013-01-28,17.36,17.60,17.20,17.35,6000,16.88
2013-01-25,17.07,17.66,16.92,17.60,8000,17.12
2013-01-24,17.28,17.71,16.85,17.04,15500,16.58
2013-01-23,17.52,17.70,17.00,17.28,5900,16.81
2013-01-22,17.74,17.74,16.93,17.45,15400,16.98
2013-01-21,18.10,18.10,17.06,17.74,8200,17.26
2013-01-18,17.25,18.20,17.25,17.80,10600,17.32
2013-01-17,17.68,17.68,17.21,17.30,4300,16.83
2013-01-16,16.89,17.70,16.89,17.40,10400,16.93
2013-01-15,16.66,17.10,16.07,16.50,18600,16.05
2013-01-14,18.13,18.50,16.50,16.66,19200,16.21
2013-01-11,18.40,18.90,17.80,18.13,14800,17.64
2013-01-10,18.52,19.19,18.50,18.82,19700,18.31
2013-01-09,18.26,19.00,17.95,18.50,26800,18.00
2013-01-08,15.97,18.40,15.97,17.85,41300,17.37
2013-01-07,15.20,16.49,15.20,15.97,21300,15.54
2013-01-04,14.00,14.84,14.00,14.83,19600,14.43
2013-01-03,13.80,14.00,13.50,13.98,11300,13.60
2013-01-02,13.60,13.90,13.31,13.75,8200,13.38
2013-01-01,13.55,13.55,13.55,13.55,000,13.18
2012-12-31,13.55,13.55,13.55,13.55,000,13.18
2012-12-28,13.49,13.62,13.40,13.55,11500,13.18
2012-12-27,13.10,13.50,13.10,13.43,8200,13.07
2012-12-26,12.90,12.90,12.90,12.90,000,12.55
2012-12-25,12.90,12.90,12.90,12.90,000,12.55
2012-12-24,12.90,12.90,12.90,12.90,000,12.55
2012-12-21,12.32,12.90,12.32,12.90,7500,12.55
2012-12-20,12.97,12.97,12.51,12.78,5900,12.43
2012-12-19,12.50,13.01,12.50,12.97,6100,12.62
2012-12-18,12.70,12.70,12.30,12.45,2300,12.11
2012-12-17,12.50,12.75,12.31,12.39,3400,12.06
2012-12-14,12.50,12.88,12.50,12.50,5100,12.16
2012-12-13,12.90,13.00,12.50,12.65,4500,12.31
2012-12-12,12.98,13.00,12.81,12.81,3200,12.46
2012-12-11,12.46,13.08,12.46,12.98,5100,12.63
2012-12-10,12.36,12.68,12.36,12.57,3600,12.23
2012-12-07,12.68,12.68,12.30,12.36,7300,12.03
2012-12-06,12.70,13.00,12.56,12.68,4500,12.34
2012-12-05,12.95,12.95,12.47,12.70,4600,12.36
2012-12-04,13.00,13.00,12.63,12.70,500,12.36
2012-12-03,12.85,13.00,12.56,12.80,2800,12.45
2012-11-30,13.00,13.00,12.57,12.72,1800,12.38
2012-11-29,13.00,13.30,12.71,12.81,1600,12.46
2012-11-28,12.81,13.00,12.74,12.74,7200,12.40
2012-11-27,13.90,13.90,12.61,13.10,3600,12.75
2012-11-26,12.81,13.48,12.81,13.36,2800,13.00
