Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,3.41,3.44,3.28,3.32,90200,3.32
2013-05-22,3.55,3.55,3.45,3.52,53200,3.52
2013-05-21,3.45,3.55,3.43,3.47,50600,3.47
2013-05-20,3.58,3.60,3.44,3.57,83400,3.57
2013-05-17,3.60,3.63,3.39,3.54,118600,3.54
2013-05-16,3.62,3.73,3.55,3.60,132200,3.60
2013-05-15,3.56,3.65,3.48,3.64,225000,3.64
2013-05-14,3.47,3.55,3.41,3.43,76200,3.43
2013-05-13,3.45,3.53,3.39,3.51,55900,3.51
2013-05-10,3.59,3.59,3.41,3.41,86500,3.41
2013-05-09,3.55,3.65,3.47,3.60,229300,3.60
2013-05-08,3.42,3.54,3.42,3.54,360900,3.54
2013-05-07,3.42,3.42,3.42,3.42,000,3.42
2013-05-06,3.42,3.42,3.42,3.42,000,3.42
2013-05-03,3.42,3.42,3.42,3.42,000,3.42
2013-05-02,3.36,3.42,3.32,3.42,21800,3.42
2013-05-01,3.36,3.36,3.36,3.36,000,3.36
2013-04-30,3.23,3.40,3.18,3.36,44900,3.36
2013-04-29,3.29,3.33,3.24,3.28,49300,3.28
2013-04-26,3.38,3.43,3.26,3.33,110600,3.33
2013-04-25,3.36,3.43,3.33,3.38,93400,3.38
2013-04-24,3.34,3.41,3.28,3.31,39800,3.31
2013-04-23,3.27,3.36,3.27,3.34,33900,3.34
2013-04-22,3.28,3.39,3.25,3.35,43900,3.35
2013-04-19,3.44,3.51,3.25,3.28,454500,3.28
2013-04-18,3.41,3.49,3.36,3.48,215000,3.48
2013-04-17,3.32,3.42,3.27,3.42,160200,3.42
2013-04-16,3.17,3.38,3.17,3.32,208800,3.32
2013-04-15,3.06,3.22,3.05,3.20,133800,3.20
2013-04-12,2.96,3.11,2.92,3.10,123000,3.10
2013-04-11,2.84,3.06,2.81,3.04,123800,3.04
2013-04-10,2.82,2.92,2.75,2.89,123600,2.89
2013-04-09,2.58,2.82,2.58,2.82,130100,2.82
2013-04-08,2.40,2.59,2.36,2.58,119500,2.58
2013-04-05,2.50,2.64,2.45,2.50,118600,2.50
2013-04-04,2.41,2.52,2.41,2.51,87100,2.51
2013-04-03,2.42,2.45,2.33,2.41,82500,2.41
2013-04-02,2.52,2.60,2.35,2.39,83000,2.39
2013-04-01,2.54,2.54,2.54,2.54,000,2.54
2013-03-29,2.54,2.54,2.54,2.54,000,2.54
2013-03-28,2.34,2.57,2.33,2.54,84100,2.54
