Date,Open,High,Low,Close,Volume,Adj Close
2012-10-15,4.49,4.49,4.49,4.49,400,4.49
2012-10-10,4.50,4.50,4.50,4.50,600,4.50
2012-10-09,4.45,4.61,4.45,4.61,500,4.61
2012-10-05,4.65,4.80,4.65,4.79,400,4.79
2012-10-04,4.33,4.70,4.33,4.70,000,4.70
2012-10-03,4.45,5.31,4.45,5.00,600,5.00
2012-10-02,4.26,4.50,4.26,4.50,900,4.50
2012-10-01,4.50,4.50,4.40,4.40,000,4.40
2012-09-28,4.41,4.60,4.41,4.44,100,4.44
2012-09-27,4.50,4.75,4.62,4.65,700,4.65
2012-09-25,4.02,4.50,4.02,4.31,1000,4.31
2012-09-24,4.70,4.70,4.69,4.69,600,4.69
2012-09-21,5.86,5.86,5.86,5.86,1500,5.86
2012-09-20,9.00,9.00,7.20,7.32,200,7.32
2012-09-19,9.00,9.00,9.00,9.00,000,9.00
2012-09-18,9.00,9.00,9.00,9.00,000,9.00
2012-09-17,9.00,9.00,9.00,9.00,000,9.00
2012-09-14,9.00,9.00,9.00,9.00,000,9.00
2012-09-13,9.00,9.00,9.00,9.00,000,9.00
2012-09-12,0.09,0.09,0.09,0.09,112200,0.09
2012-09-11,0.10,0.10,0.09,0.09,47300,0.09
2012-09-10,0.10,0.10,0.10,0.10,114800,0.10
2012-09-07,0.09,0.09,0.09,0.09,4300,0.09
2012-09-06,0.09,0.09,0.09,0.09,24200,0.09
2012-09-05,0.08,0.08,0.08,0.08,14000,0.08
2012-09-03,0.08,0.08,0.08,0.08,61400,0.08
2012-08-31,0.10,0.10,0.09,0.09,6500,0.09
2012-08-30,0.10,0.10,0.10,0.10,127600,0.10
2012-08-29,0.07,0.09,0.07,0.09,30000,0.09
2012-08-28,0.07,0.08,0.07,0.07,26600,0.07
2012-08-27,0.08,0.08,0.08,0.08,8400,0.08
2012-08-24,0.08,0.08,0.08,0.08,6400,0.08
2012-08-23,0.08,0.08,0.08,0.08,1200,0.08
2012-08-22,0.08,0.08,0.08,0.08,400,0.08
2012-08-21,0.08,0.08,0.08,0.08,37600,0.08
2012-08-20,0.07,0.08,0.07,0.08,4700,0.08
2012-08-17,0.09,0.09,0.08,0.08,17500,0.08
2012-08-16,0.09,0.09,0.08,0.08,11400,0.08
2012-08-14,0.09,0.09,0.09,0.09,26400,0.09
2012-08-13,0.10,0.10,0.08,0.08,25000,0.08
2012-08-10,0.10,0.10,0.09,0.10,16700,0.10
2012-08-09,0.10,0.10,0.10,0.10,16500,0.10
2012-08-08,0.11,0.11,0.10,0.10,5300,0.10
2012-08-07,0.11,0.11,0.11,0.11,4300,0.11
2012-08-06,0.11,0.11,0.11,0.11,7900,0.11
2012-08-03,0.11,0.11,0.11,0.11,10800,0.11
2012-08-02,0.11,0.13,0.11,0.11,3100,0.11
2012-08-01,0.12,0.12,0.12,0.12,2100,0.12
2012-07-31,0.11,0.12,0.11,0.12,9500,0.12
2012-07-27,0.13,0.13,0.13,0.13,3600,0.13
2012-07-26,0.13,0.13,0.11,0.12,2300,0.12
2012-07-25,0.13,0.13,0.13,0.13,3000,0.13
2012-07-24,0.11,0.13,0.11,0.13,5700,0.13
2012-07-23,0.12,0.12,0.12,0.12,13000,0.12
2012-07-20,0.13,0.13,0.11,0.11,15200,0.11
2012-07-19,0.13,0.13,0.13,0.13,50000,0.13
2012-07-18,0.11,0.14,0.11,0.13,45400,0.13
2012-07-17,0.11,0.11,0.11,0.11,2200,0.11
2012-07-16,0.11,0.11,0.11,0.11,10300,0.11
2012-07-13,0.11,0.11,0.11,0.11,300,0.11
2012-07-12,0.11,0.11,0.11,0.11,42500,0.11
2012-07-11,0.11,0.12,0.11,0.11,23600,0.11
2012-07-10,0.12,0.12,0.12,0.12,16900,0.12
2012-07-09,0.12,0.12,0.12,0.12,43100,0.12
2012-07-06,0.12,0.12,0.12,0.12,75400,0.12
2012-07-05,0.13,0.13,0.12,0.12,112000,0.12
2012-07-04,0.14,0.14,0.13,0.14,86100,0.14
2012-07-03,0.15,0.15,0.14,0.14,123400,0.14
2012-07-02,0.16,0.19,0.16,0.17,20100,0.17
2012-06-29,0.16,0.17,0.16,0.17,9400,0.17
2012-06-28,0.16,0.16,0.16,0.16,900,0.16
2012-06-27,0.17,0.17,0.17,0.17,1300,0.17
2012-06-26,0.17,0.17,0.15,0.15,15300,0.15
2012-06-25,0.17,0.17,0.17,0.17,32000,0.17
2012-06-22,0.16,0.16,0.16,0.16,9400,0.16
2012-06-21,0.14,0.17,0.14,0.15,6800,0.15
2012-06-20,0.16,0.16,0.16,0.16,60800,0.16
2012-06-19,0.15,0.17,0.15,0.17,88800,0.17
2012-06-18,0.14,0.14,0.14,0.14,87100,0.14
2012-06-15,0.14,0.14,0.14,0.14,23600,0.14
2012-06-14,0.13,0.13,0.13,0.13,39600,0.13
2012-06-13,0.13,0.13,0.13,0.13,2400,0.13
2012-06-12,0.13,0.13,0.12,0.12,21000,0.12
2012-06-11,0.12,0.13,0.12,0.12,3200,0.12
2012-06-08,0.12,0.12,0.12,0.12,13000,0.12
2012-06-07,0.12,0.12,0.12,0.12,4300,0.12
2012-06-06,0.12,0.12,0.12,0.12,39500,0.12
2012-06-05,0.14,0.14,0.12,0.12,7500,0.12
2012-06-01,0.14,0.14,0.13,0.13,10600,0.13
2012-05-31,0.15,0.15,0.14,0.14,6200,0.14
2012-05-30,0.14,0.14,0.14,0.14,6600,0.14
2012-05-29,0.14,0.14,0.14,0.14,11900,0.14
2012-05-28,0.14,0.14,0.13,0.13,5200,0.13
2012-05-25,0.14,0.14,0.14,0.14,16000,0.14
2012-05-24,0.14,0.14,0.13,0.13,10000,0.13
2012-05-23,0.13,0.13,0.13,0.13,44500,0.13
2012-05-22,0.15,0.15,0.14,0.14,106100,0.14
2012-05-21,0.16,0.16,0.15,0.15,14100,0.15
2012-05-18,0.17,0.17,0.16,0.16,71200,0.16
2012-05-17,0.19,0.19,0.17,0.17,24800,0.17
2012-05-16,0.19,0.19,0.18,0.18,28400,0.18
2012-05-14,0.18,0.19,0.18,0.19,8100,0.19
2012-05-11,0.20,0.20,0.19,0.20,6800,0.20
2012-05-10,0.21,0.21,0.21,0.21,6400,0.21
2012-05-09,0.20,0.20,0.19,0.20,8700,0.20
2012-05-08,0.19,0.20,0.19,0.19,12100,0.19
2012-05-07,0.21,0.21,0.21,0.21,200,0.21
2012-05-04,0.21,0.21,0.20,0.20,4900,0.20
2012-05-03,0.21,0.21,0.21,0.21,1900,0.21
2012-05-02,0.22,0.22,0.21,0.21,18500,0.21
2012-04-30,0.22,0.22,0.21,0.22,6900,0.22
2012-04-27,0.22,0.22,0.21,0.21,7700,0.21
2012-04-26,0.20,0.20,0.20,0.20,300,0.20
2012-04-25,0.20,0.20,0.20,0.20,22400,0.20
2012-04-24,0.20,0.21,0.19,0.20,55500,0.20
2012-04-23,0.22,0.22,0.22,0.22,23200,0.22
2012-04-20,0.22,0.23,0.22,0.22,10800,0.22
2012-04-19,0.23,0.23,0.22,0.23,7100,0.23
2012-04-18,0.24,0.24,0.24,0.24,1000,0.24
2012-04-17,0.24,0.24,0.23,0.24,6700,0.24
2012-04-12,0.24,0.25,0.24,0.25,18000,0.25
2012-04-11,0.24,0.24,0.24,0.24,12000,0.24
2012-04-10,0.24,0.24,0.24,0.24,26200,0.24
2012-04-05,0.24,0.24,0.24,0.24,9400,0.24
2012-04-04,0.24,0.24,0.24,0.24,33700,0.24
2012-04-03,0.23,0.23,0.23,0.23,31500,0.23
2012-04-02,0.23,0.23,0.23,0.23,20000,0.23
2012-03-30,0.23,0.23,0.23,0.23,20700,0.23
2012-03-29,0.23,0.23,0.23,0.23,28800,0.23
2012-03-28,0.22,0.23,0.22,0.23,50400,0.23
2012-03-27,0.25,0.25,0.23,0.23,68600,0.23
2012-03-26,0.25,0.25,0.25,0.25,10500,0.25
2012-03-23,0.26,0.26,0.25,0.26,18000,0.26
2012-03-22,0.26,0.26,0.26,0.26,44400,0.26
2012-03-21,0.26,0.26,0.25,0.25,35500,0.25
2012-03-20,0.26,0.26,0.25,0.26,71900,0.26
2012-03-19,0.26,0.26,0.25,0.25,8200,0.25
2012-03-16,0.25,0.25,0.24,0.25,37800,0.25
2012-03-15,0.26,0.26,0.26,0.26,7200,0.26
2012-03-14,0.26,0.26,0.25,0.26,6700,0.26
2012-03-13,0.26,0.26,0.25,0.25,8200,0.25
2012-03-12,0.26,0.26,0.25,0.25,21000,0.25
2012-03-09,0.26,0.26,0.25,0.26,47500,0.26
2012-03-08,0.26,0.26,0.25,0.26,28500,0.26
2012-03-07,0.26,0.26,0.26,0.26,144000,0.26
2012-03-06,0.26,0.26,0.26,0.26,21600,0.26
2012-03-05,0.26,0.26,0.26,0.26,41500,0.26
2012-03-02,0.25,0.26,0.25,0.26,13200,0.26
2012-03-01,0.25,0.25,0.25,0.25,14300,0.25
2012-02-29,0.25,0.25,0.25,0.25,75300,0.25
2012-02-28,0.26,0.26,0.25,0.25,65300,0.25
2012-02-24,0.26,0.26,0.26,0.26,26500,0.26
2012-02-23,0.27,0.27,0.26,0.27,39000,0.27
2012-02-22,0.28,0.28,0.27,0.27,27200,0.27
2012-02-21,0.28,0.28,0.27,0.27,48800,0.27
2012-02-20,0.27,0.27,0.27,0.27,48000,0.27
2012-02-17,0.27,0.27,0.27,0.27,96500,0.27
2012-02-16,0.27,0.27,0.26,0.27,22000,0.27
2012-02-15,0.27,0.27,0.26,0.27,20700,0.27
2012-02-14,0.27,0.28,0.27,0.28,37100,0.28
2012-02-13,0.28,0.28,0.27,0.28,77600,0.28
2012-02-10,0.27,0.27,0.27,0.27,46100,0.27
2012-02-09,0.28,0.28,0.27,0.27,123000,0.27
2012-02-08,0.28,0.28,0.28,0.28,70600,0.28
2012-02-07,0.28,0.28,0.28,0.28,78700,0.28
2012-02-06,0.28,0.28,0.27,0.28,58900,0.28
2012-02-03,0.28,0.28,0.28,0.28,50300,0.28
2012-02-02,0.29,0.29,0.28,0.28,54300,0.28
2012-02-01,0.29,0.29,0.29,0.29,180100,0.29
2012-01-31,0.28,0.28,0.28,0.28,155100,0.28
2012-01-30,0.28,0.28,0.28,0.28,33800,0.28
2012-01-27,0.29,0.29,0.28,0.28,56700,0.28
2012-01-26,0.27,0.28,0.27,0.28,128700,0.28
2012-01-25,0.27,0.27,0.26,0.26,29400,0.26
2012-01-24,0.27,0.27,0.26,0.27,50100,0.27
2012-01-23,0.28,0.28,0.28,0.28,78300,0.28
2012-01-20,0.28,0.28,0.28,0.28,32100,0.28
2012-01-19,0.27,0.29,0.27,0.28,192200,0.28
2012-01-18,0.27,0.27,0.27,0.27,38400,0.27
2012-01-17,0.27,0.27,0.27,0.27,72900,0.27
2012-01-16,0.28,0.28,0.27,0.27,41200,0.27
2012-01-13,0.28,0.29,0.28,0.28,43900,0.28
2012-01-12,0.29,0.29,0.28,0.28,69600,0.28
2012-01-11,0.30,0.30,0.28,0.29,76900,0.29
2012-01-10,0.28,0.29,0.28,0.29,142700,0.29
2012-01-09,0.27,0.27,0.26,0.27,82500,0.27
2012-01-05,0.30,0.30,0.27,0.27,142400,0.27
2012-01-04,0.34,0.34,0.31,0.33,164900,0.33
2012-01-03,0.26,0.31,0.26,0.30,137300,0.30
2012-01-02,0.26,0.27,0.26,0.26,128900,0.26
2011-12-30,0.26,0.26,0.26,0.26,107300,0.26
2011-12-29,0.22,0.22,0.21,0.22,121600,0.22
2011-12-28,0.20,0.22,0.20,0.22,34700,0.22
2011-12-27,0.20,0.21,0.20,0.20,30300,0.20
2011-12-23,0.17,0.18,0.17,0.18,88500,0.18
2011-12-22,0.16,0.16,0.16,0.16,5200,0.16
2011-12-21,0.16,0.16,0.16,0.16,69300,0.16
2011-12-20,0.16,0.17,0.15,0.17,92700,0.17
2011-12-19,0.17,0.17,0.16,0.16,85400,0.16
2011-12-16,0.16,0.17,0.16,0.17,13900,0.17
2011-12-15,0.16,0.17,0.16,0.16,16200,0.16
2011-12-14,0.13,0.16,0.16,0.16,42500,0.16
2011-12-13,0.16,0.17,0.16,0.16,55200,0.16
2011-12-12,0.16,0.16,0.16,0.16,95000,0.16
2011-12-09,0.15,0.16,0.15,0.16,61600,0.16
2011-12-08,0.16,0.16,0.15,0.16,77100,0.16
2011-12-07,0.16,0.16,0.15,0.16,88500,0.16
2011-12-06,0.15,0.15,0.15,0.15,56800,0.15
2011-12-05,0.15,0.16,0.15,0.15,133200,0.15
2011-12-02,0.15,0.15,0.15,0.15,246000,0.15
2011-12-01,0.17,0.17,0.15,0.16,280900,0.16
2011-11-30,0.15,0.15,0.15,0.15,466600,0.15
2011-11-29,0.19,0.19,0.18,0.18,11600,0.18
2011-11-28,0.19,0.19,0.19,0.19,46700,0.19
2011-11-25,0.19,0.20,0.19,0.19,23200,0.19
2011-11-24,0.20,0.20,0.19,0.19,20700,0.19
2011-11-23,0.18,0.18,0.18,0.18,28200,0.18
2011-11-22,0.19,0.19,0.19,0.19,29100,0.19
2011-11-21,0.20,0.20,0.19,0.19,53700,0.19
2011-11-18,0.20,0.21,0.20,0.21,64200,0.21
2011-11-17,0.20,0.21,0.20,0.21,76200,0.21
2011-11-16,0.24,0.24,0.22,0.22,39000,0.22
2011-11-15,0.26,0.26,0.25,0.25,12000,0.25
2011-11-14,0.28,0.28,0.26,0.26,7500,0.26
2011-11-11,0.28,0.28,0.26,0.26,13000,0.26
2011-11-10,0.28,0.28,0.26,0.26,33700,0.26
2011-11-09,0.26,0.26,0.26,0.26,6000,0.26
2011-11-08,0.26,0.26,0.26,0.26,63400,0.26
2011-11-07,0.26,0.26,0.26,0.26,30100,0.26
2011-11-04,0.26,0.26,0.26,0.26,6600,0.26
2011-11-03,0.29,0.29,0.26,0.27,10400,0.27
2011-11-02,0.26,0.26,0.23,0.25,19400,0.25
2011-11-01,0.26,0.26,0.25,0.25,27800,0.25
2011-10-31,0.28,0.33,0.28,0.29,49700,0.29
2011-10-27,0.33,0.33,0.32,0.32,50700,0.32
2011-10-26,0.28,0.28,0.28,0.28,91700,0.28
2011-10-25,0.23,0.24,0.23,0.24,42100,0.24
2011-10-24,0.22,0.22,0.21,0.21,22200,0.21
2011-10-21,0.22,0.25,0.22,0.23,48300,0.23
2011-10-20,0.22,0.22,0.21,0.21,12200,0.21
2011-10-19,0.21,0.22,0.20,0.20,14500,0.20
2011-10-18,0.20,0.21,0.20,0.21,9700,0.21
2011-10-17,0.22,0.22,0.20,0.20,3600,0.20
2011-10-14,0.24,0.27,0.24,0.25,30200,0.25
2011-10-13,0.23,0.24,0.23,0.24,15100,0.24
2011-10-12,0.22,0.24,0.22,0.23,17200,0.23
2011-10-11,0.21,0.21,0.20,0.20,16500,0.20
2011-10-10,0.20,0.20,0.20,0.20,28400,0.20
2011-10-07,0.23,0.25,0.23,0.25,26300,0.25
2011-10-06,0.25,0.25,0.24,0.25,28100,0.25
2011-10-05,0.25,0.26,0.22,0.23,106000,0.23
2011-10-04,0.27,0.28,0.24,0.26,18800,0.26
2011-10-03,0.30,0.30,0.29,0.29,17200,0.29
2011-09-30,0.30,0.30,0.29,0.29,4700,0.29
2011-09-29,0.30,0.30,0.29,0.30,4400,0.30
2011-09-28,0.30,0.30,0.29,0.30,16100,0.30
2011-09-27,0.32,0.32,0.29,0.30,28300,0.30
2011-09-26,0.33,0.33,0.31,0.31,17800,0.31
2011-09-23,0.33,0.34,0.32,0.33,7300,0.33
2011-09-22,0.34,0.36,0.34,0.36,6600,0.36
2011-09-21,0.36,0.38,0.36,0.37,8100,0.37
2011-09-20,0.39,0.41,0.37,0.37,11500,0.37
2011-09-19,0.35,0.41,0.35,0.38,29500,0.38
2011-09-16,0.41,0.41,0.37,0.38,45800,0.38
2011-09-15,0.41,0.41,0.41,0.41,4400,0.41
2011-09-14,0.39,0.42,0.39,0.41,57500,0.41
2011-09-13,0.40,0.40,0.38,0.39,5800,0.39
2011-09-12,0.39,0.40,0.39,0.39,19200,0.39
2011-09-09,0.42,0.44,0.42,0.43,21300,0.43
2011-09-08,0.43,0.43,0.41,0.43,11300,0.43
2011-09-07,0.43,0.44,0.42,0.42,1500,0.42
2011-09-06,0.41,0.44,0.41,0.44,13700,0.44
