Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,14.32,14.32,13.62,13.73,39400,13.73
2013-05-22,14.16,14.50,14.15,14.32,183800,14.32
2013-05-21,14.05,14.50,14.05,14.50,40600,14.50
2013-05-20,14.18,14.50,13.95,14.50,42900,14.50
2013-05-17,14.10,14.31,13.83,14.18,167000,14.18
2013-05-16,14.05,14.37,13.85,14.10,253500,14.10
2013-05-15,14.30,14.40,14.02,14.20,111000,14.20
2013-05-14,14.08,14.48,13.91,14.30,63400,14.30
2013-05-13,14.00,14.20,13.91,14.10,44800,14.10
2013-05-10,14.30,14.49,13.94,13.94,122200,13.94
2013-05-09,14.30,14.44,14.22,14.31,58600,14.31
2013-05-08,14.00,14.62,14.00,14.31,120400,14.31
2013-05-07,13.92,13.92,13.92,13.92,000,13.92
2013-05-06,13.92,13.92,13.92,13.92,000,13.92
2013-05-03,13.92,13.92,13.92,13.92,000,13.92
2013-05-02,14.10,14.10,13.75,13.92,19000,13.92
2013-05-01,14.10,14.10,14.10,14.10,000,14.10
2013-04-30,14.00,14.10,13.70,14.10,41400,14.10
2013-04-29,14.00,14.20,13.70,13.85,27400,13.85
2013-04-26,14.20,14.30,13.81,14.00,9600,14.00
2013-04-25,14.16,14.25,13.97,14.18,18100,14.18
2013-04-24,14.12,14.31,14.00,14.00,23800,14.00
2013-04-23,14.10,14.39,14.10,14.30,9600,14.30
2013-04-22,14.30,14.46,14.15,14.26,17700,14.26
2013-04-19,14.63,14.66,14.21,14.30,11500,14.30
2013-04-18,14.31,14.66,14.31,14.66,15100,14.66
2013-04-17,14.46,14.80,14.37,14.70,34000,14.70
2013-04-16,14.40,14.70,14.40,14.46,49200,14.46
2013-04-15,13.77,14.60,13.77,14.50,33500,14.50
2013-04-12,14.26,14.48,13.85,14.00,13000,14.00
2013-04-11,13.77,14.44,13.52,14.26,28700,14.26
2013-04-10,13.08,13.89,13.08,13.80,39400,13.80
2013-04-09,13.00,13.20,12.98,13.08,39600,13.08
2013-04-08,12.21,13.00,12.21,12.70,60900,12.70
2013-04-05,13.00,13.21,12.84,12.98,29300,12.98
2013-04-04,13.37,13.37,12.90,13.00,72200,13.00
2013-04-03,13.00,13.35,12.83,13.00,29000,13.00
2013-04-02,13.00,13.39,12.72,13.00,34600,13.00
2013-04-01,13.00,13.00,13.00,13.00,000,13.00
2013-03-29,13.00,13.00,13.00,13.00,000,13.00
2013-03-28,12.99,13.15,12.72,13.00,43400,13.00
2013-03-27,13.00,13.00,11.31,12.99,67800,12.99
2013-03-26,13.40,13.40,12.55,12.80,38500,12.80
2013-03-25,13.12,13.12,13.12,13.12,000,13.12
2013-03-22,13.17,13.40,13.12,13.12,40700,13.12
2013-03-21,13.12,13.56,13.12,13.40,205600,13.40
2013-03-20,13.38,13.70,13.20,13.30,16100,13.30
2013-03-19,13.60,13.60,13.15,13.38,68700,13.38
2013-03-18,13.55,13.55,13.55,13.55,000,13.55
2013-03-15,14.00,14.26,13.55,13.55,192100,13.55
2013-03-14,14.70,14.70,14.06,14.40,29900,14.40
2013-03-13,14.50,14.67,14.16,14.55,166500,14.55
2013-03-12,14.12,14.77,14.11,14.32,27900,14.32
2013-03-11,14.50,14.58,14.15,14.40,21500,14.40
2013-03-08,14.60,14.60,14.09,14.50,24300,14.50
2013-03-07,14.50,14.77,14.30,14.48,30900,14.48
2013-03-06,14.50,14.90,14.30,14.40,23800,14.40
2013-03-05,14.41,14.97,14.41,14.50,84800,14.50
2013-03-04,14.41,14.80,14.20,14.51,43900,14.51
2013-03-01,14.71,14.71,14.31,14.50,93900,14.50
2013-02-28,14.51,14.77,14.50,14.72,19500,14.72
2013-02-27,14.51,14.94,14.48,14.48,26100,14.48
2013-02-26,14.24,14.96,14.24,14.51,28500,14.51
2013-02-25,14.51,14.74,14.36,14.74,42900,14.74
2013-02-22,14.20,14.72,14.20,14.51,34200,14.51
2013-02-21,14.80,15.00,14.33,14.50,52400,14.50
2013-02-20,14.80,15.07,14.70,14.75,28900,14.75
