Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,6.50,6.50,6.40,6.40,600,6.40
2013-05-22,6.45,6.45,6.40,6.40,1400,6.40
2013-05-21,6.45,6.50,6.40,6.50,5000,6.50
2013-05-20,6.55,6.70,6.31,6.50,4000,6.50
2013-05-17,6.40,6.56,6.30,6.55,4600,6.55
2013-05-16,6.40,6.60,6.40,6.57,1000,6.57
2013-05-15,6.57,6.57,6.45,6.45,600,6.45
2013-05-14,6.33,6.68,6.30,6.59,1300,6.59
2013-05-13,6.30,6.60,6.20,6.57,1300,6.57
2013-05-10,6.70,6.70,6.40,6.55,2200,6.55
2013-05-09,6.28,6.67,6.28,6.67,3000,6.67
2013-05-08,6.34,6.34,6.34,6.34,000,6.34
2013-05-07,6.34,6.34,6.34,6.34,000,6.34
2013-05-06,6.34,6.34,6.34,6.34,000,6.34
2013-05-03,6.34,6.34,6.34,6.34,000,6.34
2013-05-02,6.34,6.34,6.34,6.34,000,6.34
2013-05-01,6.34,6.34,6.34,6.34,000,6.34
2013-04-30,6.00,6.34,6.00,6.34,100,6.34
2013-04-29,6.12,6.12,6.12,6.12,000,6.12
2013-04-26,6.34,6.34,5.75,6.12,2000,6.12
2013-04-25,6.00,6.24,6.00,6.22,800,6.22
2013-04-24,5.95,6.20,5.95,6.20,400,6.20
2013-04-23,6.00,6.00,6.00,6.00,000,6.00
2013-04-22,6.06,6.06,6.00,6.00,400,6.00
2013-04-19,6.30,6.30,5.96,5.96,400,5.96
2013-04-18,6.01,6.19,6.00,6.19,600,6.19
2013-04-17,6.00,6.20,6.00,6.12,700,6.12
2013-04-16,6.10,6.19,6.10,6.19,300,6.19
2013-04-15,6.20,6.20,6.20,6.20,000,6.20
2013-04-12,5.86,6.20,5.86,6.20,200,6.20
2013-04-11,6.30,6.30,5.91,6.20,1100,6.20
2013-04-10,6.00,6.20,6.00,6.20,400,6.20
2013-04-09,6.00,6.20,6.00,6.20,200,6.20
2013-04-08,6.12,6.12,6.12,6.12,000,6.12
2013-04-05,5.83,6.12,5.83,6.12,400,6.12
2013-04-04,6.24,6.24,6.24,6.24,100,6.24
2013-04-03,6.00,6.05,5.90,5.90,6600,5.90
2013-04-02,5.99,6.19,5.85,6.19,1800,6.19
2013-04-01,6.25,6.25,6.25,6.25,000,6.25
2013-03-29,6.25,6.25,6.25,6.25,000,6.25
2013-03-28,6.25,6.25,6.25,6.25,000,6.25
2013-03-27,6.27,6.28,5.93,6.25,1500,6.25
2013-03-26,5.92,6.28,5.92,6.28,000,6.28
2013-03-25,6.28,6.28,6.28,6.28,000,6.28
2013-03-22,6.28,6.28,6.28,6.28,000,6.28
2013-03-21,5.90,6.30,5.85,6.28,1400,6.28
2013-03-20,6.43,6.44,6.40,6.40,200,6.40
2013-03-19,6.10,6.29,6.10,6.29,000,6.29
2013-03-18,6.29,6.29,6.29,6.29,000,6.29
2013-03-15,6.29,6.29,6.29,6.29,000,6.29
2013-03-14,6.11,6.29,6.00,6.29,1100,6.29
2013-03-13,6.35,6.36,6.35,6.36,100,6.36
2013-03-12,6.22,6.26,6.06,6.26,300,6.26
2013-03-11,6.05,6.15,6.05,6.15,1100,6.15
2013-03-08,6.24,6.24,6.24,6.24,000,6.24
2013-03-07,6.24,6.24,6.24,6.24,000,6.24
2013-03-06,6.31,6.34,6.21,6.24,1100,6.24
2013-03-05,6.49,6.50,6.04,6.34,2600,6.34
2013-03-04,6.40,6.40,6.25,6.40,400,6.40
2013-03-01,6.50,6.50,6.50,6.50,000,6.50
2013-02-28,6.30,6.50,6.15,6.50,300,6.50
2013-02-27,6.11,6.73,6.11,6.50,000,6.50
2013-02-26,6.50,6.50,6.50,6.50,2600,6.50
2013-02-25,6.51,6.51,6.51,6.51,000,6.51
2013-02-22,6.40,6.65,6.40,6.51,600,6.51
2013-02-21,6.50,6.50,6.50,6.50,000,6.50
2013-02-20,6.40,6.50,6.20,6.50,3900,6.50
2013-02-19,6.50,6.50,6.50,6.50,000,6.50
2013-02-18,6.50,6.50,6.50,6.50,300,6.50
2013-02-15,6.45,6.49,6.32,6.48,1700,6.48
2013-02-14,6.50,6.50,6.50,6.50,100,6.50
2013-02-13,6.54,6.54,6.50,6.50,500,6.50
2013-02-12,6.41,6.46,6.41,6.44,200,6.44
2013-02-11,6.85,6.85,6.50,6.70,000,6.70
2013-02-08,6.71,6.71,6.71,6.71,000,6.71
2013-02-07,6.70,6.82,6.60,6.71,900,6.71
2013-02-06,6.60,6.89,6.60,6.81,800,6.81
2013-02-05,6.74,6.74,6.46,6.60,400,6.60
2013-02-04,6.45,6.74,6.45,6.74,300,6.74
2013-02-01,6.52,6.68,6.52,6.68,300,6.68
2013-01-31,6.84,6.85,6.78,6.81,100,6.81
