Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.34,0.38,0.32,0.32,63847000,0.32
2013-05-22,0.39,0.41,0.31,0.35,87191900,0.35
2013-05-21,0.42,0.43,0.35,0.36,91327200,0.36
2013-05-20,0.64,0.65,0.46,0.46,81467100,0.46
2013-05-17,0.62,0.72,0.60,0.65,111960900,0.65
2013-05-16,0.50,0.58,0.48,0.57,75435900,0.57
2013-05-15,0.44,0.50,0.44,0.50,59613000,0.50
2013-05-14,0.41,0.41,0.37,0.41,52900200,0.41
2013-05-13,0.29,0.38,0.29,0.38,45792000,0.38
2013-05-10,0.30,0.31,0.28,0.29,30339900,0.29
2013-05-09,0.30,0.32,0.29,0.30,47236700,0.30
2013-05-08,0.26,0.30,0.26,0.29,35889800,0.29
2013-05-07,0.23,0.23,0.23,0.23,000,0.23
2013-05-06,0.23,0.23,0.23,0.23,000,0.23
2013-05-03,0.23,0.23,0.23,0.23,000,0.23
2013-05-02,0.21,0.25,0.19,0.23,17178100,0.23
2013-05-01,0.21,0.21,0.21,0.21,000,0.21
2013-04-30,0.23,0.23,0.21,0.21,21730200,0.21
2013-04-29,0.28,0.28,0.23,0.23,31976100,0.23
2013-04-26,0.29,0.31,0.25,0.27,40416000,0.27
2013-04-25,0.24,0.28,0.24,0.27,39149700,0.27
2013-04-24,0.23,0.23,0.22,0.23,15866700,0.23
2013-04-23,0.23,0.23,0.22,0.23,21433300,0.23
2013-04-22,0.21,0.24,0.21,0.23,26224400,0.23
2013-04-19,0.19,0.21,0.19,0.20,11990400,0.20
2013-04-18,0.19,0.20,0.18,0.19,5793000,0.19
2013-04-17,0.18,0.19,0.18,0.19,8300500,0.19
2013-04-16,0.19,0.19,0.17,0.18,8152800,0.18
2013-04-15,0.20,0.21,0.19,0.19,15138700,0.19
2013-04-12,0.24,0.24,0.20,0.20,20773700,0.20
2013-04-11,0.23,0.25,0.23,0.24,24369400,0.24
2013-04-10,0.20,0.24,0.19,0.22,24233000,0.22
2013-04-09,0.17,0.19,0.17,0.19,10122200,0.19
2013-04-08,0.16,0.18,0.12,0.16,16904700,0.16
2013-04-05,0.18,0.18,0.16,0.16,9071900,0.16
2013-04-04,0.19,0.19,0.18,0.18,4518500,0.18
2013-04-03,0.19,0.19,0.18,0.18,4700000,0.18
2013-04-02,0.20,0.21,0.18,0.19,8164500,0.19
2013-04-01,0.19,0.19,0.19,0.19,000,0.19
2013-03-29,0.19,0.19,0.19,0.19,000,0.19
2013-03-28,0.21,0.22,0.19,0.19,6684700,0.19
2013-03-27,0.22,0.22,0.21,0.21,6494700,0.21
2013-03-26,0.23,0.24,0.20,0.21,14212400,0.21
2013-03-25,0.23,0.23,0.23,0.23,000,0.23
2013-03-22,0.19,0.24,0.19,0.23,11087500,0.23
2013-03-21,0.19,0.20,0.18,0.19,3740000,0.19
2013-03-20,0.18,0.19,0.17,0.19,5209800,0.19
2013-03-19,0.18,0.19,0.18,0.18,6662800,0.18
2013-03-18,0.20,0.20,0.20,0.20,000,0.20
2013-03-15,0.19,0.20,0.18,0.20,7633400,0.20
2013-03-14,0.20,0.20,0.18,0.19,6895200,0.19
2013-03-13,0.20,0.20,0.19,0.20,5262500,0.20
2013-03-12,0.21,0.21,0.20,0.20,3371700,0.20
2013-03-11,0.22,0.22,0.20,0.20,8132900,0.20
2013-03-08,0.20,0.21,0.20,0.21,6682900,0.21
2013-03-07,0.22,0.23,0.20,0.20,10477300,0.20
2013-03-06,0.22,0.23,0.21,0.22,7493000,0.22
2013-03-05,0.24,0.25,0.22,0.22,4574800,0.22
2013-03-04,0.25,0.25,0.23,0.23,5746200,0.23
2013-03-01,0.27,0.27,0.25,0.25,3762500,0.25
2013-02-28,0.27,0.28,0.26,0.27,5906100,0.27
2013-02-27,0.25,0.26,0.24,0.26,3954600,0.26
2013-02-26,0.24,0.25,0.23,0.24,5729500,0.24
2013-02-25,0.28,0.28,0.25,0.25,7410300,0.25
2013-02-22,0.28,0.28,0.27,0.27,2304800,0.27
2013-02-21,0.28,0.29,0.27,0.27,4783100,0.27
2013-02-20,0.29,0.29,0.29,0.29,4204400,0.29
2013-02-19,0.28,0.29,0.28,0.28,4632600,0.28
2013-02-18,0.28,0.29,0.28,0.28,2493700,0.28
2013-02-15,0.27,0.28,0.27,0.28,2747800,0.28
2013-02-14,0.28,0.29,0.27,0.27,5324800,0.27
2013-02-13,0.29,0.29,0.28,0.28,5161000,0.28
2013-02-12,0.29,0.30,0.28,0.29,3823500,0.29
2013-02-11,0.30,0.31,0.28,0.28,4677800,0.28
2013-02-08,0.32,0.32,0.30,0.30,4240000,0.30
2013-02-07,0.32,0.33,0.31,0.32,10594600,0.32
2013-02-06,0.30,0.32,0.30,0.31,11885400,0.31
2013-02-05,0.28,0.30,0.28,0.29,4975100,0.29
2013-02-04,0.28,0.28,0.27,0.28,3736800,0.28
2013-02-01,0.29,0.29,0.28,0.28,3439000,0.28
2013-01-31,0.29,0.29,0.28,0.28,3800100,0.28
2013-01-30,0.29,0.30,0.29,0.29,5251400,0.29
2013-01-29,0.30,0.30,0.29,0.29,5382900,0.29
2013-01-28,0.32,0.32,0.29,0.29,5795300,0.29
2013-01-25,0.30,0.31,0.30,0.31,5327300,0.31
2013-01-24,0.32,0.34,0.29,0.30,10863400,0.30
2013-01-23,0.30,0.32,0.30,0.32,11219400,0.32
2013-01-22,0.28,0.30,0.28,0.29,9420300,0.29
2013-01-21,0.29,0.30,0.26,0.27,12119200,0.27
2013-01-18,0.31,0.31,0.28,0.29,6332100,0.29
2013-01-17,0.31,0.31,0.30,0.30,3824200,0.30
2013-01-16,0.31,0.32,0.30,0.31,6203200,0.31
2013-01-15,0.30,0.30,0.28,0.29,8770600,0.29
2013-01-14,0.33,0.34,0.30,0.30,10475900,0.30
2013-01-11,0.34,0.35,0.33,0.33,7790800,0.33
2013-01-10,0.35,0.35,0.34,0.34,7421100,0.34
2013-01-09,0.36,0.36,0.35,0.35,10391500,0.35
2013-01-08,0.37,0.38,0.36,0.37,7746000,0.37
2013-01-07,0.39,0.40,0.37,0.37,10357200,0.37
2013-01-04,0.35,0.39,0.34,0.39,13299500,0.39
2013-01-03,0.35,0.36,0.34,0.35,4422300,0.35
2013-01-02,0.35,0.36,0.35,0.35,4184800,0.35
2013-01-01,0.35,0.35,0.35,0.35,000,0.35
2012-12-31,0.35,0.35,0.35,0.35,000,0.35
2012-12-28,0.37,0.38,0.34,0.35,6277200,0.35
2012-12-27,0.35,0.38,0.35,0.37,7794100,0.37
2012-12-26,0.34,0.34,0.34,0.34,000,0.34
2012-12-25,0.34,0.34,0.34,0.34,000,0.34
2012-12-24,0.34,0.34,0.34,0.34,000,0.34
2012-12-21,0.31,0.34,0.30,0.34,9169200,0.34
2012-12-20,0.35,0.35,0.31,0.31,9613800,0.31
2012-12-19,0.33,0.35,0.32,0.35,9569800,0.35
2012-12-18,0.31,0.32,0.29,0.31,11324400,0.31
2012-12-17,0.37,0.37,0.30,0.31,16222600,0.31
2012-12-14,0.37,0.38,0.36,0.36,5548900,0.36
2012-12-13,0.39,0.40,0.36,0.37,7310000,0.37
2012-12-12,0.40,0.40,0.38,0.38,6552500,0.38
2012-12-11,0.38,0.40,0.38,0.39,6907700,0.39
2012-12-10,0.37,0.38,0.36,0.38,5608000,0.38
2012-12-07,0.40,0.40,0.37,0.37,6826600,0.37
2012-12-06,0.39,0.41,0.39,0.40,12146300,0.40
2012-12-05,0.38,0.39,0.37,0.39,4641500,0.39
2012-12-04,0.40,0.41,0.36,0.37,9903800,0.37
2012-12-03,0.36,0.39,0.36,0.39,10614700,0.39
2012-11-30,0.36,0.37,0.35,0.35,10270400,0.35
2012-11-29,0.38,0.39,0.36,0.37,10088600,0.37
2012-11-28,0.40,0.40,0.37,0.37,13445900,0.37
2012-11-27,0.46,0.46,0.40,0.40,18443900,0.40
2012-11-26,0.46,0.46,0.44,0.45,7061300,0.45
2012-11-23,0.46,0.47,0.44,0.45,11393500,0.45
2012-11-22,0.45,0.48,0.44,0.46,18492700,0.46
2012-11-21,0.38,0.44,0.38,0.44,19895100,0.44
2012-11-20,0.46,0.46,0.42,0.43,14123300,0.43
2012-11-19,0.41,0.45,0.41,0.45,14386000,0.45
2012-11-16,0.38,0.41,0.37,0.40,9705900,0.40
2012-11-15,0.40,0.41,0.38,0.38,11311200,0.38
2012-11-14,0.40,0.42,0.39,0.41,16379900,0.41
2012-11-13,0.37,0.39,0.34,0.37,24871400,0.37
2012-11-12,0.46,0.46,0.33,0.38,23965900,0.38
2012-11-09,0.39,0.44,0.38,0.43,17905900,0.43
2012-11-08,0.49,0.49,0.40,0.40,22849600,0.40
2012-11-07,0.51,0.51,0.47,0.49,11721800,0.49
2012-11-06,0.50,0.53,0.49,0.49,19438300,0.49
2012-11-05,0.46,0.53,0.44,0.50,35366300,0.50
2012-11-02,0.35,0.45,0.34,0.45,25537000,0.45
2012-11-01,0.43,0.44,0.35,0.35,25811600,0.35
2012-10-31,0.46,0.47,0.41,0.42,15722600,0.42
2012-10-30,0.47,0.52,0.42,0.45,24227600,0.45
2012-10-29,0.59,0.60,0.49,0.49,23292800,0.49
2012-10-26,0.62,0.62,0.60,0.60,7457800,0.60
2012-10-25,0.65,0.66,0.61,0.62,11813700,0.62
2012-10-24,0.60,0.65,0.58,0.65,18332100,0.65
2012-10-23,0.63,0.66,0.61,0.63,14789700,0.63
2012-10-22,0.63,0.68,0.63,0.63,18013800,0.63
2012-10-19,0.63,0.65,0.62,0.63,15536300,0.63
2012-10-18,0.61,0.67,0.60,0.63,27243700,0.63
2012-10-17,0.57,0.62,0.56,0.61,22575500,0.61
2012-10-16,0.53,0.56,0.51,0.54,16697300,0.54
2012-10-15,0.49,0.52,0.48,0.52,13612800,0.52
2012-10-12,0.48,0.50,0.48,0.49,10495700,0.49
2012-10-11,0.45,0.47,0.44,0.47,11743300,0.47
2012-10-10,0.49,0.50,0.45,0.46,13352200,0.46
2012-10-09,0.48,0.52,0.48,0.49,12600800,0.49
2012-10-08,0.51,0.51,0.48,0.49,13879500,0.49
2012-10-05,0.43,0.51,0.42,0.50,24865700,0.50
2012-10-04,0.41,0.42,0.40,0.42,6677400,0.42
2012-10-03,0.41,0.42,0.41,0.41,10809500,0.41
2012-10-02,0.37,0.41,0.36,0.41,10433800,0.41
2012-10-01,0.38,0.38,0.36,0.37,4268000,0.37
2012-09-28,0.37,0.37,0.35,0.36,3501400,0.36
2012-09-27,0.37,0.38,0.36,0.36,3865700,0.36
