Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.73,0.76,0.72,0.72,19900,0.72
2013-05-22,0.77,0.77,0.72,0.73,29600,0.73
2013-05-21,0.77,0.80,0.73,0.74,19900,0.74
2013-05-20,0.78,0.78,0.72,0.75,11200,0.75
2013-05-17,0.78,0.78,0.73,0.73,18800,0.73
2013-05-16,0.79,0.80,0.76,0.76,14100,0.76
2013-05-15,0.76,0.76,0.75,0.76,68900,0.76
2013-05-14,0.70,0.76,0.70,0.75,86400,0.75
2013-05-13,0.70,0.73,0.69,0.71,45900,0.71
2013-05-10,0.70,0.70,0.67,0.69,47400,0.69
2013-05-09,0.68,0.70,0.67,0.68,36400,0.68
2013-05-08,0.68,0.68,0.66,0.67,74000,0.67
2013-05-07,0.67,0.67,0.67,0.67,000,0.67
2013-05-06,0.67,0.67,0.67,0.67,000,0.67
2013-05-03,0.67,0.67,0.67,0.67,000,0.67
2013-05-02,0.68,0.68,0.62,0.67,30100,0.67
2013-05-01,0.65,0.65,0.65,0.65,000,0.65
2013-04-30,0.67,0.67,0.63,0.65,24100,0.65
2013-04-29,0.68,0.68,0.65,0.66,13200,0.66
2013-04-26,0.69,0.69,0.65,0.68,42800,0.68
2013-04-25,0.71,0.71,0.68,0.68,85000,0.68
2013-04-24,0.76,0.76,0.74,0.75,33400,0.75
2013-04-23,0.75,0.77,0.75,0.76,32200,0.76
2013-04-22,0.75,0.77,0.75,0.76,42600,0.76
2013-04-19,0.76,0.78,0.76,0.78,72500,0.78
2013-04-18,0.76,0.78,0.75,0.76,23000,0.76
2013-04-17,0.77,0.78,0.76,0.76,7400,0.76
2013-04-16,0.77,0.77,0.76,0.77,11000,0.77
2013-04-15,0.77,0.79,0.75,0.77,39300,0.77
2013-04-12,0.80,0.80,0.75,0.78,16400,0.78
2013-04-11,0.78,0.79,0.76,0.78,17500,0.78
2013-04-10,0.79,0.79,0.75,0.78,11900,0.78
2013-04-09,0.78,0.78,0.76,0.76,41500,0.76
2013-04-08,0.77,0.78,0.74,0.76,35200,0.76
2013-04-05,0.78,0.78,0.76,0.77,15600,0.77
2013-04-04,0.78,0.80,0.76,0.78,30500,0.78
2013-04-03,0.76,0.77,0.76,0.77,37200,0.77
2013-04-02,0.77,0.77,0.75,0.76,20200,0.76
2013-04-01,0.76,0.76,0.76,0.76,000,0.76
2013-03-29,0.76,0.76,0.76,0.76,000,0.76
2013-03-28,0.74,0.77,0.73,0.76,18500,0.76
2013-03-27,0.70,0.78,0.70,0.74,46700,0.74
2013-03-26,0.77,0.79,0.75,0.75,10600,0.75
2013-03-25,0.75,0.75,0.75,0.75,000,0.75
2013-03-22,0.70,0.80,0.70,0.75,12700,0.75
2013-03-21,0.66,0.71,0.66,0.71,23400,0.71
2013-03-20,0.67,0.73,0.67,0.72,11000,0.72
2013-03-19,0.69,0.71,0.69,0.70,26000,0.70
2013-03-18,0.71,0.71,0.71,0.71,000,0.71
2013-03-15,0.71,0.75,0.70,0.71,8600,0.71
2013-03-14,0.70,0.71,0.69,0.70,20700,0.70
2013-03-13,0.73,0.73,0.69,0.70,13600,0.70
2013-03-12,0.72,0.72,0.68,0.70,11500,0.70
2013-03-11,0.69,0.69,0.66,0.67,8900,0.67
2013-03-08,0.72,0.72,0.67,0.68,5700,0.68
2013-03-07,0.72,0.74,0.68,0.70,25200,0.70
2013-03-06,0.69,0.71,0.69,0.71,14400,0.71
2013-03-05,0.76,0.76,0.70,0.72,19700,0.72
2013-03-04,0.78,0.78,0.71,0.74,9700,0.74
2013-03-01,0.79,0.79,0.79,0.79,500,0.79
2013-02-28,0.78,0.79,0.76,0.76,8500,0.76
2013-02-27,0.78,0.78,0.77,0.78,13800,0.78
2013-02-26,0.76,0.78,0.76,0.78,4600,0.78
2013-02-25,0.75,0.80,0.75,0.78,49200,0.78
2013-02-22,0.80,0.80,0.74,0.75,15000,0.75
2013-02-21,0.75,0.77,0.73,0.76,32700,0.76
2013-02-20,0.80,0.80,0.75,0.75,7200,0.75
2013-02-19,0.74,0.77,0.74,0.75,3400,0.75
2013-02-18,0.78,0.78,0.76,0.77,3500,0.77
2013-02-15,0.80,0.83,0.77,0.78,4100,0.78
2013-02-14,0.80,0.80,0.79,0.79,16000,0.79
2013-02-13,0.78,0.80,0.75,0.79,44600,0.79
2013-02-12,0.74,0.77,0.74,0.77,89400,0.77
2013-02-11,0.75,0.75,0.72,0.74,9100,0.74
2013-02-08,0.74,0.76,0.74,0.75,14400,0.75
2013-02-07,0.76,0.76,0.73,0.76,22800,0.76
2013-02-06,0.75,0.76,0.73,0.75,96700,0.75
2013-02-05,0.71,0.75,0.71,0.74,54600,0.74
2013-02-04,0.72,0.74,0.70,0.72,6100,0.72
2013-02-01,0.71,0.75,0.71,0.72,107500,0.72
2013-01-31,0.67,0.70,0.66,0.69,10300,0.69
2013-01-30,0.70,0.71,0.69,0.70,2600,0.70
2013-01-29,0.70,0.70,0.70,0.70,8000,0.70
2013-01-28,0.70,0.70,0.69,0.70,25600,0.70
2013-01-25,0.70,0.70,0.67,0.69,21400,0.69
2013-01-24,0.68,0.71,0.67,0.68,51900,0.68
2013-01-23,0.69,0.71,0.68,0.69,195500,0.69
2013-01-22,0.69,0.73,0.69,0.70,9600,0.70
2013-01-21,0.65,0.72,0.65,0.70,146600,0.70
2013-01-18,0.64,0.66,0.64,0.64,40300,0.64
2013-01-17,0.65,0.67,0.64,0.66,23900,0.66
2013-01-16,0.65,0.68,0.63,0.65,114100,0.65
2013-01-15,0.70,0.70,0.63,0.67,60700,0.67
2013-01-14,0.70,0.72,0.67,0.67,74100,0.67
2013-01-11,0.71,0.73,0.70,0.70,183200,0.70
2013-01-10,0.72,0.72,0.69,0.70,126600,0.70
2013-01-09,0.66,0.70,0.65,0.69,67900,0.69
2013-01-08,0.64,0.68,0.63,0.65,341100,0.65
2013-01-07,0.65,0.65,0.63,0.64,83500,0.64
2013-01-04,0.64,0.65,0.64,0.65,35700,0.65
2013-01-03,0.65,0.65,0.62,0.64,39300,0.64
2013-01-02,0.64,0.64,0.63,0.63,38500,0.63
2013-01-01,0.63,0.63,0.63,0.63,000,0.63
2012-12-31,0.63,0.63,0.63,0.63,000,0.63
2012-12-28,0.61,0.65,0.61,0.63,105300,0.63
2012-12-27,0.60,0.63,0.60,0.61,57000,0.61
2012-12-26,0.61,0.61,0.61,0.61,000,0.61
2012-12-25,0.61,0.61,0.61,0.61,000,0.61
2012-12-24,0.61,0.61,0.61,0.61,000,0.61
2012-12-21,0.61,0.62,0.61,0.61,24800,0.61
2012-12-20,0.61,0.63,0.61,0.63,50700,0.63
2012-12-19,0.61,0.63,0.60,0.62,86000,0.62
2012-12-18,0.60,0.61,0.59,0.61,14500,0.61
2012-12-17,0.59,0.61,0.57,0.60,160300,0.60
2012-12-14,0.61,0.61,0.58,0.58,24300,0.58
2012-12-13,0.60,0.63,0.58,0.61,98200,0.61
2012-12-12,0.61,0.62,0.59,0.60,59600,0.60
2012-12-11,0.62,0.63,0.59,0.60,88600,0.60
2012-12-10,0.60,0.64,0.60,0.62,84400,0.62
2012-12-07,0.51,0.60,0.51,0.60,30000,0.60
2012-12-06,0.54,0.55,0.53,0.54,30600,0.54
2012-12-05,0.54,0.55,0.53,0.54,20200,0.54
2012-12-04,0.50,0.55,0.50,0.54,32700,0.54
2012-12-03,0.51,0.51,0.50,0.51,1500,0.51
2012-11-30,0.49,0.51,0.49,0.51,23200,0.51
2012-11-29,0.49,0.52,0.49,0.52,13800,0.52
2012-11-28,0.51,0.52,0.49,0.52,11900,0.52
2012-11-27,0.53,0.53,0.50,0.51,12900,0.51
2012-11-26,0.52,0.52,0.50,0.52,19200,0.52
2012-11-23,0.49,0.54,0.49,0.52,42100,0.52
2012-11-22,0.48,0.49,0.47,0.49,5600,0.49
2012-11-21,0.47,0.48,0.47,0.48,2600,0.48
2012-11-20,0.46,0.48,0.46,0.48,2700,0.48
2012-11-19,0.48,0.48,0.46,0.48,6500,0.48
2012-11-16,0.48,0.48,0.48,0.48,000,0.48
2012-11-15,0.48,0.48,0.48,0.48,2100,0.48
2012-11-14,0.47,0.48,0.47,0.48,3800,0.48
2012-11-13,0.47,0.47,0.45,0.47,25900,0.47
2012-11-12,0.47,0.48,0.45,0.48,8500,0.48
2012-11-09,0.47,0.47,0.45,0.45,5600,0.45
2012-11-08,0.45,0.47,0.45,0.47,38900,0.47
2012-11-07,0.46,0.47,0.46,0.47,8000,0.47
2012-11-06,0.47,0.47,0.47,0.47,1900,0.47
2012-11-05,0.48,0.48,0.46,0.47,5700,0.47
2012-11-02,0.46,0.48,0.46,0.48,13500,0.48
2012-11-01,0.45,0.46,0.45,0.46,72600,0.46
2012-10-31,0.47,0.47,0.45,0.47,2200,0.47
2012-10-30,0.45,0.47,0.45,0.47,10200,0.47
2012-10-29,0.47,0.49,0.45,0.48,20900,0.48
2012-10-26,0.48,0.50,0.47,0.49,5900,0.49
2012-10-25,0.49,0.49,0.47,0.49,1500,0.49
2012-10-24,0.47,0.49,0.47,0.49,8400,0.49
2012-10-23,0.46,0.48,0.45,0.47,8800,0.47
2012-10-22,0.47,0.48,0.46,0.48,49700,0.48
2012-10-19,0.46,0.47,0.45,0.46,13400,0.46
2012-10-18,0.47,0.47,0.46,0.47,20000,0.47
2012-10-17,0.47,0.47,0.45,0.47,24800,0.47
2012-10-16,0.47,0.47,0.46,0.47,7400,0.47
2012-10-15,0.47,0.47,0.47,0.47,800,0.47
2012-10-12,0.47,0.47,0.47,0.47,3900,0.47
2012-10-11,0.45,0.47,0.45,0.47,4100,0.47
2012-10-10,0.45,0.46,0.44,0.45,114200,0.45
2012-10-09,0.46,0.47,0.45,0.46,92000,0.46
2012-10-08,0.47,0.47,0.46,0.46,35200,0.46
2012-10-05,0.47,0.48,0.47,0.47,206300,0.47
2012-10-04,0.44,0.48,0.44,0.47,414900,0.47
2012-10-03,0.44,0.45,0.43,0.45,104800,0.45
2012-10-02,0.45,0.46,0.44,0.46,40400,0.46
2012-10-01,0.46,0.46,0.45,0.45,8300,0.45
2012-09-28,0.46,0.46,0.44,0.44,14100,0.44
2012-09-27,0.47,0.47,0.46,0.46,5700,0.46
2012-09-26,0.47,0.47,0.45,0.47,2100,0.47
2012-09-25,0.47,0.47,0.47,0.47,800,0.47
2012-09-24,0.44,0.47,0.43,0.47,27300,0.47
2012-09-21,0.46,0.46,0.43,0.43,5000,0.43
2012-09-20,0.46,0.47,0.46,0.46,8500,0.46
2012-09-19,0.47,0.47,0.46,0.46,6200,0.46
2012-09-18,0.45,0.45,0.45,0.45,3200,0.45
2012-09-17,0.44,0.45,0.44,0.45,15700,0.45
2012-09-14,0.44,0.45,0.43,0.45,7400,0.45
2012-09-13,0.44,0.44,0.43,0.44,4900,0.44
2012-09-12,0.47,0.48,0.46,0.47,96000,0.47
2012-09-11,0.47,0.47,0.47,0.47,5000,0.47
2012-09-10,0.43,0.47,0.43,0.47,60900,0.47
2012-09-07,0.41,0.43,0.41,0.43,13000,0.43
2012-09-06,0.43,0.43,0.41,0.41,3000,0.41
2012-09-05,0.43,0.43,0.41,0.43,4900,0.43
2012-09-04,0.43,0.43,0.43,0.43,4300,0.43
2012-09-03,0.43,0.43,0.43,0.43,000,0.43
2012-08-31,0.45,0.45,0.45,0.45,000,0.45
2012-08-30,0.45,0.45,0.45,0.45,4000,0.45
2012-08-29,0.44,0.44,0.44,0.44,500,0.44
2012-08-28,0.44,0.44,0.41,0.44,500,0.44
2012-08-27,0.40,0.43,0.40,0.43,1400,0.43
