Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.70,0.71,0.70,0.70,1500,0.70
2013-05-22,0.70,0.70,0.70,0.70,900,0.70
2013-05-21,0.70,0.70,0.70,0.70,500,0.70
2013-05-20,0.69,0.69,0.69,0.69,300,0.69
2013-05-17,0.69,0.69,0.69,0.69,1000,0.69
2013-05-16,0.69,0.70,0.69,0.69,1300,0.69
2013-05-15,0.69,0.70,0.69,0.69,900,0.69
2013-05-14,0.70,0.70,0.70,0.70,500,0.70
2013-05-13,0.71,0.71,0.70,0.71,4500,0.71
2013-05-10,0.71,0.71,0.70,0.70,4800,0.70
2013-05-09,0.70,0.70,0.70,0.70,2000,0.70
2013-05-08,0.72,0.72,0.71,0.72,3000,0.72
2013-05-07,0.70,0.70,0.70,0.70,000,0.70
2013-05-06,0.70,0.70,0.70,0.70,000,0.70
2013-05-03,0.70,0.70,0.70,0.70,000,0.70
2013-05-02,0.70,0.70,0.70,0.70,300,0.70
2013-05-01,0.68,0.68,0.68,0.68,000,0.68
2013-04-30,0.68,0.68,0.68,0.68,3000,0.68
2013-04-29,0.63,0.63,0.63,0.63,000,0.63
2013-04-26,0.63,0.63,0.63,0.63,1000,0.63
2013-04-25,0.62,0.62,0.62,0.62,000,0.62
2013-04-24,0.62,0.62,0.62,0.62,000,0.62
2013-04-23,0.62,0.62,0.62,0.62,900,0.62
2013-04-22,0.67,0.67,0.67,0.67,3000,0.67
2013-04-19,0.66,0.71,0.66,0.70,000,0.70
2013-04-18,0.66,0.66,0.66,0.66,4000,0.66
2013-04-17,0.70,0.70,0.68,0.69,1200,0.69
2013-04-16,0.69,0.69,0.69,0.69,500,0.69
2013-04-15,0.69,0.69,0.69,0.69,3000,0.69
2013-04-12,0.68,0.68,0.68,0.68,2200,0.68
2013-04-11,0.70,0.70,0.70,0.70,1100,0.70
2013-04-10,0.70,0.70,0.70,0.70,000,0.70
2013-04-09,0.70,0.70,0.70,0.70,3000,0.70
2013-04-08,0.69,0.69,0.69,0.69,8000,0.69
2013-04-05,0.68,0.69,0.68,0.69,1800,0.69
2013-04-04,0.68,0.68,0.68,0.68,2500,0.68
2013-04-03,0.68,0.68,0.68,0.68,4200,0.68
2013-04-02,0.67,0.70,0.67,0.68,12500,0.68
2013-04-01,0.68,0.68,0.68,0.68,000,0.68
2013-03-29,0.68,0.68,0.68,0.68,000,0.68
2013-03-28,0.67,0.68,0.67,0.68,5000,0.68
2013-03-27,0.66,0.66,0.66,0.66,3000,0.66
2013-03-26,0.65,0.65,0.65,0.65,10000,0.65
2013-03-25,0.72,0.72,0.72,0.72,000,0.72
2013-03-22,0.72,0.72,0.72,0.72,7100,0.72
2013-03-21,0.80,0.80,0.80,0.80,2000,0.80
2013-03-20,0.76,0.78,0.76,0.78,11500,0.78
2013-03-19,0.76,0.76,0.76,0.76,000,0.76
2013-03-18,0.76,0.76,0.76,0.76,000,0.76
2013-03-15,0.74,0.80,0.74,0.76,6000,0.76
2013-03-14,0.72,0.72,0.70,0.71,4000,0.71
2013-03-13,0.56,0.64,0.56,0.61,20000,0.61
2013-03-12,0.55,0.55,0.55,0.55,000,0.55
2013-03-11,0.51,0.51,0.51,0.51,18500,0.51
2013-03-08,0.42,0.47,0.42,0.44,19000,0.44
2013-03-07,0.38,0.41,0.38,0.40,15000,0.40
2013-03-06,0.36,0.37,0.36,0.37,8400,0.37
2013-03-05,0.33,0.37,0.33,0.36,2800,0.36
2013-03-04,0.33,0.33,0.33,0.33,2400,0.33
2013-03-01,0.30,0.30,0.30,0.30,000,0.30
2013-02-28,0.30,0.30,0.30,0.30,600,0.30
2013-02-27,0.30,0.30,0.29,0.29,2400,0.29
2013-02-26,0.30,0.30,0.30,0.30,000,0.30
2013-02-25,0.31,0.31,0.29,0.30,11500,0.30
2013-02-22,0.29,0.29,0.29,0.29,000,0.29
2013-02-21,0.26,0.29,0.26,0.29,3700,0.29
2013-02-20,0.31,0.31,0.31,0.31,000,0.31
2013-02-19,0.26,0.26,0.26,0.26,000,0.26
2013-02-18,0.26,0.26,0.26,0.26,18200,0.26
2013-02-15,0.26,0.26,0.26,0.26,26000,0.26
2013-02-14,0.26,0.26,0.26,0.26,15000,0.26
2013-02-13,0.26,0.26,0.26,0.26,000,0.26
2013-02-12,0.21,0.26,0.21,0.26,2000,0.26
2013-02-11,0.25,0.26,0.25,0.26,2000,0.26
2013-02-08,0.26,0.26,0.25,0.26,6000,0.26
2013-02-07,0.22,0.22,0.22,0.22,000,0.22
2013-02-06,0.28,0.28,0.28,0.28,2000,0.28
2013-02-05,0.27,0.32,0.27,0.29,600,0.29
2013-02-04,0.27,0.27,0.27,0.27,700,0.27
2013-02-01,0.26,0.27,0.26,0.27,1200,0.27
2013-01-31,0.29,0.29,0.29,0.29,000,0.29
2013-01-30,0.29,0.29,0.29,0.29,000,0.29
2013-01-29,0.36,0.36,0.36,0.36,000,0.36
2013-01-28,0.23,0.23,0.23,0.23,000,0.23
2013-01-25,0.23,0.23,0.23,0.23,000,0.23
2013-01-24,0.23,0.23,0.23,0.23,000,0.23
2013-01-23,0.23,0.23,0.23,0.23,000,0.23
2013-01-22,0.48,0.48,0.39,0.45,000,0.91
2013-01-21,0.48,0.48,0.48,0.48,000,0.96
2013-01-18,0.48,0.48,0.48,0.48,000,0.96
2013-01-17,0.48,0.48,0.48,0.48,000,0.96
2013-01-16,0.48,0.48,0.48,0.48,000,0.96
2013-01-15,0.48,0.48,0.48,0.48,000,0.96
2013-01-14,0.48,0.48,0.48,0.48,000,0.96
2013-01-11,0.48,0.48,0.48,0.48,000,0.96
2013-01-10,0.48,0.48,0.48,0.48,000,0.96
2013-01-09,0.48,0.48,0.48,0.48,000,0.96
2013-01-08,0.48,0.48,0.48,0.48,000,0.96
2013-01-07,0.48,0.48,0.48,0.48,000,0.96
2013-01-04,0.48,0.48,0.48,0.48,000,0.96
2013-01-03,0.48,0.48,0.48,0.48,000,0.96
2013-01-02,0.48,0.48,0.48,0.48,000,0.96
2013-01-01,0.48,0.48,0.48,0.48,000,0.96
2012-12-31,0.48,0.48,0.48,0.48,000,0.96
2012-12-28,0.48,0.48,0.48,0.48,000,0.96
2012-12-27,0.48,0.48,0.48,0.48,000,0.96
2012-12-26,0.48,0.48,0.48,0.48,000,0.96
2012-12-25,0.48,0.48,0.48,0.48,000,0.96
2012-12-24,0.48,0.48,0.48,0.48,000,0.96
2012-12-21,0.48,0.48,0.48,0.48,000,0.96
2012-12-20,0.48,0.48,0.48,0.48,000,0.96
2012-12-19,0.48,0.48,0.48,0.48,000,0.96
2012-12-18,0.48,0.48,0.48,0.48,000,0.96
2012-12-17,0.48,0.48,0.48,0.48,000,0.96
2012-12-14,0.48,0.48,0.48,0.48,000,0.96
2012-12-13,0.48,0.48,0.48,0.48,000,0.96
2012-12-12,0.48,0.48,0.48,0.48,000,0.96
2012-12-11,0.48,0.48,0.48,0.48,000,0.96
2012-12-10,0.48,0.48,0.48,0.48,000,0.96
2012-12-07,0.48,0.48,0.48,0.48,000,0.96
2012-12-06,0.48,0.48,0.48,0.48,000,0.96
2012-12-05,0.48,0.48,0.48,0.48,000,0.96
2012-12-04,0.48,0.48,0.48,0.48,000,0.96
2012-12-03,0.48,0.48,0.48,0.48,000,0.96
2012-11-30,0.48,0.48,0.48,0.48,000,0.96
2012-11-29,0.48,0.48,0.48,0.48,000,0.96
2012-11-28,0.48,0.48,0.48,0.48,000,0.96
2012-11-27,0.48,0.48,0.48,0.48,000,0.96
2012-11-26,0.48,0.48,0.48,0.48,000,0.96
2012-11-23,0.48,0.48,0.48,0.48,000,0.96
2012-11-22,0.48,0.48,0.48,0.48,000,0.96
2012-11-21,0.48,0.48,0.48,0.48,000,0.96
2012-11-20,0.48,0.48,0.48,0.48,000,0.96
2012-11-19,0.48,0.48,0.48,0.48,000,0.96
2012-11-16,0.48,0.48,0.48,0.48,000,0.96
2012-11-15,0.48,0.48,0.48,0.48,000,0.96
2012-11-14,0.48,0.48,0.48,0.48,000,0.96
2012-11-13,0.48,0.48,0.48,0.48,000,0.96
2012-11-12,0.48,0.48,0.48,0.48,000,0.96
2012-11-09,0.48,0.48,0.48,0.48,000,0.96
2012-11-08,0.48,0.48,0.48,0.48,000,0.96
2012-11-07,0.48,0.48,0.48,0.48,000,0.96
2012-11-06,0.48,0.48,0.48,0.48,000,0.96
2012-11-05,0.48,0.48,0.48,0.48,000,0.96
2012-11-02,0.48,0.48,0.48,0.48,000,0.96
2012-11-01,0.48,0.48,0.48,0.48,000,0.96
2012-10-31,0.48,0.48,0.48,0.48,000,0.96
2012-10-30,0.48,0.48,0.48,0.48,000,0.96
2012-10-29,0.48,0.48,0.48,0.48,000,0.96
2012-10-26,0.45,0.51,0.45,0.48,16900,0.96
2012-10-25,0.54,0.54,0.54,0.54,000,1.08
2012-10-24,0.54,0.54,0.54,0.54,000,1.08
2012-10-23,0.54,0.54,0.54,0.54,000,1.08
2012-10-22,0.54,0.54,0.54,0.54,10000,1.08
2012-10-19,0.53,0.53,0.53,0.53,27400,1.06
2012-10-18,0.52,0.52,0.52,0.52,16000,1.04
2012-10-17,0.50,0.50,0.50,0.50,000,1.00
2012-10-16,0.50,0.50,0.50,0.50,200,1.00
2012-10-15,0.50,0.50,0.50,0.50,10000,1.00
2012-10-12,0.58,0.58,0.58,0.58,37500,1.16
