Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.15,0.15,0.15,0.15,000,0.15
2013-05-22,0.15,0.15,0.12,0.15,1100,0.15
2013-05-21,0.15,0.15,0.15,0.15,000,0.15
2013-05-20,0.15,0.15,0.15,0.15,000,0.15
2013-05-17,0.15,0.15,0.15,0.15,000,0.15
2013-05-16,0.15,0.15,0.15,0.15,000,0.15
2013-05-15,0.15,0.15,0.15,0.15,000,0.15
2013-05-14,0.15,0.15,0.15,0.15,000,0.15
2013-05-13,0.15,0.15,0.15,0.15,000,0.15
2013-05-10,0.15,0.15,0.15,0.15,000,0.15
2013-05-09,0.15,0.15,0.15,0.15,000,0.15
2013-05-08,0.15,0.15,0.15,0.15,000,0.15
2013-05-07,0.15,0.15,0.15,0.15,000,0.15
2013-05-06,0.15,0.15,0.15,0.15,000,0.15
2013-05-03,0.15,0.15,0.15,0.15,000,0.15
2013-05-02,0.15,0.15,0.15,0.15,000,0.15
2013-05-01,0.15,0.15,0.15,0.15,000,0.15
2013-04-30,0.15,0.15,0.15,0.15,000,0.15
2013-04-29,0.15,0.15,0.15,0.15,000,0.15
2013-04-26,0.15,0.15,0.15,0.15,2000,0.15
2013-04-25,0.16,0.16,0.16,0.16,000,0.16
2013-04-24,0.16,0.16,0.16,0.16,000,0.16
2013-04-23,0.16,0.16,0.16,0.16,000,0.16
2013-04-22,0.16,0.16,0.16,0.16,000,0.16
2013-04-19,0.16,0.16,0.16,0.16,000,0.16
2013-04-18,0.16,0.16,0.16,0.16,000,0.16
2013-04-17,0.16,0.16,0.16,0.16,000,0.16
2013-04-16,0.16,0.16,0.16,0.16,000,0.16
2013-04-15,0.16,0.16,0.16,0.16,000,0.16
2013-04-12,0.16,0.16,0.16,0.16,000,0.16
2013-04-11,0.16,0.16,0.16,0.16,000,0.16
2013-04-10,0.15,0.15,0.15,0.15,000,0.15
2013-04-09,0.15,0.15,0.15,0.15,000,0.15
2013-04-08,0.15,0.15,0.15,0.15,000,0.15
2013-04-05,0.15,0.15,0.15,0.15,3000,0.15
2013-04-04,0.17,0.17,0.15,0.16,9500,0.16
2013-04-03,0.15,0.15,0.15,0.15,000,0.15
2013-04-02,0.15,0.15,0.15,0.15,000,0.15
2013-04-01,0.15,0.15,0.15,0.15,000,0.15
2013-03-29,0.15,0.15,0.15,0.15,000,0.15
2013-03-28,0.15,0.15,0.15,0.15,000,0.15
2013-03-27,0.15,0.16,0.15,0.15,3200,0.15
2013-03-26,0.15,0.15,0.15,0.15,300,0.15
2013-03-25,0.12,0.12,0.12,0.12,000,0.12
2013-03-22,0.12,0.12,0.12,0.12,1400,0.12
2013-03-21,0.09,0.10,0.09,0.10,400,0.10
2013-03-20,0.09,0.09,0.09,0.09,900,0.09
2013-03-19,0.08,0.08,0.08,0.08,000,0.08
2013-03-18,0.07,0.07,0.07,0.07,000,0.07
2013-03-15,0.05,0.07,0.05,0.07,400,0.07
2013-03-14,0.05,0.05,0.05,0.05,000,0.05
2013-03-13,0.05,0.05,0.05,0.05,200,0.05
2013-03-12,0.04,0.05,0.04,0.05,100,0.05
2013-03-11,0.04,0.04,0.04,0.04,000,0.04
2013-03-08,0.03,0.03,0.03,0.03,4700,0.03
2013-03-07,0.03,0.03,0.03,0.03,000,0.03
2013-03-06,0.03,0.03,0.03,0.03,100,0.03
2013-03-05,0.03,0.03,0.03,0.03,000,0.03
2013-03-04,0.03,0.03,0.03,0.03,400,0.03
2013-03-01,0.04,0.04,0.04,0.04,000,0.04
2013-02-28,0.04,0.04,0.04,0.04,000,0.04
2013-02-27,0.04,0.05,0.04,0.04,400,0.04
2013-02-26,0.04,0.04,0.04,0.04,000,0.04
2013-02-25,0.05,0.05,0.05,0.05,000,0.05
2013-02-22,0.05,0.05,0.05,0.05,000,0.05
2013-02-21,0.05,0.05,0.05,0.05,000,0.05
2013-02-20,0.05,0.05,0.05,0.05,000,0.05
2013-02-19,0.05,0.05,0.05,0.05,000,0.05
2013-02-18,0.05,0.05,0.05,0.05,000,0.05
2013-02-15,0.05,0.05,0.05,0.05,000,0.05
2013-02-14,0.06,0.06,0.05,0.05,3300,0.05
2013-02-13,0.06,0.06,0.06,0.06,000,0.06
2013-02-12,0.09,0.09,0.07,0.07,700,0.07
2013-02-11,0.09,0.09,0.09,0.09,500,0.09
2013-02-08,0.09,0.09,0.09,0.09,000,0.09
2013-02-07,0.09,0.09,0.09,0.09,000,0.09
2013-02-06,0.07,0.09,0.07,0.09,1000,0.09
2013-02-05,0.09,0.09,0.09,0.09,000,0.09
2013-02-04,0.11,0.11,0.11,0.11,000,0.11
2013-02-01,0.11,0.11,0.11,0.11,000,0.11
2013-01-31,0.11,0.11,0.11,0.11,5300,0.11
2013-01-30,0.10,0.10,0.10,0.10,000,0.10
2013-01-29,0.10,0.10,0.10,0.10,1900,0.10
2013-01-28,0.10,0.10,0.09,0.10,700,0.10
2013-01-25,0.08,0.10,0.08,0.09,000,0.09
2013-01-24,0.10,0.10,0.10,0.10,000,0.10
2013-01-23,0.10,0.10,0.10,0.10,000,0.10
2013-01-22,0.10,0.10,0.10,0.10,000,0.10
2013-01-21,0.10,0.10,0.10,0.10,000,0.10
2013-01-18,0.10,0.10,0.10,0.10,000,0.10
2013-01-17,0.10,0.10,0.10,0.10,500,0.10
2013-01-16,0.10,0.10,0.10,0.10,000,0.10
2013-01-15,0.10,0.10,0.10,0.10,000,0.10
2013-01-14,0.10,0.10,0.10,0.10,700,0.10
2013-01-11,0.12,0.12,0.12,0.12,000,0.12
2013-01-10,0.12,0.12,0.12,0.12,100,0.12
2013-01-09,0.10,0.10,0.10,0.10,19200,0.10
2013-01-08,0.10,0.10,0.10,0.10,11900,0.10
2013-01-07,0.10,0.10,0.10,0.10,27000,0.10
2013-01-04,0.15,0.15,0.12,0.12,5100,0.12
2013-01-03,0.15,0.15,0.15,0.15,100,0.15
2013-01-02,0.18,0.18,0.18,0.18,000,0.18
2013-01-01,0.18,0.18,0.18,0.18,000,0.18
2012-12-31,0.18,0.18,0.18,0.18,000,0.18
2012-12-28,0.18,0.18,0.18,0.18,000,0.18
2012-12-27,0.18,0.18,0.18,0.18,000,0.18
2012-12-26,0.18,0.18,0.18,0.18,000,0.18
2012-12-25,0.18,0.18,0.18,0.18,000,0.18
2012-12-24,0.18,0.18,0.18,0.18,000,0.18
2012-12-21,0.18,0.18,0.18,0.18,000,0.18
2012-12-20,0.18,0.18,0.18,0.18,000,0.18
2012-12-19,0.18,0.18,0.18,0.18,000,0.18
2012-12-18,0.18,0.18,0.18,0.18,000,0.18
2012-12-17,0.18,0.18,0.18,0.18,000,0.18
2012-12-14,0.18,0.18,0.18,0.18,000,0.18
2012-12-13,0.18,0.18,0.18,0.18,000,0.18
2012-12-12,0.18,0.18,0.18,0.18,000,0.18
2012-12-11,0.18,0.18,0.18,0.18,000,0.18
2012-12-10,0.18,0.18,0.18,0.18,000,0.18
2012-12-07,0.18,0.18,0.18,0.18,000,0.18
2012-12-06,0.18,0.18,0.18,0.18,000,0.18
2012-12-05,0.18,0.18,0.18,0.18,000,0.18
2012-12-04,0.18,0.18,0.18,0.18,000,0.18
2012-12-03,0.18,0.18,0.18,0.18,000,0.18
2012-11-30,0.18,0.18,0.18,0.18,000,0.18
2012-11-29,0.18,0.18,0.18,0.18,000,0.18
2012-11-28,0.18,0.18,0.18,0.18,1000,0.18
2012-11-27,0.17,0.17,0.17,0.17,000,0.17
2012-11-26,0.15,0.15,0.15,0.15,000,0.15
2012-11-23,0.15,0.15,0.15,0.15,000,0.15
2012-11-22,0.15,0.15,0.15,0.15,000,0.15
2012-11-21,0.15,0.15,0.15,0.15,000,0.15
2012-11-20,0.15,0.15,0.15,0.15,000,0.15
2012-11-19,0.15,0.15,0.15,0.15,000,0.15
2012-11-16,0.15,0.15,0.15,0.15,000,0.15
2012-11-15,0.15,0.15,0.15,0.15,000,0.15
2012-11-14,0.15,0.15,0.15,0.15,000,0.15
2012-11-13,0.15,0.15,0.15,0.15,000,0.15
2012-11-12,0.15,0.15,0.15,0.15,000,0.15
2012-11-09,0.15,0.15,0.15,0.15,000,0.15
2012-11-08,0.15,0.15,0.15,0.15,000,0.15
2012-11-07,0.15,0.15,0.15,0.15,000,0.15
2012-11-06,0.15,0.15,0.15,0.15,000,0.15
2012-11-05,0.15,0.15,0.15,0.15,000,0.15
2012-11-02,0.15,0.15,0.15,0.15,000,0.15
2012-11-01,0.15,0.15,0.15,0.15,000,0.15
2012-10-31,0.15,0.15,0.15,0.15,000,0.15
2012-10-30,0.15,0.15,0.15,0.15,000,0.15
2012-10-29,0.15,0.15,0.15,0.15,000,0.15
2012-10-26,0.15,0.15,0.15,0.15,000,0.15
2012-10-25,0.15,0.15,0.15,0.15,000,0.15
2012-10-24,0.15,0.15,0.15,0.15,1000,0.15
2012-10-23,0.13,0.13,0.13,0.13,10000,0.13
2012-10-22,0.11,0.11,0.11,0.11,10000,0.11
2012-10-19,0.09,0.09,0.09,0.09,000,0.09
2012-10-18,0.09,0.09,0.09,0.09,000,0.09
2012-10-17,0.09,0.09,0.09,0.09,800,0.09
2012-10-16,0.09,0.09,0.09,0.09,11000,0.09
2012-10-15,0.09,0.09,0.09,0.09,000,0.09
2012-10-12,0.09,0.09,0.09,0.09,000,0.09
2012-10-11,0.09,0.09,0.09,0.09,000,0.09
2012-10-10,0.09,0.09,0.09,0.09,000,0.09
2012-10-09,0.10,0.10,0.10,0.10,10400,0.10
2012-10-08,0.09,0.09,0.09,0.09,4000,0.09
2012-10-05,0.07,0.07,0.07,0.07,3000,0.07
2012-10-04,0.06,0.06,0.06,0.06,6500,0.06
2012-10-03,0.05,0.05,0.05,0.05,000,0.05
2012-10-02,0.05,0.05,0.05,0.05,000,0.05
2012-10-01,0.06,0.06,0.06,0.06,000,0.06
2012-09-28,0.08,0.08,0.08,0.08,000,0.08
2012-09-27,0.07,0.10,0.07,0.10,4900,0.10
2012-09-26,0.06,0.08,0.06,0.08,1400,0.08
2012-09-25,0.06,0.09,0.06,0.07,1000,0.07
2012-09-24,0.08,0.08,0.08,0.08,000,0.08
2012-09-21,0.08,0.12,0.08,0.10,10300,0.10
2012-09-20,0.10,0.10,0.10,0.10,10800,0.10
2012-09-19,0.12,0.12,0.10,0.12,11400,0.12
2012-09-18,0.13,0.13,0.13,0.13,100,0.13
2012-09-17,0.17,0.17,0.13,0.16,1000,0.16
2012-09-14,0.19,0.19,0.15,0.17,2100,0.17
2012-09-13,0.19,0.19,0.19,0.19,1200,0.19
2012-09-12,0.23,0.23,0.23,0.23,500,0.23
2012-09-11,0.29,0.29,0.29,0.29,000,0.29
2012-09-10,0.36,0.36,0.36,0.36,3000,0.36
2012-09-07,0.36,0.36,0.36,0.36,100,0.36
2012-09-06,0.36,0.36,0.36,0.36,000,0.36
2012-09-05,0.36,0.36,0.36,0.36,000,0.36
2012-09-04,0.36,0.36,0.36,0.36,000,0.36
2012-09-03,0.36,0.36,0.36,0.36,000,0.36
2012-08-31,0.36,0.36,0.36,0.36,300,0.36
