Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,1.09,1.09,1.09,1.09,000,1.09
2013-05-22,1.09,1.09,1.09,1.09,000,1.09
2013-05-21,1.09,1.09,1.09,1.09,000,1.09
2013-05-20,1.09,1.09,1.09,1.09,000,1.09
2013-05-17,1.09,1.09,1.09,1.09,500,1.09
2013-05-16,1.04,1.04,1.04,1.04,100,1.04
2013-05-15,1.04,1.04,1.03,1.04,4100,1.04
2013-05-14,1.04,1.04,1.04,1.04,000,1.04
2013-05-13,1.00,1.04,1.00,1.04,2000,1.04
2013-05-10,1.04,1.04,1.04,1.04,000,1.04
2013-05-09,1.04,1.04,1.04,1.04,100,1.04
2013-05-08,1.04,1.04,1.04,1.04,1200,1.04
2013-05-07,1.04,1.04,1.04,1.04,000,1.04
2013-05-06,1.04,1.04,1.04,1.04,000,1.04
2013-05-03,1.04,1.04,1.04,1.04,000,1.04
2013-05-02,1.04,1.04,1.04,1.04,000,1.04
2013-05-01,1.04,1.04,1.04,1.04,000,1.04
2013-04-30,1.04,1.04,1.04,1.04,000,1.04
2013-04-29,1.04,1.04,1.04,1.04,000,1.04
2013-04-26,1.04,1.04,1.04,1.04,000,1.04
2013-04-25,1.04,1.04,1.04,1.04,000,1.04
2013-04-24,1.04,1.04,1.04,1.04,000,1.04
2013-04-23,1.04,1.04,1.04,1.04,000,1.04
2013-04-22,1.04,1.04,1.04,1.04,000,1.04
2013-04-19,1.04,1.04,1.04,1.04,000,1.04
2013-04-18,1.04,1.04,1.04,1.04,000,1.04
2013-04-17,1.04,1.04,1.04,1.04,000,1.04
2013-04-16,1.04,1.04,1.04,1.04,000,1.04
2013-04-15,1.04,1.04,1.04,1.04,000,1.04
2013-04-12,1.04,1.04,1.04,1.04,000,1.04
2013-04-11,1.04,1.04,1.04,1.04,000,1.04
2013-04-10,1.04,1.04,1.04,1.04,000,1.04
2013-04-09,1.04,1.04,1.04,1.04,000,1.04
2013-04-08,0.84,1.07,0.84,1.04,16500,1.04
2013-04-05,0.90,0.90,0.90,0.90,200,0.90
2013-04-04,0.98,0.98,0.98,0.98,000,0.98
2013-04-03,0.98,0.98,0.98,0.98,200,0.98
2013-04-02,1.03,1.03,1.03,1.03,000,1.03
2013-04-01,1.03,1.03,1.03,1.03,000,1.03
2013-03-29,1.03,1.03,1.03,1.03,000,1.03
2013-03-28,0.95,1.03,0.95,1.03,2300,1.03
2013-03-27,0.98,1.03,0.98,1.03,5000,1.03
2013-03-26,1.00,1.00,1.00,1.00,000,1.00
2013-03-25,1.00,1.00,1.00,1.00,000,1.00
2013-03-22,1.00,1.00,1.00,1.00,1000,1.00
2013-03-21,1.05,1.08,1.05,1.08,600,1.08
2013-03-20,1.09,1.09,1.09,1.09,000,1.09
2013-03-19,1.09,1.09,1.09,1.09,000,1.09
2013-03-18,1.09,1.09,1.09,1.09,000,1.09
2013-03-15,0.98,1.09,0.98,1.09,10500,1.09
2013-03-14,1.03,1.03,0.98,0.98,200,0.98
2013-03-13,0.99,0.99,0.99,0.99,000,0.99
2013-03-12,1.04,1.04,1.04,1.04,000,1.04
2013-03-11,1.04,1.04,1.04,1.04,000,1.04
2013-03-08,1.04,1.04,1.04,1.04,000,1.04
2013-03-07,1.04,1.04,1.04,1.04,000,1.04
2013-03-06,1.04,1.04,1.04,1.04,000,1.04
2013-03-05,1.04,1.04,1.04,1.04,000,1.04
2013-03-04,1.00,1.04,0.99,1.04,000,1.04
2013-03-01,1.08,1.12,1.04,1.04,300,1.04
2013-02-28,1.13,1.15,1.07,1.07,800,1.07
2013-02-27,1.12,1.12,1.12,1.12,000,1.12
2013-02-26,1.12,1.12,1.12,1.12,000,1.12
2013-02-25,1.19,1.19,1.10,1.12,3400,1.12
2013-02-22,0.99,1.07,0.99,1.07,3400,1.07
2013-02-21,1.03,1.03,1.00,1.00,400,1.00
2013-02-20,1.00,1.00,1.00,1.00,000,1.00
2013-02-19,1.00,1.00,1.00,1.00,000,1.00
2013-02-18,0.94,1.00,0.94,1.00,8000,1.00
2013-02-15,0.94,0.94,0.94,0.94,200,0.94
2013-02-14,0.93,0.94,0.93,0.94,1000,0.94
2013-02-13,0.94,0.94,0.94,0.94,000,0.94
2013-02-12,0.94,0.94,0.94,0.94,100,0.94
2013-02-11,0.94,0.94,0.94,0.94,000,0.94
2013-02-08,0.94,0.94,0.94,0.94,200,0.94
2013-02-07,1.00,1.00,1.00,1.00,000,1.00
2013-02-06,1.00,1.00,1.00,1.00,000,1.00
2013-02-05,1.00,1.00,1.00,1.00,000,1.00
2013-02-04,1.00,1.00,1.00,1.00,800,1.00
2013-02-01,1.03,1.03,1.03,1.03,000,1.03
2013-01-31,1.03,1.03,1.03,1.03,000,1.03
2013-01-30,1.03,1.03,1.03,1.03,000,1.03
2013-01-29,1.00,1.03,1.00,1.03,500,1.03
2013-01-28,1.00,1.00,1.00,1.00,000,1.00
2013-01-25,0.98,1.00,0.97,1.00,10800,1.00
2013-01-24,0.98,0.98,0.98,0.98,1500,0.98
2013-01-23,0.98,0.98,0.98,0.98,300,0.98
2013-01-22,0.98,0.98,0.98,0.98,300,0.98
2013-01-21,0.96,0.96,0.96,0.96,000,0.96
2013-01-18,0.96,0.96,0.96,0.96,1400,0.96
2013-01-17,0.96,0.96,0.96,0.96,000,0.96
2013-01-16,0.96,0.96,0.96,0.96,000,0.96
2013-01-15,0.96,0.96,0.96,0.96,000,0.96
2013-01-14,0.96,0.96,0.96,0.96,000,0.96
2013-01-11,1.01,1.01,1.01,1.01,000,1.01
2013-01-10,1.01,1.01,1.01,1.01,200,1.01
2013-01-09,0.97,0.97,0.97,0.97,100,0.97
2013-01-08,1.10,1.10,1.08,1.10,600,1.10
2013-01-07,1.15,1.15,0.93,0.93,100,0.93
2013-01-04,0.92,1.18,0.92,1.17,2400,1.17
2013-01-03,0.90,0.93,0.90,0.93,2500,0.93
2013-01-02,0.90,0.90,0.90,0.90,000,0.90
2013-01-01,0.90,0.90,0.90,0.90,000,0.90
2012-12-31,0.90,0.90,0.90,0.90,000,0.90
2012-12-28,0.92,0.92,0.86,0.90,3200,0.90
2012-12-27,0.87,0.93,0.87,0.93,2800,0.93
2012-12-26,0.90,0.90,0.90,0.90,000,0.90
2012-12-25,0.90,0.90,0.90,0.90,000,0.90
2012-12-24,0.90,0.90,0.90,0.90,000,0.90
2012-12-21,0.90,0.90,0.90,0.90,000,0.90
2012-12-20,0.89,0.90,0.89,0.90,100,0.90
2012-12-19,0.87,0.87,0.87,0.87,000,0.87
2012-12-18,0.87,0.87,0.87,0.87,000,0.87
2012-12-17,0.87,0.87,0.87,0.87,000,0.87
2012-12-14,0.84,0.87,0.82,0.87,3200,0.87
2012-12-13,0.84,0.84,0.82,0.84,9700,0.84
2012-12-12,0.84,0.84,0.84,0.84,27600,0.84
2012-12-11,0.82,0.84,0.82,0.84,17900,0.84
2012-12-10,0.84,0.84,0.84,0.84,000,0.84
2012-12-07,0.84,0.84,0.84,0.84,000,0.84
2012-12-06,0.84,0.84,0.84,0.84,000,0.84
2012-12-05,0.84,0.84,0.84,0.84,000,0.84
2012-12-04,0.84,0.84,0.84,0.84,000,0.84
2012-12-03,0.84,0.84,0.84,0.84,000,0.84
2012-11-30,0.93,0.93,0.93,0.93,000,0.93
2012-11-29,0.93,0.93,0.93,0.93,000,0.93
2012-11-28,0.93,0.93,0.93,0.93,000,0.93
2012-11-27,0.93,0.93,0.93,0.93,000,0.93
2012-11-26,0.93,0.93,0.93,0.93,000,0.93
2012-11-23,0.93,0.93,0.93,0.93,000,0.93
2012-11-22,0.78,0.93,0.78,0.93,3600,0.93
2012-11-21,0.89,0.89,0.85,0.85,500,0.85
2012-11-20,0.81,0.87,0.81,0.87,300,0.87
2012-11-19,0.90,0.90,0.90,0.90,700,0.90
2012-11-16,0.90,0.90,0.90,0.90,000,0.90
2012-11-15,0.90,0.90,0.90,0.90,000,0.90
2012-11-14,0.81,0.90,0.81,0.90,200,0.90
2012-11-13,0.90,0.90,0.90,0.90,000,0.90
2012-11-12,0.90,0.90,0.90,0.90,100,0.90
2012-11-09,0.92,0.92,0.84,0.92,1000,0.92
2012-11-08,0.92,0.92,0.92,0.92,000,0.92
2012-11-07,0.92,0.92,0.92,0.92,000,0.92
2012-11-06,0.92,0.92,0.92,0.92,000,0.92
2012-11-05,0.92,0.92,0.92,0.92,000,0.92
2012-11-02,0.92,0.92,0.92,0.92,000,0.92
2012-11-01,0.92,0.92,0.92,0.92,000,0.92
2012-10-31,0.92,0.92,0.92,0.92,600,0.92
2012-10-30,0.96,0.96,0.96,0.96,000,0.96
2012-10-29,0.86,0.96,0.86,0.96,1600,0.96
2012-10-26,0.90,0.96,0.90,0.96,1400,0.96
2012-10-25,1.00,1.00,1.00,1.00,000,1.00
2012-10-24,0.87,1.00,0.86,1.00,200,1.00
2012-10-23,0.95,0.95,0.95,0.95,000,0.95
2012-10-22,0.95,0.95,0.95,0.95,100,0.95
2012-10-19,0.99,0.99,0.99,0.99,100,0.99
2012-10-18,1.00,1.00,1.00,1.00,000,1.00
2012-10-17,0.88,1.00,0.88,1.00,100,1.00
2012-10-16,0.85,0.98,0.85,0.98,2100,0.98
2012-10-15,0.87,0.94,0.87,0.94,400,0.94
2012-10-12,0.97,0.97,0.97,0.97,000,0.97
