Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.22,0.22,0.22,0.22,3000,0.22
2013-05-22,0.22,0.22,0.22,0.22,1000,0.22
2013-05-21,0.22,0.22,0.22,0.22,1000,0.22
2013-05-20,0.23,0.23,0.22,0.22,1500,0.22
2013-05-17,0.23,0.23,0.22,0.22,1500,0.22
2013-05-16,0.23,0.23,0.23,0.23,700,0.23
2013-05-15,0.23,0.23,0.23,0.23,500,0.23
2013-05-13,0.23,0.23,0.23,0.23,1300,0.23
2013-05-10,0.23,0.23,0.22,0.22,6500,0.22
2013-05-08,0.23,0.23,0.23,0.23,2000,0.23
2013-04-24,0.23,0.23,0.23,0.23,200,0.23
2013-04-23,0.23,0.23,0.23,0.23,1000,0.23
2013-04-08,0.23,0.23,0.23,0.23,4000,0.23
2013-04-03,0.23,0.23,0.23,0.23,2000,0.23
2013-03-22,0.25,0.25,0.25,0.25,1000,0.25
2013-03-21,0.26,0.26,0.25,0.25,2000,0.25
2013-03-12,0.26,0.26,0.26,0.26,2000,0.26
2013-03-11,0.26,0.26,0.26,0.26,400,0.26
2013-03-07,0.28,0.28,0.28,0.28,2000,0.28
2013-03-05,0.28,0.28,0.28,0.28,200,0.28
2013-03-04,0.28,0.28,0.28,0.28,000,0.28
2013-02-15,0.28,0.28,0.28,0.28,1000,0.28
2013-02-07,0.31,0.31,0.31,0.31,000,0.31
2013-02-01,0.24,0.24,0.24,0.24,1000,0.24
2013-01-17,0.24,0.24,0.24,0.24,800,0.24
2013-01-15,0.24,0.24,0.24,0.24,500,0.24
2013-01-09,0.24,0.24,0.24,0.24,3600,0.24
2013-01-08,0.24,0.24,0.24,0.24,1100,0.24
2012-12-21,0.24,0.24,0.24,0.24,400,0.24
2012-12-17,0.24,0.24,0.24,0.24,1800,0.24
2012-12-10,0.24,0.24,0.24,0.24,400,0.24
2012-11-16,0.24,0.24,0.24,0.24,000,0.24
2012-11-05,0.23,0.23,0.23,0.23,000,0.23
2012-11-01,0.24,0.24,0.23,0.23,2000,0.23
2012-10-31,0.23,0.23,0.23,0.23,000,0.23
2012-10-30,0.23,0.23,0.23,0.23,200,0.23
2012-10-29,0.23,0.23,0.23,0.23,3000,0.23
2012-10-10,0.30,0.30,0.30,0.30,000,0.30
2012-10-08,0.29,0.29,0.29,0.29,000,0.29
2012-09-20,0.23,0.23,0.23,0.23,9100,0.23
2012-09-17,0.22,0.23,0.22,0.23,29700,0.23
2012-09-11,0.23,0.23,0.23,0.23,6100,0.23
2012-09-10,0.22,0.22,0.22,0.22,2000,0.22
2012-09-07,0.22,0.22,0.22,0.22,800,0.22
2012-09-05,0.20,0.20,0.20,0.20,1000,0.20
2012-08-22,0.18,0.18,0.18,0.18,300,0.18
2012-08-06,0.20,0.20,0.20,0.20,100,0.20
2012-08-03,0.19,0.19,0.19,0.19,100,0.19
2012-08-02,0.20,0.20,0.20,0.20,000,0.20
2012-08-01,0.19,0.19,0.19,0.19,000,0.19
2012-07-05,0.17,0.17,0.17,0.17,500,0.17
2012-07-02,0.17,0.17,0.17,0.17,500,0.17
2012-06-26,0.19,0.19,0.19,0.19,300,0.19
2012-06-25,0.21,0.21,0.21,0.21,700,0.21
2012-06-22,0.23,0.23,0.23,0.23,100,0.23
2012-05-09,0.26,0.26,0.26,0.26,1500,0.26
2012-05-02,0.28,0.28,0.28,0.28,100,0.28
2012-04-05,0.31,0.31,0.31,0.31,3000,0.31
2012-03-02,0.35,0.35,0.35,0.35,11000,0.35
2012-02-28,0.34,0.34,0.34,0.34,1000,0.34
2012-02-21,0.38,0.38,0.38,0.38,190500,0.38
2012-02-20,0.34,0.36,0.34,0.36,160700,0.36
2012-02-17,0.30,0.33,0.30,0.33,174600,0.33
2012-02-16,0.30,0.30,0.29,0.30,23900,0.30
2012-02-08,0.27,0.27,0.27,0.27,13400,0.27
2012-02-03,0.26,0.26,0.25,0.25,3000,0.25
2012-02-01,0.26,0.26,0.26,0.26,500,0.26
2012-01-31,0.25,0.25,0.25,0.25,500,0.25
2012-01-24,0.31,0.31,0.29,0.29,2700,0.29
2011-12-27,0.31,0.31,0.31,0.31,000,0.31
2011-12-22,0.30,0.31,0.30,0.31,4600,0.31
2011-12-16,0.33,0.33,0.33,0.33,2800,0.33
2011-12-08,0.30,0.30,0.30,0.30,800,0.30
2011-12-06,0.20,0.28,0.20,0.28,243500,0.28
2011-12-05,0.33,0.33,0.27,0.27,61000,0.27
2011-12-02,0.35,0.39,0.28,0.32,82200,0.32
2011-12-01,0.35,0.35,0.31,0.31,3800,0.31
2011-11-30,0.25,0.32,0.25,0.32,14400,0.32
2011-11-29,0.40,0.40,0.34,0.34,3000,0.34
2011-11-28,0.40,0.40,0.40,0.40,1000,0.40
2011-11-25,0.40,0.40,0.40,0.40,100,0.40
2011-11-23,0.40,0.45,0.40,0.45,200,0.45
2011-11-21,0.33,0.45,0.29,0.35,21600,0.35
2011-11-14,0.42,0.42,0.40,0.40,3000,0.40
2011-11-10,0.44,0.44,0.43,0.43,2000,0.43
2011-11-04,0.46,0.46,0.46,0.46,1800,0.46
2011-11-03,0.46,0.46,0.46,0.46,200,0.46
2011-11-02,0.46,0.46,0.46,0.46,500,0.46
2011-10-21,0.36,0.36,0.36,0.36,2000,0.36
2011-10-19,0.37,0.37,0.37,0.37,4800,0.37
2011-10-18,0.39,0.39,0.39,0.39,400,0.39
2011-10-17,0.39,0.39,0.39,0.39,500,0.39
2011-10-14,0.38,0.38,0.38,0.38,2500,0.38
