Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,0.17,0.17,0.17,0.17,000,0.17
2013-05-22,0.17,0.17,0.17,0.17,000,0.17
2013-05-21,0.17,0.17,0.17,0.17,000,0.17
2013-05-20,0.17,0.17,0.17,0.17,000,0.17
2013-05-17,0.17,0.17,0.17,0.17,100,0.17
2013-05-16,0.17,0.17,0.17,0.17,000,0.17
2013-05-15,0.17,0.17,0.17,0.17,000,0.17
2013-05-14,0.17,0.17,0.17,0.17,000,0.17
2013-05-13,0.17,0.17,0.17,0.17,000,0.17
2013-05-10,0.17,0.17,0.17,0.17,000,0.17
2013-05-09,0.16,0.16,0.15,0.15,2200,0.15
2013-05-08,0.19,0.19,0.17,0.18,3000,0.18
2013-05-07,0.21,0.21,0.21,0.21,000,0.21
2013-05-06,0.21,0.21,0.21,0.21,000,0.21
2013-05-03,0.21,0.21,0.21,0.21,000,0.21
2013-05-02,0.21,0.21,0.21,0.21,000,0.21
2013-05-01,0.21,0.21,0.21,0.21,000,0.21
2013-04-30,0.21,0.21,0.21,0.21,000,0.21
2013-04-29,0.21,0.21,0.21,0.21,000,0.21
2013-04-26,0.21,0.21,0.21,0.21,000,0.21
2013-04-25,0.21,0.21,0.21,0.21,000,0.21
2013-04-24,0.21,0.21,0.21,0.21,000,0.21
2013-04-23,0.21,0.21,0.21,0.21,000,0.21
2013-04-22,0.21,0.21,0.21,0.21,000,0.21
2013-04-19,0.21,0.21,0.21,0.21,100,0.21
2013-04-18,0.19,0.19,0.19,0.19,000,0.19
2013-04-17,0.16,0.16,0.16,0.16,000,0.16
2013-04-16,0.16,0.16,0.16,0.16,000,0.16
2013-04-15,0.16,0.16,0.16,0.16,000,0.16
2013-04-12,0.16,0.16,0.16,0.16,000,0.16
2013-04-11,0.16,0.16,0.16,0.16,500,0.16
2013-04-10,0.16,0.16,0.16,0.16,000,0.16
2013-04-09,0.16,0.16,0.16,0.16,400,0.16
2013-04-08,0.16,0.16,0.16,0.16,000,0.16
2013-04-05,0.16,0.16,0.16,0.16,000,0.16
2013-04-04,0.16,0.16,0.16,0.16,000,0.16
2013-04-03,0.16,0.16,0.16,0.16,000,0.16
2013-04-02,0.16,0.16,0.16,0.16,000,0.16
2013-04-01,0.16,0.16,0.16,0.16,000,0.16
2013-03-29,0.16,0.16,0.16,0.16,000,0.16
2013-03-28,0.16,0.16,0.16,0.16,000,0.16
2013-03-27,0.16,0.16,0.16,0.16,000,0.16
2013-03-26,0.16,0.16,0.16,0.16,000,0.16
2013-03-25,0.16,0.16,0.16,0.16,000,0.16
2013-03-22,0.16,0.16,0.16,0.16,000,0.16
2013-03-21,0.16,0.16,0.16,0.16,000,0.16
2013-03-20,0.16,0.16,0.16,0.16,000,0.16
2013-03-19,0.16,0.16,0.16,0.16,000,0.16
2013-03-18,0.16,0.16,0.16,0.16,000,0.16
2013-03-15,0.16,0.16,0.15,0.16,5500,0.16
2013-03-14,0.16,0.16,0.16,0.16,000,0.16
2013-03-13,0.16,0.16,0.16,0.16,000,0.16
2013-03-12,0.16,0.16,0.16,0.16,000,0.16
2013-03-11,0.16,0.16,0.16,0.16,000,0.16
2013-03-08,0.16,0.16,0.16,0.16,000,0.16
2013-03-07,0.16,0.16,0.16,0.16,000,0.16
2013-03-06,0.16,0.16,0.16,0.16,000,0.16
2013-03-05,0.16,0.16,0.16,0.16,000,0.16
2013-03-04,0.16,0.16,0.16,0.16,000,0.16
2013-03-01,0.16,0.16,0.16,0.16,000,0.16
2013-02-28,0.16,0.16,0.16,0.16,000,0.16
2013-02-27,0.16,0.16,0.16,0.16,000,0.16
2013-02-26,0.16,0.16,0.16,0.16,000,0.16
2013-02-25,0.16,0.16,0.16,0.16,000,0.16
